Top pages,Clicks,Impressions,CTR,Position
https://www.leathercompany.co.uk/handbags-c6/cheltenham-croc-collection-c177/ashwood-m1,114,3718,3.07%,10.34
https://www.leathercompany.co.uk/about-us-i1,113,3979,2.84%,9.14
https://www.leathercompany.co.uk/mens-c4/fenland-mens-nubuck-leather-jacket-rust-carter-p5770,111,6781,1.64%,10.37
https://www.leathercompany.co.uk/ladies-c3/sheepskin-jackets-c11/grey-t7,110,135859,0.08%,5.57
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/mens-leather-g-1-flight-bomber-jacket-cream-coffee-maverick-p6783,110,15547,0.71%,21.14
https://www.leathercompany.co.uk/mens-c4/mens-fashion-cowhide-leather-jacket-black-rocco-p4136,110,5747,1.91%,14.73
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/ashwood-m1,109,16831,0.65%,28.71
https://www.leathercompany.co.uk/ladies-c3/ladies-jackets-coats-c181,108,43751,0.25%,40.86
https://www.leathercompany.co.uk/black-friday-c164,108,4728,2.28%,18.47
https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-crossbody-smart-phone-bag-red-ph-2-p6777,107,9101,1.18%,21.5
https://www.leathercompany.co.uk/ladies-c3/handbags-c10/ashwood-m1/brown-t3,107,8844,1.21%,16.79
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/leather-hooded-bomber-jacket-black-addison-p943,106,66164,0.16%,19.49
https://www.leathercompany.co.uk/ladies-c3/handbags-c10/large-leather-handbag-bridge-vt-gina-p1050,106,35885,0.3%,15.29
https://www.leathercompany.co.uk/ladies-c3/sheepskin-jackets-c11/shearling-style-c111,105,48311,0.22%,9.63
https://www.leathercompany.co.uk/ladies-c3/purses-c22,105,33211,0.32%,32.73
https://www.leathercompany.co.uk/gift-accessories-c8/purses-c36/small-purses-c94,105,27733,0.38%,31.41
https://www.leathercompany.co.uk/luggage-c7/carry-on-case-c34,104,11744,0.89%,9.52
https://www.leathercompany.co.uk/gabicci-m55,104,3673,2.83%,10.32
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/trapper-m33/brown-t3,103,25746,0.4%,4.79
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/faux-fur-lined-leather-jacket-antique-b3-art-p7494,103,24153,0.43%,18.16
https://www.leathercompany.co.uk/marta-ponti-m38,103,2666,3.86%,10.14
https://www.leathercompany.co.uk/gift-accessories-c8/purses-c36/medium-purses-c95,101,13640,0.74%,16.86
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/trapper-m33/size-l-t18,101,8586,1.18%,5.22
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/gabicci-m55/size-l-t18,101,1976,5.11%,6.68
https://www.leathercompany.co.uk/gift-accessories-c8/mens-leather-belts-c50/ashwood-m1,100,3088,3.24%,46.61
https://www.leathercompany.co.uk/sheepskin-fur-c5/ashwood-m1,98,6666,1.47%,7.31
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/grey-t7,97,15465,0.63%,13.38
https://www.leathercompany.co.uk/mens-c4/monomoi-mens-leather-denim-style-jacket-blue-james-p6114,96,41308,0.23%,14.53
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-footwear-c46/womens-classic-suede-sheepskin-slippers-pink-fen-ladies-p4040,95,39619,0.24%,19.92
https://www.leathercompany.co.uk/ladies-c3/purses-c22/tan-t25,94,8286,1.13%,18.37
https://www.leathercompany.co.uk/estimo-m30,92,5250,1.75%,10.06
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/purple-t10,90,13202,0.68%,13.13
https://www.leathercompany.co.uk/ladies-c3/size-20-t36,90,6350,1.42%,10.06
