date,Campaign,Interactions,Costs,Clicks
2023-11-04,UK | PMax | Holdalls > HP,260.0,58.42,90.0
2023-11-04,UK | Search | Brand | tROAS,60.0,50.59,60.0
2023-11-04,UK | PMax | Zombie 3,115.0,44.21,110.0
2023-11-04,UK | PMax | Mens Sheepskin Footwear,96.0,41.18,66.0
2023-11-04,UK | PMax | Mens Leather Jackets > HP,116.0,31.24,92.0
2023-11-04,"UK | PMax | Man Bags, Briefcases > HP",62.0,24.36,60.0
2023-11-04,UK | Leather > General,36.0,24.3,36.0
2023-11-04,EU | PMax | Catchall,98.0,18.77,98.0
2023-11-04,UK | Leather Bag > Broad,61.0,17.83,61.0
2023-11-04,UK | PMax | Zombie 1,20.0,8.58,18.0
2023-11-04,UK | PMax | Ladies Sheepskin Jackets > HP,23.0,8.04,17.0
2023-11-04,UK | PMax | Zombie 4,31.0,7.46,26.0
2023-11-04,UK | Search | Ladies Leather Coat,1.0,6.01,1.0
2023-11-04,UK | PMax | Zombie 6,17.0,5.71,16.0
2023-11-04,UK | Leather Luggage | Broad,10.0,5.68,10.0
2023-11-04,UK | PMax | Zombie 2,17.0,5.57,15.0
2023-11-04,UK | PMax | Zombie 5,16.0,5.57,11.0
2023-11-04,UK | PMax | Zombie 7,16.0,5.37,15.0
2023-11-04,UK | Ashwood (General),10.0,4.47,10.0
2023-11-04,Store Solihull - DO NOT Touch,201.0,0.37,
2023-11-04,UK | PMax | Mens Winter Specials,23.0,0.16,
2023-11-03,UK | PMax | High ROAS 3.5>,794.0,403.46,775.0
2023-11-03,UK | PMax | Catchall,445.0,163.4,438.0
2023-11-03,UK | PMax | Ladies Coats & Jackets > HP,268.0,106.91,183.0
2023-11-03,UK | PMax | Ladies Winter Specials,227.0,98.11,206.0
2023-11-03,IRE | PMax | Catchall,293.0,70.88,247.0
2023-11-03,UK | PMax | Deals for Her,168.0,64.89,141.0
2023-11-03,UK | PMax | Holdalls > HP,434.0,52.18,120.0
2023-11-03,UK | PMax | Ladies Leather Jackets > HP,167.0,48.51,110.0
2023-11-03,UK | PMax | Low ROAS <3.5,144.0,42.69,137.0
2023-11-03,EU | PMax | Catchall,197.0,42.09,197.0
2023-11-03,"UK | PMax | Man Bags, Briefcases > HP",52.0,33.35,45.0
2023-11-03,UK | Leather > General,40.0,29.64,40.0
2023-11-03,UK | PMax | Zombie 3,86.0,28.2,74.0
2023-11-03,UK | PMax | Mens Sheepskin Footwear,78.0,24.89,62.0
2023-11-03,UK | Search | Brand | tROAS,57.0,22.36,57.0
2023-11-03,UK | Ashwood (General),37.0,20.28,37.0
2023-11-03,UK | PMax | Mens Leather Jackets > HP,70.0,19.89,49.0
2023-11-03,UK | Leather Bag > Broad,56.0,18.4,56.0
2023-11-03,UK | Leather Luggage | Broad,14.0,13.34,14.0
2023-11-03,"UK | PMax | Luggage, Handbags, Purses",43.0,10.58,24.0
2023-11-03,UK | PMax | Ladies Sheepskin Jackets > HP,22.0,8.86,22.0
2023-11-03,UK | PMax | Zombie 1,14.0,4.46,12.0
2023-11-03,UK | PMax | Zombie 6,18.0,4.27,18.0
2023-11-03,UK | PMax | Zombie 4,17.0,3.64,13.0
2023-11-03,UK | PMax | Zombie 2,10.0,3.3,6.0
2023-11-03,UK | Search | Ladies Leather Coat,7.0,2.5,7.0
2023-11-03,UK | PMax | Zombie 5,8.0,1.72,7.0
2023-11-03,UK | PMax | Zombie 7,8.0,1.46,6.0
2023-11-03,Store Solihull - DO NOT Touch,168.0,0.32,
2023-11-03,UK | PMax | Mens Winter Specials,13.0,0.02,
2023-11-02,UK | PMax | High ROAS 3.5>,783.0,387.73,764.0
2023-11-02,UK | PMax | Catchall,522.0,225.79,515.0
2023-11-02,UK | PMax | Ladies Winter Specials,232.0,112.49,205.0
2023-11-02,UK | PMax | Ladies Coats & Jackets > HP,220.0,73.49,154.0
2023-11-02,IRE | PMax | Catchall,300.0,69.46,252.0
2023-11-02,"UK | PMax | Luggage, Handbags, Purses",152.0,66.71,126.0
2023-11-02,UK | PMax | Deals for Her,166.0,61.56,138.0
2023-11-02,UK | PMax | Ladies Leather Jackets > HP,189.0,56.6,121.0
2023-11-02,UK | PMax | Holdalls > HP,370.0,54.51,124.0
2023-11-02,UK | PMax | Zombie 3,128.0,50.44,115.0
2023-11-02,EU | PMax | Catchall,222.0,48.58,222.0
2023-11-02,UK | PMax | Low ROAS <3.5,125.0,44.01,123.0
2023-11-02,UK | PMax | Mens Sheepskin Footwear,101.0,40.73,74.0
2023-11-02,UK | Search | Brand | tROAS,50.0,34.14,50.0
2023-11-02,UK | Leather > General,42.0,31.31,42.0
2023-11-02,"UK | PMax | Man Bags, Briefcases > HP",77.0,31.28,68.0
2023-11-02,UK | PMax | Mens Leather Jackets > HP,101.0,25.25,70.0
2023-11-02,UK | Leather Bag > Broad,52.0,24.49,52.0
2023-11-02,UK | Ashwood (General),28.0,15.25,28.0
2023-11-02,UK | PMax | Zombie 4,28.0,12.31,24.0
2023-11-02,UK | Leather Luggage | Broad,16.0,7.57,16.0
2023-11-02,UK | PMax | Zombie 6,22.0,6.16,22.0
2023-11-02,UK | PMax | Ladies Sheepskin Jackets > HP,17.0,5.87,10.0
2023-11-02,UK | PMax | Zombie 7,11.0,4.98,11.0
2023-11-02,UK | PMax | Zombie 2,13.0,4.1,12.0
2023-11-02,UK | Search | Ladies Leather Coat,5.0,3.29,5.0
2023-11-02,UK | PMax | Mens Winter Specials,29.0,2.92,14.0
2023-11-02,UK | PMax | Zombie 1,5.0,2.0,5.0
2023-11-02,UK | PMax | Zombie 5,18.0,1.82,6.0
2023-11-02,Store Solihull - DO NOT Touch,179.0,0.33,
2023-11-01,UK | PMax | High ROAS 3.5>,601.0,326.59,587.0
2023-11-01,UK | PMax | Catchall,629.0,278.48,622.0
2023-11-01,UK | PMax | Deals for Her,186.0,83.69,168.0
2023-11-01,UK | PMax | Ladies Winter Specials,216.0,83.48,179.0
2023-11-01,UK | PMax | Ladies Leather Jackets > HP,233.0,74.74,150.0
2023-11-01,IRE | PMax | Catchall,300.0,73.16,229.0
2023-11-01,UK | PMax | Holdalls > HP,364.0,64.57,195.0
2023-11-01,UK | PMax | Low ROAS <3.5,138.0,61.37,131.0
2023-11-01,"UK | PMax | Luggage, Handbags, Purses",177.0,60.36,147.0
2023-11-01,UK | Search | Brand | tROAS,62.0,47.6,62.0
2023-11-01,EU | PMax | Catchall,204.0,44.51,204.0
2023-11-01,"UK | PMax | Man Bags, Briefcases > HP",88.0,36.49,73.0
2023-11-01,UK | PMax | Mens Leather Jackets > HP,135.0,35.76,74.0
2023-11-01,UK | PMax | Mens Sheepskin Footwear,100.0,34.52,71.0
2023-11-01,UK | Leather > General,17.0,23.36,17.0
2023-11-01,UK | PMax | Zombie 3,72.0,20.62,56.0
2023-11-01,UK | PMax | Ladies Coats & Jackets > HP,112.0,19.48,42.0
2023-11-01,UK | PMax | Ladies Sheepskin Jackets > HP,38.0,17.85,35.0
2023-11-01,UK | Ashwood (General),33.0,17.59,33.0
2023-11-01,UK | Leather Bag > Broad,36.0,8.47,36.0
2023-11-01,UK | PMax | Zombie 4,23.0,6.84,19.0
2023-11-01,UK | PMax | Mens Winter Specials,39.0,5.36,12.0
2023-11-01,UK | PMax | Zombie 1,5.0,5.11,5.0
2023-11-01,UK | PMax | Zombie 5,16.0,4.53,10.0
2023-11-01,UK | PMax | Zombie 6,13.0,4.47,13.0
2023-11-01,UK | Search | Ladies Leather Coat,6.0,3.89,6.0
2023-11-01,UK | PMax | Zombie 7,8.0,3.31,7.0
2023-11-01,UK | PMax | Zombie 2,7.0,1.37,7.0
2023-11-01,UK | Leather Luggage | Broad,2.0,0.9,2.0
2023-11-01,Store Solihull - DO NOT Touch,119.0,0.16,
2023-10-31,UK | PMax | Catchall,627.0,318.23,624.0
2023-10-31,UK | PMax | High ROAS 3.5>,590.0,298.66,576.0
2023-10-31,UK | PMax | Ladies Coats & Jackets > HP,258.0,136.05,215.0
2023-10-31,UK | PMax | Deals for Her,237.0,83.29,219.0
2023-10-31,"UK | PMax | Luggage, Handbags, Purses",196.0,82.4,179.0
2023-10-31,UK | PMax | Ladies Winter Specials,152.0,69.27,131.0
2023-10-31,IRE | PMax | Catchall,293.0,67.3,190.0
2023-10-31,UK | PMax | Low ROAS <3.5,140.0,49.47,136.0
2023-10-31,UK | PMax | Zombie 3,113.0,41.59,95.0
2023-10-31,UK | PMax | Mens Sheepskin Footwear,103.0,38.26,83.0
2023-10-31,UK | PMax | Mens Leather Jackets > HP,119.0,38.09,81.0
2023-10-31,UK | Search | Brand | tROAS,48.0,35.46,48.0
2023-10-31,UK | PMax | Holdalls > HP,220.0,33.31,104.0
2023-10-31,EU | PMax | Catchall,148.0,26.39,148.0
2023-10-31,UK | PMax | Ladies Leather Jackets > HP,122.0,23.54,63.0
2023-10-31,UK | Leather > General,25.0,20.08,25.0
2023-10-31,"UK | PMax | Man Bags, Briefcases > HP",69.0,18.79,55.0
2023-10-31,UK | PMax | Ladies Sheepskin Jackets > HP,24.0,9.66,23.0
2023-10-31,UK | PMax | Zombie 7,9.0,9.5,8.0
2023-10-31,UK | Ashwood (General),15.0,7.0,15.0
2023-10-31,UK | PMax | Zombie 4,23.0,6.45,19.0
2023-10-31,UK | Leather Bag > Broad,28.0,6.38,28.0
2023-10-31,UK | PMax | Zombie 2,13.0,4.25,9.0
2023-10-31,UK | PMax | Zombie 1,17.0,3.78,12.0
2023-10-31,UK | PMax | Zombie 6,12.0,3.55,11.0
2023-10-31,UK | Leather Luggage | Broad,7.0,2.13,7.0
2023-10-31,UK | PMax | Mens Winter Specials,34.0,1.66,10.0
2023-10-31,UK | PMax | Zombie 5,8.0,0.5,3.0
2023-10-31,Store Solihull - DO NOT Touch,115.0,0.16,
2023-10-30,UK | PMax | Catchall,1123.0,536.44,1116.0
2023-10-30,UK | PMax | High ROAS 3.5>,823.0,504.02,808.0
2023-10-30,UK | PMax | Deals for Her,226.0,93.02,208.0
2023-10-30,IRE | PMax | Catchall,367.0,91.38,283.0
2023-10-30,UK | PMax | Ladies Coats & Jackets > HP,205.0,79.21,146.0
2023-10-30,UK | PMax | Ladies Winter Specials,142.0,65.66,134.0
2023-10-30,UK | PMax | Low ROAS <3.5,123.0,49.17,118.0
2023-10-30,"UK | PMax | Luggage, Handbags, Purses",149.0,48.16,122.0
2023-10-30,UK | PMax | Holdalls > HP,233.0,45.13,132.0
2023-10-30,UK | Search | Brand | tROAS,44.0,41.04,44.0
2023-10-30,EU | PMax | Catchall,145.0,38.18,145.0
2023-10-30,UK | PMax | Mens Leather Jackets > HP,113.0,34.82,69.0
2023-10-30,UK | PMax | Mens Sheepskin Footwear,79.0,22.52,51.0
2023-10-30,UK | Leather > General,43.0,21.16,43.0
2023-10-30,UK | PMax | Ladies Leather Jackets > HP,95.0,20.69,49.0
2023-10-30,UK | PMax | Ladies Sheepskin Jackets > HP,104.0,13.1,95.0
2023-10-30,UK | PMax | Zombie 3,40.0,10.19,25.0
2023-10-30,UK | Leather Bag > Broad,26.0,8.01,26.0
2023-10-30,"UK | PMax | Man Bags, Briefcases > HP",47.0,7.85,34.0
2023-10-30,UK | PMax | Zombie 7,25.0,7.52,22.0
2023-10-30,UK | Ashwood (General),18.0,5.28,18.0
2023-10-30,UK | PMax | Zombie 4,17.0,4.63,14.0
2023-10-30,UK | Leather Luggage | Broad,3.0,2.56,3.0
2023-10-30,UK | PMax | Zombie 6,4.0,2.45,3.0
2023-10-30,UK | PMax | Mens Winter Specials,31.0,1.41,17.0
2023-10-30,UK | PMax | Zombie 2,5.0,1.16,5.0
2023-10-30,UK | PMax | Zombie 5,4.0,0.39,2.0
2023-10-30,UK | PMax | Zombie 1,10.0,0.31,7.0
2023-10-30,UK | DSA,1.0,0.29,1.0
2023-10-30,Store Solihull - DO NOT Touch,93.0,0.1,
2023-10-29,UK | PMax | Catchall,1028.0,423.56,1018.0
2023-10-29,UK | PMax | High ROAS 3.5>,391.0,207.17,382.0
2023-10-29,UK | PMax | Deals for Her,270.0,121.85,256.0
2023-10-29,UK | PMax | Ladies Coats & Jackets > HP,262.0,105.12,219.0
2023-10-29,"UK | PMax | Luggage, Handbags, Purses",226.0,81.31,187.0
2023-10-29,UK | PMax | Ladies Winter Specials,166.0,77.23,147.0
2023-10-29,IRE | PMax | Catchall,330.0,76.23,250.0
2023-10-29,UK | PMax | Ladies Sheepskin Jackets > HP,211.0,68.06,154.0
2023-10-29,UK | PMax | Low ROAS <3.5,172.0,66.89,169.0
2023-10-29,UK | PMax | Mens Leather Jackets > HP,174.0,54.96,122.0
2023-10-29,UK | Leather > General,102.0,52.44,102.0
2023-10-29,UK | PMax | Holdalls > HP,172.0,46.87,75.0
2023-10-29,UK | Search | Brand | tROAS,84.0,41.44,84.0
2023-10-29,UK | PMax | Ladies Leather Jackets > HP,156.0,39.6,82.0
2023-10-29,EU | PMax | Catchall,183.0,39.17,183.0
2023-10-29,UK | PMax | Mens Sheepskin Footwear,104.0,33.76,64.0
2023-10-29,"UK | PMax | Man Bags, Briefcases > HP",111.0,27.68,88.0
2023-10-29,UK | PMax | Zombie 3,61.0,16.85,41.0
2023-10-29,UK | Ashwood (General),34.0,9.37,34.0
2023-10-29,UK | Leather Bag > Broad,35.0,6.39,35.0
2023-10-29,UK | Leather Luggage | Broad,10.0,5.75,10.0
2023-10-29,UK | PMax | Zombie 6,12.0,3.33,11.0
2023-10-29,UK | Search | Ladies Leather Coat,3.0,2.49,3.0
2023-10-29,UK | PMax | Zombie 4,19.0,2.27,15.0
2023-10-29,UK | PMax | Zombie 7,11.0,1.64,8.0
2023-10-29,UK | PMax | Zombie 1,14.0,1.64,10.0
2023-10-29,UK | PMax | Mens Winter Specials,35.0,1.62,15.0
2023-10-29,UK | PMax | Zombie 5,3.0,0.37,3.0
2023-10-29,Store Solihull - DO NOT Touch,92.0,0.04,
2023-10-29,UK | PMax | Zombie 2,5.0,0.02,1.0
2023-10-28,UK | PMax | Catchall,751.0,364.54,741.0
2023-10-28,UK | PMax | High ROAS 3.5>,506.0,252.4,493.0
2023-10-28,UK | PMax | Deals for Her,318.0,127.45,307.0
2023-10-28,UK | PMax | Ladies Coats & Jackets > HP,204.0,96.49,180.0
2023-10-28,"UK | PMax | Luggage, Handbags, Purses",246.0,94.79,225.0
2023-10-28,UK | PMax | Ladies Sheepskin Jackets > HP,236.0,67.67,166.0
2023-10-28,IRE | PMax | Catchall,255.0,55.43,203.0
2023-10-28,UK | PMax | Holdalls > HP,113.0,47.22,70.0
2023-10-28,UK | Leather > General,70.0,46.93,70.0
2023-10-28,EU | PMax | Catchall,194.0,42.55,194.0
2023-10-28,UK | PMax | Low ROAS <3.5,109.0,40.3,108.0
2023-10-28,UK | PMax | Ladies Leather Jackets > HP,119.0,36.38,76.0
2023-10-28,UK | PMax | Zombie 3,76.0,33.99,62.0
2023-10-28,UK | PMax | Ladies Winter Specials,124.0,32.91,104.0
2023-10-28,UK | Search | Brand | tROAS,68.0,30.96,68.0
2023-10-28,UK | PMax | Mens Sheepskin Footwear,109.0,23.92,42.0
2023-10-28,"UK | PMax | Man Bags, Briefcases > HP",65.0,17.67,61.0
2023-10-28,UK | PMax | Mens Leather Jackets > HP,118.0,16.98,51.0
2023-10-28,UK | Ashwood (General),38.0,11.12,38.0
2023-10-28,UK | Leather Bag > Broad,39.0,8.55,39.0
2023-10-28,UK | DSA,2.0,4.59,2.0
2023-10-28,UK | PMax | Zombie 4,12.0,2.67,8.0
2023-10-28,UK | Search | Ladies Leather Coat,4.0,2.14,4.0
2023-10-28,UK | PMax | Zombie 2,9.0,1.73,6.0
2023-10-28,UK | PMax | Zombie 1,3.0,1.42,3.0
2023-10-28,UK | PMax | Mens Winter Specials,34.0,1.27,15.0
2023-10-28,UK | PMax | Zombie 7,15.0,1.04,14.0
2023-10-28,UK | PMax | Zombie 6,8.0,0.69,4.0
2023-10-28,UK | Leather Luggage | Broad,1.0,0.38,1.0
2023-10-28,Store Solihull - DO NOT Touch,159.0,0.27,
2023-10-28,UK | PMax | Zombie 5,1.0,0.0,
2023-10-27,UK | PMax | Catchall,650.0,274.29,645.0
2023-10-27,UK | PMax | High ROAS 3.5>,564.0,261.73,555.0
2023-10-27,UK | PMax | Deals for Her,256.0,97.86,240.0
2023-10-27,"UK | PMax | Luggage, Handbags, Purses",187.0,70.7,171.0
2023-10-27,UK | PMax | Ladies Sheepskin Jackets > HP,215.0,65.98,159.0
2023-10-27,UK | Search | Brand | tROAS,62.0,62.17,62.0
2023-10-27,IRE | PMax | Catchall,322.0,55.03,213.0
2023-10-27,UK | PMax | Holdalls > HP,189.0,49.29,95.0
2023-10-27,UK | PMax | Ladies Coats & Jackets > HP,113.0,47.24,86.0
2023-10-27,EU | PMax | Catchall,157.0,37.28,157.0
2023-10-27,UK | PMax | Ladies Winter Specials,106.0,30.63,64.0
2023-10-27,UK | PMax | Zombie 3,62.0,29.09,51.0
2023-10-27,UK | PMax | Ladies Leather Jackets > HP,107.0,27.5,64.0
2023-10-27,UK | PMax | Low ROAS <3.5,75.0,24.79,74.0
2023-10-27,UK | Leather > General,35.0,24.46,35.0
2023-10-27,UK | PMax | Mens Sheepskin Footwear,72.0,19.94,41.0
2023-10-27,UK | Ashwood (General),35.0,14.44,35.0
2023-10-27,UK | PMax | Mens Leather Jackets > HP,78.0,10.46,29.0
2023-10-27,"UK | PMax | Man Bags, Briefcases > HP",32.0,8.28,25.0
2023-10-27,UK | Leather Bag > Broad,34.0,5.84,34.0
2023-10-27,UK | DSA,15.0,4.75,15.0
2023-10-27,UK | Leather Luggage | Broad,4.0,3.36,4.0
2023-10-27,UK | PMax | Zombie 7,6.0,1.23,6.0
2023-10-27,UK | PMax | Zombie 4,15.0,1.18,15.0
2023-10-27,UK | PMax | Zombie 6,7.0,1.18,6.0
2023-10-27,UK | Search | Ladies Leather Coat,1.0,0.43,1.0
2023-10-27,UK | PMax | Zombie 1,7.0,0.42,5.0
2023-10-27,UK | PMax | Zombie 2,1.0,0.41,1.0
2023-10-27,UK | PMax | Zombie 5,6.0,0.22,5.0
2023-10-27,Store Solihull - DO NOT Touch,97.0,0.16,
2023-10-27,UK | PMax | Mens Winter Specials,13.0,0.02,
2023-10-26,UK | PMax | Catchall,903.0,479.76,891.0
2023-10-26,UK | PMax | High ROAS 3.5>,567.0,272.82,541.0
2023-10-26,UK | PMax | Deals for Her,232.0,90.14,222.0
2023-10-26,UK | PMax | Ladies Sheepskin Jackets > HP,273.0,73.07,184.0
2023-10-26,UK | PMax | Ladies Coats & Jackets > HP,158.0,53.72,111.0
2023-10-26,"UK | PMax | Luggage, Handbags, Purses",141.0,52.97,119.0
2023-10-26,IRE | PMax | Catchall,301.0,52.19,219.0
2023-10-26,UK | PMax | Holdalls > HP,225.0,52.12,103.0
2023-10-26,EU | PMax | Catchall,192.0,45.68,192.0
2023-10-26,UK | PMax | Ladies Leather Jackets > HP,113.0,40.5,73.0
2023-10-26,UK | PMax | Low ROAS <3.5,79.0,33.68,78.0
2023-10-26,UK | Search | Brand | tROAS,45.0,33.57,45.0
2023-10-26,UK | PMax | Ladies Winter Specials,95.0,28.75,75.0
2023-10-26,UK | Leather > General,34.0,18.0,34.0
2023-10-26,UK | PMax | Zombie 3,54.0,16.44,45.0
2023-10-26,UK | PMax | Mens Sheepskin Footwear,47.0,12.49,29.0
2023-10-26,UK | Ashwood (General),24.0,6.61,24.0
2023-10-26,UK | DSA,9.0,6.24,9.0
2023-10-26,"UK | PMax | Man Bags, Briefcases > HP",28.0,4.83,13.0
2023-10-26,UK | Leather Bag > Broad,16.0,3.66,16.0
2023-10-26,UK | PMax | Zombie 1,10.0,3.11,10.0
2023-10-26,UK | PMax | Zombie 7,9.0,3.03,8.0
2023-10-26,UK | PMax | Zombie 6,8.0,2.45,7.0
2023-10-26,UK | PMax | Mens Leather Jackets > HP,52.0,2.13,14.0
2023-10-26,UK | PMax | Zombie 4,8.0,2.1,8.0
2023-10-26,UK | PMax | Zombie 2,11.0,0.98,9.0
2023-10-26,UK | PMax | Zombie 5,5.0,0.91,4.0
2023-10-26,UK | PMax | Mens Winter Specials,30.0,0.83,10.0
2023-10-26,UK | Search | Ladies Leather Coat,1.0,0.45,1.0
2023-10-26,Store Solihull - DO NOT Touch,72.0,0.1,
2023-10-25,UK | PMax | Catchall,588.0,243.89,574.0
2023-10-25,UK | PMax | High ROAS 3.5>,538.0,234.61,502.0
2023-10-25,UK | PMax | Deals for Her,283.0,108.85,274.0
2023-10-25,"UK | PMax | Luggage, Handbags, Purses",192.0,71.01,174.0
2023-10-25,UK | PMax | Ladies Sheepskin Jackets > HP,241.0,64.94,174.0
2023-10-25,UK | PMax | Low ROAS <3.5,105.0,49.62,105.0
2023-10-25,IRE | PMax | Catchall,284.0,47.72,195.0
2023-10-25,UK | PMax | Holdalls > HP,239.0,45.62,94.0
2023-10-25,EU | PMax | Catchall,197.0,42.14,197.0
2023-10-25,UK | PMax | Ladies Coats & Jackets > HP,122.0,40.11,69.0
2023-10-25,UK | PMax | Ladies Winter Specials,148.0,38.82,118.0
2023-10-25,UK | Leather > General,61.0,33.23,61.0
2023-10-25,UK | Search | Brand | tROAS,49.0,32.55,49.0
2023-10-25,UK | PMax | Ladies Leather Jackets > HP,123.0,32.14,67.0
2023-10-25,UK | PMax | Mens Sheepskin Footwear,71.0,23.65,51.0
2023-10-25,UK | PMax | Zombie 3,65.0,18.89,53.0
2023-10-25,UK | DSA,15.0,9.99,15.0
2023-10-25,"UK | PMax | Man Bags, Briefcases > HP",29.0,7.8,19.0
2023-10-25,UK | PMax | Mens Leather Jackets > HP,63.0,7.39,26.0
2023-10-25,UK | Leather Bag > Broad,29.0,4.58,29.0
2023-10-25,UK | Ashwood (General),19.0,4.41,19.0
2023-10-25,UK | PMax | Zombie 7,18.0,3.06,17.0
2023-10-25,UK | PMax | Mens Winter Specials,30.0,1.36,17.0
2023-10-25,UK | PMax | Zombie 4,10.0,1.32,4.0
2023-10-25,UK | PMax | Zombie 6,11.0,1.13,11.0
2023-10-25,UK | Search | Ladies Leather Coat,1.0,1.09,1.0
2023-10-25,UK | PMax | Zombie 2,9.0,0.89,8.0
2023-10-25,UK | Leather Luggage | Broad,2.0,0.79,2.0
2023-10-25,UK | PMax | Zombie 1,4.0,0.57,4.0
2023-10-25,UK | PMax | Zombie 5,4.0,0.2,3.0
2023-10-25,Store Solihull - DO NOT Touch,63.0,0.11,
2023-10-24,UK | PMax | Catchall,892.0,445.98,887.0
2023-10-24,UK | PMax | High ROAS 3.5>,600.0,271.32,545.0
2023-10-24,UK | PMax | Deals for Her,371.0,157.8,360.0
2023-10-24,UK | PMax | Ladies Sheepskin Jackets > HP,303.0,79.35,179.0
2023-10-24,UK | PMax | Ladies Coats & Jackets > HP,169.0,62.45,114.0
2023-10-24,"UK | PMax | Luggage, Handbags, Purses",174.0,60.55,155.0
2023-10-24,IRE | PMax | Catchall,261.0,60.45,195.0
2023-10-24,UK | PMax | Holdalls > HP,342.0,58.18,101.0
2023-10-24,UK | PMax | Low ROAS <3.5,140.0,52.14,140.0
2023-10-24,UK | PMax | Ladies Leather Jackets > HP,152.0,47.62,75.0
2023-10-24,UK | PMax | Zombie 3,131.0,46.45,114.0
2023-10-24,UK | Leather > General,79.0,44.29,79.0
2023-10-24,EU | PMax | Catchall,205.0,39.82,205.0
2023-10-24,UK | PMax | Ladies Winter Specials,119.0,37.57,109.0
2023-10-24,UK | PMax | Mens Sheepskin Footwear,81.0,36.67,51.0
2023-10-24,UK | Search | Brand | tROAS,66.0,33.84,66.0
2023-10-24,UK | DSA,21.0,10.17,21.0
2023-10-24,UK | Leather Bag > Broad,54.0,9.39,54.0
2023-10-24,"UK | PMax | Man Bags, Briefcases > HP",32.0,9.09,25.0
2023-10-24,UK | PMax | Zombie 7,10.0,7.46,10.0
2023-10-24,UK | Ashwood (General),19.0,6.91,19.0
2023-10-24,UK | PMax | Mens Leather Jackets > HP,62.0,5.82,28.0
2023-10-24,UK | PMax | Zombie 4,24.0,3.37,17.0
2023-10-24,UK | PMax | Zombie 6,18.0,2.95,16.0
2023-10-24,UK | Leather Luggage | Broad,3.0,2.18,3.0
2023-10-24,UK | Search | Ladies Leather Coat,2.0,1.3,2.0
2023-10-24,UK | PMax | Zombie 1,10.0,0.81,8.0
2023-10-24,UK | PMax | Zombie 2,5.0,0.7,5.0
2023-10-24,UK | PMax | Mens Winter Specials,17.0,0.22,3.0
2023-10-24,UK | PMax | Zombie 5,6.0,0.08,1.0
2023-10-24,Store Solihull - DO NOT Touch,56.0,0.06,
2023-10-23,UK | PMax | High ROAS 3.5>,592.0,268.52,541.0
2023-10-23,UK | PMax | Catchall,572.0,251.46,566.0
2023-10-23,UK | PMax | Deals for Her,386.0,176.02,367.0
2023-10-23,UK | PMax | Ladies Sheepskin Jackets > HP,366.0,79.79,197.0
2023-10-23,"UK | PMax | Luggage, Handbags, Purses",136.0,66.26,128.0
2023-10-23,IRE | PMax | Catchall,276.0,65.26,206.0
2023-10-23,UK | PMax | Holdalls > HP,512.0,56.91,132.0
2023-10-23,UK | Leather > General,118.0,55.57,118.0
2023-10-23,UK | PMax | Low ROAS <3.5,114.0,46.88,114.0
2023-10-23,UK | PMax | Ladies Winter Specials,86.0,46.52,74.0
2023-10-23,UK | PMax | Zombie 3,132.0,44.59,115.0
2023-10-23,UK | PMax | Ladies Coats & Jackets > HP,136.0,42.03,81.0
2023-10-23,UK | PMax | Mens Sheepskin Footwear,228.0,38.48,115.0
2023-10-23,EU | PMax | Catchall,184.0,37.58,184.0
2023-10-23,UK | Search | Brand | tROAS,64.0,36.92,64.0
2023-10-23,UK | PMax | Ladies Leather Jackets > HP,108.0,33.63,69.0
2023-10-23,"UK | PMax | Man Bags, Briefcases > HP",45.0,12.07,38.0
2023-10-23,UK | Leather Bag > Broad,47.0,11.67,47.0
2023-10-23,UK | Ashwood (General),36.0,9.3,36.0
2023-10-23,UK | DSA,14.0,9.09,14.0
2023-10-23,UK | PMax | Mens Leather Jackets > HP,76.0,6.75,24.0
2023-10-23,UK | PMax | Zombie 4,15.0,3.82,12.0
2023-10-23,UK | Leather Luggage | Broad,6.0,3.39,6.0
2023-10-23,UK | PMax | Zombie 6,6.0,2.53,4.0
2023-10-23,UK | Search | Ladies Leather Coat,2.0,1.96,2.0
2023-10-23,UK | PMax | Zombie 2,4.0,1.47,4.0
2023-10-23,UK | PMax | Zombie 7,7.0,1.33,4.0
2023-10-23,UK | PMax | Zombie 1,6.0,1.24,5.0
2023-10-23,UK | PMax | Zombie 5,5.0,1.14,4.0
2023-10-23,UK | PMax | Mens Winter Specials,12.0,0.47,1.0
2023-10-23,Store Solihull - DO NOT Touch,83.0,0.1,
2023-10-22,UK | PMax | Catchall,660.0,303.7,648.0
2023-10-22,UK | PMax | High ROAS 3.5>,594.0,280.83,540.0
2023-10-22,UK | PMax | Deals for Her,258.0,103.06,242.0
2023-10-22,UK | Leather > General,160.0,78.79,160.0
2023-10-22,"UK | PMax | Luggage, Handbags, Purses",160.0,65.73,141.0
2023-10-22,UK | PMax | Ladies Sheepskin Jackets > HP,215.0,60.23,129.0
2023-10-22,UK | PMax | Ladies Coats & Jackets > HP,218.0,57.67,106.0
2023-10-22,IRE | PMax | Catchall,312.0,56.53,220.0
2023-10-22,UK | PMax | Low ROAS <3.5,169.0,53.65,166.0
2023-10-22,UK | PMax | Ladies Winter Specials,122.0,51.7,112.0
2023-10-22,UK | PMax | Holdalls > HP,309.0,48.69,80.0
2023-10-22,UK | PMax | Zombie 3,162.0,45.16,130.0
2023-10-22,UK | PMax | Mens Sheepskin Footwear,222.0,43.1,89.0
2023-10-22,EU | PMax | Catchall,203.0,42.69,203.0
