date,Campaign,Interactions,Costs,Clicks
2023-12-27,UK | PMax | Zombie 1,155.0,17.69,59.0
2023-12-27,UK | PMax | Zombie 7,173.0,14.75,72.0
2023-12-27,Store Solihull - DO NOT Touch,758.0,1.93,
2023-12-26,UK | PMax | Catchall,1781.0,469.86,936.0
2023-12-26,UK | PMax | High ROAS 3.5>,1389.0,340.28,753.0
2023-12-26,UK | Shopping | Mens Leather Jackets,358.0,94.98,358.0
2023-12-26,"UK | PMax | Man Bags, Briefcases > HP",365.0,82.91,195.0
2023-12-26,UK | Leather > General,219.0,76.41,219.0
2023-12-26,IRE | PMax | Catchall,241.0,59.49,232.0
2023-12-26,UK | PMax | Zombie 4,176.0,43.15,173.0
2023-12-26,UK | PMax | Mens Edinburgh Leather Jacket,135.0,42.38,120.0
2023-12-26,UK | PMax | Zombie 1,194.0,37.25,87.0
2023-12-26,UK | PMax | Zombie 7,173.0,31.72,72.0
2023-12-26,UK | PMax | Zombie 5,101.0,29.5,97.0
2023-12-26,UK | Search | Brand | tROAS,110.0,27.87,110.0
2023-12-26,UK | PMax | Zombie 2,91.0,26.35,85.0
2023-12-26,UK | Ashwood (General),75.0,25.01,75.0
2023-12-26,UK | Leather Luggage | Broad,33.0,21.88,33.0
2023-12-26,Store Solihull - DO NOT Touch,506.0,1.28,
2023-12-25,UK | PMax | Catchall,1417.0,264.85,530.0
2023-12-25,UK | PMax | High ROAS 3.5>,1195.0,234.59,474.0
2023-12-25,UK | PMax | Mens Edinburgh Leather Jacket,150.0,68.41,139.0
2023-12-25,UK | Shopping | Mens Leather Jackets,221.0,59.6,221.0
2023-12-25,"UK | PMax | Man Bags, Briefcases > HP",269.0,47.83,76.0
2023-12-25,IRE | PMax | Catchall,176.0,38.24,160.0
2023-12-25,UK | Leather > General,96.0,37.82,96.0
2023-12-25,UK | Search | Brand | tROAS,75.0,35.63,75.0
2023-12-25,UK | PMax | Zombie 1,169.0,32.53,80.0
2023-12-25,UK | PMax | Zombie 5,90.0,30.48,88.0
2023-12-25,UK | PMax | Zombie 4,105.0,28.01,104.0
2023-12-25,UK | Leather Luggage | Broad,29.0,20.55,29.0
2023-12-25,UK | Ashwood (General),33.0,12.24,33.0
2023-12-25,UK | PMax | Zombie 2,39.0,11.0,34.0
2023-12-25,UK | PMax | Zombie 7,114.0,8.87,41.0
2023-12-25,Store Solihull - DO NOT Touch,164.0,0.21,
2023-12-24,UK | PMax | Catchall,1708.0,286.48,445.0
2023-12-24,UK | PMax | High ROAS 3.5>,1106.0,187.58,358.0
2023-12-24,UK | PMax | Mens Edinburgh Leather Jacket,169.0,87.73,156.0
2023-12-24,UK | Shopping | Mens Leather Jackets,212.0,56.99,212.0
2023-12-24,UK | PMax | Zombie 5,96.0,41.82,96.0
2023-12-24,UK | Search | Brand | tROAS,55.0,33.47,55.0
2023-12-24,"UK | PMax | Man Bags, Briefcases > HP",310.0,32.05,61.0
2023-12-24,UK | Leather > General,70.0,29.75,70.0
2023-12-24,IRE | PMax | Catchall,105.0,24.04,89.0
2023-12-24,UK | PMax | Zombie 4,70.0,23.95,64.0
2023-12-24,UK | Leather Luggage | Broad,21.0,20.83,21.0
2023-12-24,UK | PMax | Zombie 1,122.0,11.19,31.0
2023-12-24,UK | PMax | Zombie 2,36.0,8.77,27.0
2023-12-24,UK | PMax | Zombie 7,106.0,7.95,33.0
2023-12-24,UK | Ashwood (General),17.0,6.19,17.0
2023-12-24,Store Solihull - DO NOT Touch,530.0,1.07,
