"Main Reference","Product Name",Brand,Attributes,"Product Reference","Product Model","Sale Price","Regular Price","RRP Price",Categories,"Num. Categories","Stock Message","Stock Level","Total Images","Product Specific Images","On Sale",Active,Discontinued,"Meta Title","Meta Keywords","Meta Description",Weight,"Friendly URL","Image Location"
00004047,"Leather Biker Jacket Cognac/app : Monika",Ashwood,"Size: 22",0000404708,95800,129.000,129.000,0,"&middot;&nbsp;Ladies,Leather Jackets,Biker Styles<br />",3,,4,5,5,N,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/ashwood-leather-biker-jacket-cognac-app-monika-p456,https://www.leathercompany.co.uk/images/products/1457195175-77121900.png
00004047,"Leather Biker Jacket Cognac/app : Monika",Ashwood,"Size: 6",0000404700,95800,129.000,129.000,0,"&middot;&nbsp;Ladies,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/ashwood-leather-biker-jacket-cognac-app-monika-p456,https://www.leathercompany.co.uk/images/products/1457195175-77121900.png
00004047,"Leather Biker Jacket Cognac/app : Monika",Ashwood,"Size: 24",0000404709,95800,129.000,129.000,0,"&middot;&nbsp;Ladies,Leather Jackets,Biker Styles<br />",3,,4,5,5,N,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/ashwood-leather-biker-jacket-cognac-app-monika-p456,https://www.leathercompany.co.uk/images/products/1457195175-77121900.png
00004047,"Leather Biker Jacket Cognac/app : Monika",Ashwood,"Size: 26",0000404710,95800,129.000,129.000,0,"&middot;&nbsp;Ladies,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/ashwood-leather-biker-jacket-cognac-app-monika-p456,https://www.leathercompany.co.uk/images/products/1457195175-77121900.png
00004047,"Leather Biker Jacket Cognac/app : Monika",Ashwood,"Size: 28",0000404711,95800,129.000,129.000,0,"&middot;&nbsp;Ladies,Leather Jackets,Biker Styles<br />",3,,0,5,5,N,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/ashwood-leather-biker-jacket-cognac-app-monika-p456,https://www.leathercompany.co.uk/images/products/1457195175-77121900.png
00016348,"Brontes Timber- Leather Coat",Ashwood,"Size: XL",0001634806,2238,210.000,210.000,325.000,"&middot;&nbsp;Mens,Leather Jackets,Biker Styles<br />",3,,1,5,5,N,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-coat-timber-brontes-p252,https://www.leathercompany.co.uk/images/products/1454505968-18277400.jpg
00005818,"Ely Black/ani- Leather Coat",Ashwood,"Size: XXXS",0000581800,2302,149.000,225.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,3/4 Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-coat-black-ani-ely-p50,https://www.leathercompany.co.uk/images/products/1447950132-15072300.jpg
00005818,"Ely Black/ani- Leather Coat",Ashwood,"Size: XXS",0000581801,2302,149.000,225.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,3/4 Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-coat-black-ani-ely-p50,https://www.leathercompany.co.uk/images/products/1447950132-15072300.jpg
00005818,"Ely Black/ani- Leather Coat",Ashwood,"Size: 4XL",0000581809,2302,149.000,225.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,3/4 Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-coat-black-ani-ely-p50,https://www.leathercompany.co.uk/images/products/1447950132-15072300.jpg
00005818,"Ely Black/ani- Leather Coat",Ashwood,"Size: 5XL",0000581810,2302,149.000,225.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,3/4 Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-coat-black-ani-ely-p50,https://www.leathercompany.co.uk/images/products/1447950132-15072300.jpg
