NumberType: GTIN-13,,,,,,,,,
Prefix: 506099970,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
5060999700188,Active,HARRY | BRIDGE/VT | Size:ONE SIZE,HARRY | BRIDGE/VT | Size:ONE SIZE | Medium Weekend Leather Holdall Bridge/vt : Harry,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/holdall-c15/medium-weekend-leather-holdall-bridge-vt-harry-p6468,N/A,0002448900,14/11/2022 13:22:52
5060999706418,Active,C-51 | TAN | Size:ONE SIZE,C-51 | TAN | Size:ONE SIZE | Ashwood Crocodile Print Leather Backpack Tan: C-51,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-crocodile-print-leather-backpack-tan-c-51-p5411,N/A,0004148700,11/05/2023 16:24:23
5060999706425,Active,C-51 | TEAL | Size:ONE SIZE,C-51 | TEAL | Size:ONE SIZE | Ashwood Crocodile Print Leather Backpack Teal: C-51,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-crocodile-print-leather-backpack-teal-c-51-p5412,N/A,0004148800,11/05/2023 16:24:57
5060999706388,Active,C-51 | BLACK | Size:ONE SIZE,C-51 | BLACK | Size:ONE SIZE | Ashwood Crocodile Print Leather Backpack Black: C-51,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-crocodile-print-leather-backpack-black-c-51-p5408,N/A,0004148900,11/05/2023 16:11:46
5060999706401,Active,C-51 | GREEN | Size:ONE SIZE,C-51 | GREEN | Size:ONE SIZE | Ashwood Crocodile Print Leather Backpack Green: C-51,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-crocodile-print-leather-backpack-green-c-51-p5410,N/A,0004149000,11/05/2023 16:23:48
5060999706517,Active,C-52 | TAN | Size:ONE SIZE,C-52 | TAN | Size:ONE SIZE | Ashwood Two Section Leather Tote Bag Tan: C-52,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-two-section-leather-tote-bag-tan-c-52-p5416,N/A,0004149100,15/05/2023 14:32:05
5060999706500,Active,C-52 | TEAL | Size:ONE SIZE,C-52 | TEAL | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0004149200,15/05/2023 14:30:14
5060999703684,Active,C-52 | BLACK | Size:ONE SIZE,C-52 | BLACK | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0004149300,21/02/2023 10:17:34
5060999703691,Active,C-52 | GREEN | Size:ONE SIZE,C-52 | GREEN | Size:ONE SIZE | Ashwood Two Section Leather Tote Bag Green: C-52,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-two-section-leather-tote-bag-green-c-52-p5415,N/A,0004149400,21/02/2023 10:18:17
5060999706531,Active,C-53 | BLACK | Size:ONE SIZE,C-53 | BLACK | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0004149500,15/05/2023 15:31:18
5060999706562,Active,C-53 | TAN | Size:ONE SIZE,C-53 | TAN | Size:ONE SIZE | Ashwood Crocodile Print Zip Around Leather Tote Bag Tan: C-53,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-crocodile-print-zip-around-leather-tote-bag-tan-c-53-p5421,N/A,0004149600,15/05/2023 15:35:37
5060999706579,Active,C-53 | TEAL | Size:ONE SIZE,C-53 | TEAL | Size:ONE SIZE | Ashwood Crocodile Print Zip Around Leather Tote Bag Teal: C-53,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-crocodile-print-zip-around-leather-tote-bag-teal-c-53-p5422,N/A,0004149700,15/05/2023 15:37:01
5060999706555,Active,C-53 | GREEN | Size:ONE SIZE,C-53 | GREEN | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0004149800,15/05/2023 15:33:46
5060999706586,Active,C-54 | BLACK | Size:ONE SIZE,C-54 | BLACK | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0004149900,15/05/2023 16:13:06
5060999706616,Active,C-54 | TAN | Size:ONE SIZE,C-54 | TAN | Size:ONE SIZE | Ashwood Leather Crocodile Print Two Section With Mid Purse Bag Tan: C-54,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-crocodile-print-two-section-with-mid-purse-bag-tan-c-54-p5426,N/A,0004150000,15/05/2023 16:17:08
5060999706623,Active,C-54 | TEAL | Size:ONE SIZE,C-54 | TEAL | Size:ONE SIZE | Ashwood Leather Crocodile Print Two Section With Mid Purse Bag Teal: C-54,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-leather-crocodile-print-two-section-with-mid-purse-bag-teal-c-54-p5427,N/A,0004150100,15/05/2023 16:18:23
5060999706609,Active,C-54 | GREEN | Size:ONE SIZE,C-54 | GREEN | Size:ONE SIZE | Ashwood Leather Crocodile Print Two Section With Mid Purse Bag Green: C-54,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-leather-crocodile-print-two-section-with-mid-purse-bag-green-c-54-p5425,N/A,0004150200,15/05/2023 16:15:53
5060999706630,Active,C-55 | BLACK | Size:ONE SIZE,C-55 | BLACK | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0004150300,16/05/2023 10:45:50
5060999706661,Active,C-55 | TAN | Size:ONE SIZE,C-55 | TAN | Size:ONE SIZE | Ashwood Leather Crocodile Print Shoulder Bag Tan: C-55,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-leather-crocodile-print-shoulder-bag-tan-c-55-p5431,N/A,0004150400,16/05/2023 10:52:01
5060999706678,Active,C-55 | TEAL | Size:ONE SIZE,C-55 | TEAL | Size:ONE SIZE | Ashwood Leather Crocodile Print Shoulder Bag Teal: C-55,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-leather-crocodile-print-shoulder-bag-teal-c-55-p5432,N/A,0004150500,16/05/2023 10:53:11
5060999706654,Active,C-55 | GREEN | Size:ONE SIZE,C-55 | GREEN | Size:ONE SIZE | Ashwood Leather Crocodile Print Shoulder Bag Green: C-55,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-leather-crocodile-print-shoulder-bag-green-c-55-p5430,N/A,0004150600,16/05/2023 10:50:00
