# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240131
# End date: 20240227
Landing page,Sessions,Users,New users,Engagement rate,Bounce rate,Average engagement time per session,Conversions,Total revenue
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1256,376,335,262,0.6542553191489362,0.34574468085106386,55.19946808510638,2,359
/luggage-c7/holdall-c15/large-vintage-leather-travel-holdall-tan-jayden-p4213/s14921,367,323,270,0.662125340599455,0.33787465940054495,59.356948228882835,3,387.25
/mens-c4/leather-jackets-c25/leather-biker-jacket-white-berlin-p874/s4927,355,163,139,0.43661971830985913,0.5633802816901409,20.743661971830985,1,179
/mens-c4/sheepskin-jackets-c26/sheepskin-coat-tan-hektor-p807/s4338,354,312,273,0.4463276836158192,0.5536723163841808,14.05084745762712,0,0
/ladies-c3/ladies-waistcoats-c47/fitted-leather-gilet-with-faux-fur-collar-brown-snu-cumbria-p1627/s7746,334,304,267,0.5299401197604791,0.47005988023952094,21.565868263473053,0,0
/mens-c4/leather-jackets-c25/leather-coat-nevada-timber-brontes-p252/s1452,329,271,222,0.5440729483282675,0.45592705167173253,28.78419452887538,0,0
/mens-c4/man-bags-briefcases-c12/mens-small-vintage-leather-travel-bag-rust-7993-p675/s4142,310,268,222,0.47096774193548385,0.5290322580645161,19.206451612903226,1,59.99
/luggage-c7/holdall-c15/large-vintage-leather-travel-holdall-brown-marcus-p3248/s11745,307,273,216,0.5276872964169381,0.4723127035830619,36.042345276872965,2,426.25
/mens-c4/leather-jackets-c25/leather-coat-nevada-timber-brontes-p252/s1448,306,283,240,0.7222222222222222,0.2777777777777778,41.11437908496732,1,210
/ladies-c3/leather-biker-jacket-navy-lola-p5468/s17047,300,278,239,0.6733333333333333,0.32666666666666666,59.24666666666667,2,268
/mens-c4/man-bags-briefcases-c12/mens-3-pocket-luxury-small-leather-flight-bag-tan-jack-p660/s4127,298,258,205,0.46308724832214765,0.5369127516778524,22.23489932885906,2,134.55
