Top vs. Other,Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Mobile final URL,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. value / click,Conv. value (by conv. time),Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.
Google search: Other,Enabled,leather blazers,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,1,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,leather puffer jacket,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,black leather blazer,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners: Top,Enabled,ladies black leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,women's leather jackets sale,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,leather blazer women,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,2,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,leather blazer women,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,leather gilet,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,3,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,oversized biker jacket,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,black leather biker jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,12,2,16.67%,1.22,2.43,0.00,0.00,2,0.00%,0.00,0.00,0.00,1.22,0.00
Google search: Top,Enabled,womens leather jackets,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,39,2,5.13%,0.20,0.39,0.00,0.00,2,0.00%,0.00,0.00,0.00,0.20,0.00
Google Display Network,Enabled,womens leather jackets,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google Display Network,Enabled,real leather jacket women,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google Display Network,Enabled,burgundy leather jacket,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners: Top,Enabled,longline leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,ladies leather biker jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,71,6,8.45%,0.29,1.73,0.00,0.00,6,0.00%,0.00,0.00,0.00,0.29,0.00
Search partners: Top,Enabled,ladies leather biker jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google Display Network,Enabled,zara man leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google Display Network,Enabled,leather bomber jacket women,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google Display Network,Enabled,leather blazer women,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,leather blazer women,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,black leather blazer womens,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,leather jacket black,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,black biker jacket women,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,quality leather jacket,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,leather look jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,16,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners: Top,Enabled,black biker jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,petite leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,3,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,black leather blazer,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,2,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,long leather jacket womens,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,20,2,10.00%,0.29,0.57,0.00,0.00,2,0.00%,0.00,0.00,0.00,0.29,0.00
Google search: Top,Enabled,ladies black leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,57,8,14.04%,0.55,4.41,0.00,0.00,8,0.00%,0.00,0.00,0.00,0.55,0.00
Cross-network,Enabled,women's leather jackets sale,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,red biker jacket womens,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,1,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,hooded leather jacket womens,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,4,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,leather trench coats,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,long leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,long black leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,cream leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners: Top,Enabled,womens leather jackets,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,uk leather jackets,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,75,5,6.67%,1.19,5.96,6.52,32.58,5,11.85%,32.58,5.47,0.59,1.19,10.06
Search partners: Top,Enabled,leather jacket green,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners: Top,Enabled,long leather coat,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,zara man leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,pink biker jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,mens leather jacket with hood,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,15,1,6.67%,0.66,0.66,0.00,0.00,1,0.00%,0.00,0.00,0.00,0.66,0.00
Google search: Other,Enabled,mens leather jacket with hood,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,9,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,mens leather jacket with hood,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,women's real leather jackets sale,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,88,7,7.95%,0.19,1.32,0.00,0.00,7,0.00%,0.00,0.00,0.00,0.19,0.00
Search partners,Enabled,tan leather jacket womens,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,leather jackets for women,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,216,5,2.31%,0.29,1.47,0.00,0.00,5,0.00%,0.00,0.00,0.00,0.29,0.00
Cross-network,Enabled,brown leather jacket womens,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners: Top,Enabled,real leather jacket mens,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google Display Network,Enabled,leather jacket with fur collar,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,brown leather blazer,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,leather holdall with wheels,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,509,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,leather holdall,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,"4,993",139,2.78%,0.62,86.19,0.00,0.00,139,0.00%,0.00,0.00,0.00,0.62,0.00
Search partners: Top,Enabled,mens leather holdall,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners: Top,Enabled,leather holdall,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,leather holdall,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,"6,387",26,0.41%,0.44,11.36,0.00,0.00,26,0.00%,0.00,0.00,0.00,0.44,0.00
Google Display Network,Enabled,mens leather holdall,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,mens leather holdall,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,leather holdall,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,mens leather holdall,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,"3,217",82,2.55%,0.65,53.26,3.90,320.00,82,2.44%,320.00,6.01,2.00,0.65,26.63
Google search: Top,Enabled,leather holdall with wheels,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,"1,562",177,11.33%,0.72,127.60,5.02,887.90,177,2.82%,887.90,6.96,5.00,0.72,25.52
Google search: Other,Enabled,leather holdall with wheels,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,804,26,3.23%,0.43,11.16,0.00,0.00,26,0.00%,0.00,0.00,0.00,0.43,0.00
Search partners: Top,Enabled,leather holdall with wheels,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,leather holdall with wheels,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google Display Network,Enabled,leather holdall,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,mens leather holdall,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,"11,806",973,8.24%,0.97,941.28,2.35,"2,289.24",973,1.73%,"2,289.24",2.43,16.86,0.97,55.83
Google Display Network,Enabled,leather holdall with wheels,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,leather holdall,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,"13,173","1,185",9.00%,0.93,1101.94,2.92,"3,459.83","1,185",1.83%,"3,459.83",3.14,21.68,0.93,50.82
Search partners,Enabled,mens leather holdall,Broad match,UK | Leather Luggage | Broad,Leather Holdall,Eligible,,GBP, --,,,"2,466",9,0.36%,0.69,6.24,0.00,0.00,9,0.00%,0.00,0.00,0.00,0.69,0.00
Cross-network,Enabled,leather luggage,Broad match,UK | Leather Luggage | Broad,Leather Luggage,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,leather luggage,Broad match,UK | Leather Luggage | Broad,Leather Luggage,Eligible,,GBP, --,,,"1,503",44,2.93%,0.50,21.81,0.03,1.26,44,0.04%,1.26,0.06,0.02,0.50,1193.24
Google Display Network,Enabled,leather luggage,Broad match,UK | Leather Luggage | Broad,Leather Luggage,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners: Top,Enabled,leather luggage,Broad match,UK | Leather Luggage | Broad,Leather Luggage,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,leather luggage,Broad match,UK | Leather Luggage | Broad,Leather Luggage,Eligible,,GBP, --,,,"2,095",185,8.83%,1.02,188.54,3.50,647.97,185,0.98%,647.97,3.44,1.81,1.02,104.03
Search partners,Enabled,leather luggage,Broad match,UK | Leather Luggage | Broad,Leather Luggage,Eligible,,GBP, --,,,"1,590",4,0.25%,0.42,1.68,0.00,0.00,4,0.00%,0.00,0.00,0.00,0.42,0.00
Google Display Network,Enabled,[Leather Company Birmingham],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners: Top,Enabled,Leather Company Birmingham,Broad match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,The Real Leather Company,Broad match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,178,19,10.67%,2.81,53.32,0.00,0.00,19,0.00%,0.00,0.00,0.00,2.81,0.00
Google Display Network,Enabled,The Real Leather Company,Broad match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,[The Real Leather Company],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,567,183,32.28%,1.53,279.50,2.16,395.11,183,2.64%,395.11,1.41,4.82,1.53,57.94
Google search: Other,Enabled,[The Real Leather Company],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,11,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google Display Network,Enabled,[The Real Leather Company],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,[The Real Leather Company],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,6,1,16.67%,0.33,0.33,0.00,0.00,1,0.00%,0.00,0.00,0.00,0.33,0.00
Google search: Other,Enabled,[The Leather Company],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,366,9,2.46%,1.24,11.15,0.00,0.00,9,0.00%,0.00,0.00,0.00,1.24,0.00
Google Display Network,Enabled,Leather Company Birmingham,Broad match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,[Leather Company Birmingham],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,194,34,17.53%,0.82,27.95,0.00,0.00,34,0.00%,0.00,0.00,0.00,0.82,0.00
Google search: Top,Enabled,[The Leather Company],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,"10,418","7,287",69.95%,0.25,1848.95,5.14,"36,975.79","7,287",3.79%,"37,444.79",20.25,276.52,0.25,6.69
Search partners: Top,Enabled,[The Real Leather Company],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,Leather Company Birmingham,Broad match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,"1,990",124,6.23%,0.77,95.54,1.75,217.38,124,1.08%,217.38,2.28,1.33,0.77,71.66
Cross-network,Enabled,[Leather Company Birmingham],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,[The Leather Company],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,916,17,1.86%,0.51,8.62,15.83,269.04,17,17.65%,269.04,31.21,3.00,0.51,2.87
Google search: Other,Enabled,The Real Leather Company,Broad match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,18,2,11.11%,12.93,25.86,0.00,0.00,2,0.00%,0.00,0.00,0.00,12.93,0.00
Search partners: Top,Enabled,[Leather Company Birmingham],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google Display Network,Enabled,[The Leather Company],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,[The Leather Company],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,Leather Company Birmingham,Broad match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,[Leather Company Birmingham],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,4,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,[Leather Company Birmingham],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,755,305,40.40%,1.08,328.55,1.88,574.42,305,1.92%,574.42,1.75,5.84,1.08,56.25
Search partners: Top,Enabled,[The Leather Company],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,[The Real Leather Company],Exact match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,The Real Leather Company,Broad match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,6,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,Leather Company Birmingham,Broad match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,"4,356","1,229",28.21%,1.55,1900.23,6.03,"7,413.96","1,229",4.55%,"7,413.96",3.90,55.91,1.55,33.99
Search partners,Enabled,Leather Company Birmingham,Broad match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,104,4,3.85%,0.90,3.59,0.00,0.00,4,0.00%,0.00,0.00,0.00,0.90,0.00
Search partners: Top,Enabled,The Real Leather Company,Broad match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,The Real Leather Company,Broad match,UK | Search | Brand | tROAS,Leather Company Brand Terms,Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,black biker jacket women,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,black biker jacket women,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,pink leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,11,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,cropped leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,black biker jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google Display Network,Enabled,biker leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners: Top,Enabled,leather jacket with hoodie,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners: Top,Enabled,black biker jacket,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,oversized leather jacket,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners: Top,Enabled,leather blazer women,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,leather gilet,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,long leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,16,2,12.50%,0.24,0.47,0.00,0.00,2,0.00%,0.00,0.00,0.00,0.24,0.00
Search partners: Top,Enabled,long leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners: Top,Enabled,oversized leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
