# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20231231
Landing page,Country,Sessions,Users,New users,Engagement rate,Average engagement time per session,Key events,Total revenue
/ladies-c3/sheepskin-jackets-c11/fur-poncho-blue-sian-p832/s4536,United Kingdom,2311,2121,1956,0.4513197749891822,14.208567719601904,0,0
/ladies-c3/womens-medium-leather-wallet-purse-two-tone-tan-s3-p6720/s20050,United Kingdom,2301,2084,1833,0.6688396349413298,48.12863972186006,37,1166.992039
/gift-accessories-c8/purses-c36/medium-purses-c95/vintage-woven-leather-medium-18-card-purse-yellow-d-83-p4301/s15022,United Kingdom,2260,2104,1865,0.6128318584070797,38.53141592920354,40,1198.048542
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1256,United Kingdom,2254,2003,1707,0.6743566992014197,58.15882874889086,15,2253.64
,(not set),2219,2208,2205,0.004506534474988734,0.12302839116719243,0,0
/,(not set),2176,2171,2163,0.004595588235294118,0.34237132352941174,0,0
,Germany,2162,1497,1383,0.35846438482886217,20.347826086956523,5,578.058336
/,Germany,2135,1732,1419,0.40843091334894616,49.60655737704918,6,892.241597
/ladies-c3/purses-c22/14-card-rfid-protected-xl-leather-purse-two-tone-tan-s2-p6714/s20044,United Kingdom,2122,1987,1702,0.6687087653157399,41.332704995287465,24,1063.21
/mens-c4/mens-waistcoats-c58,United Kingdom,2106,1873,1647,0.7174738841405508,72.97483380816715,14,1026.220831
/luggage-c7/holdall-c15/large-vintage-leather-travel-holdall-brown-marcus-p3248/s11745,United Kingdom,2088,1834,1544,0.6475095785440613,46.4889846743295,19,2364.09
/mens-c4/deals-for-him-c162,United Kingdom,2052,1542,1079,0.6052631578947368,101.6842105263158,29,2702.222159
(not set),Ireland,2045,1545,532,0.023960880195599023,31.068459657701712,11,980.8
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-tan-alaska-p883/s5016,United Kingdom,2014,1867,1672,0.5665342601787487,39.75124131082423,1,1395
/ladies-c3/leather-jackets-c9/biker-styles-c78/leather-jacket-tan-ruby-p3203/s11598,United Kingdom,1991,1817,1654,0.6609743847312908,57.39678553490708,23,1658
,Ireland,1989,1537,1234,0.47410759175465056,68.1427853192559,10,1248.33
/weekly-deals-c164,United Kingdom,1986,1784,1348,0.6304128902316214,101.74420946626385,19,979.89
/handbags-c6/ashwood-c30/medium-leather-shoulder-bag-tan-62551-p3662/s13105,United Kingdom,1974,1707,1448,0.6453900709219859,61.01215805471124,28,715.511112
/luggage-c7/holdall-c15/large-leather-holdall-brown-k-48-p7329,United Kingdom,1974,1679,1580,0.41236068895643363,24.18338399189463,2,340
/sheepskin-fur-c5/sheepskin-footwear-c46/fenland-m10,United Kingdom,1971,1804,1633,0.7376966007102993,67.76204972095383,61,2663.540413
/ladies-c3/ashwood-zip-top-leather-cross-body-bag-black-sb-buckle-p6031/s18590,United Kingdom,1958,1758,1545,0.625638406537283,56.807456588355464,34,1502.17
/sheepskin-fur-c5/mens-sheepskin-jackets-c35,United Kingdom,1889,1687,1351,0.6881948120698782,78.29010058231869,5,2379.48
/mens-c4/man-bags-briefcases-c12/ashwood-luggage-mens-leather-flight-bag-tan-crum-8341-p318/s1821,United Kingdom,1859,1651,1369,0.6180742334588488,50.791285637439486,24,1369.912643
/,Pakistan,1858,1127,926,0.7723358449946178,63.77610333692142,0,0
/handbags-c6/ashwood-leather-crocodile-print-shoulder-bag-green-c-55-p5430/s16945,United Kingdom,1846,1674,1630,0.1668472372697725,6.371614301191766,3,274.99
/gift-accessories-c8/purses-c36,United Kingdom,1830,1645,1093,0.644808743169399,94.85300546448087,34,1384.4
/mens-c4/mens-triple-gusset-heavy-duty-leather-briefcase-chestnut-gareth-p4231/s14952,United Kingdom,1806,1633,1443,0.6816168327796235,54.033222591362126,23,2527.7
/ladies-c3/14-card-rfid-protected-xl-leather-purse-poppy-red-s2-p6713/s20043,United Kingdom,1803,1665,1438,0.6838602329450915,46.0255130338325,15,679.2
/mens-c4/leather-jackets-c25,Pakistan,1801,1547,1315,0.6996113270405331,64.65963353692393,0,0
/ladies-c3/long-length-sheepskin-coat-black-brissa-3581-p5740/s17719,United Kingdom,1797,1548,1309,0.5742904841402338,41.82081246521981,1,449.1
/luggage-c7/leather-tablet-a4-sleeves-c151/vintage-leather-luxury-a4-metal-binder-sleeve-tan-noah-p2932/s10363,United Kingdom,1779,1644,1502,0.6852164137155705,35.52332771219786,14,795
/ladies-c3/leather-cross-body-bag-with-free-rfid-wallet-black-63742-p6641/s19940,United Kingdom,1759,1574,1357,0.6219442865264355,57.52359295054008,24,1041.889231
/ladies-c3/ashwood-two-section-leather-tote-bag-bordeaux-c-52-p5414/s16929,United Kingdom,1749,1520,1278,0.6197827329902802,45.112064036592336,15,1004.87
/ladies-c3/ashwood-curve-zip-top-leather-cross-body-bag-black-croc-curve-p6620/s19919,United Kingdom,1747,1468,1244,0.4842587292501431,33.25071551230681,15,571.8
/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113,United Kingdom,1731,1598,1305,0.6770652801848642,82.0363951473137,20,1460.16
/sheepskin-fur-c5/ladies-fur-coats-c76/cropped-3-4-sleeve-mink-coat-brown-tiffany-p1397/s7010,United Kingdom,1716,1514,1336,0.37995337995337997,13.778554778554778,0,0
/,Belgium,1700,944,865,0.2523529411764706,15.39,4,1573.17
/ladies-c3/14-card-rfid-protected-large-leather-purse-two-tone-tan-s1-p6708/s20038,United Kingdom,1698,1575,1329,0.6984687868080094,49.48881036513546,46,2001.87
/ladies-c3/deals-for-her-c161,Belgium,1691,283,98,0.38616203429923124,3.0041395623891187,0,0
/black-friday-c164,United Kingdom,1667,1469,1052,0.7096580683863227,125.7996400719856,31,3965.85
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-ginger-leo-p101/s765,United Kingdom,1667,1393,1231,0.4589082183563287,22.694061187762447,1,299
/christmas-deals-2023-c164,France,1656,884,881,0.3713768115942029,2.9631642512077296,0,0
/mens-c4/sheepskin-jackets-c26,Australia,1656,1477,1425,0.5295893719806763,43.56702898550725,0,0
/ladies-c3/leather-jackets-c9/full-length-styles-c92,United Kingdom,1641,1535,1363,0.6751980499695308,45.99878123095673,3,647
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-tan-alaska-p883/s5019,United Kingdom,1632,1521,1401,0.4987745098039216,21.096200980392158,1,54.98
/mens-c4/leather-jackets-c25/brown-t3,United Kingdom,1632,1519,1358,0.710171568627451,55.2328431372549,6,1466.99
/mens-c4/leather-jackets-c25,Ireland,1615,1396,1138,0.6773993808049535,93.06934984520124,9,1425.86
/mens-c4/man-bags-briefcases-c12/vintage-a4-messenger-bag-rust-7995-p677/s4144,United Kingdom,1559,1280,995,0.5234124438742784,35.00898011545863,9,544.91
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-ginger-leo-p101/s762,United Kingdom,1557,1278,1036,0.4360950545921644,23.38214515093128,2,651.59
/ladies-c3/womens-medium-leather-wallet-purse-black-s3-p6715/s20045,United Kingdom,1553,1381,1192,0.5936896329684481,36.871216999356086,22,776.81
/ladies-c3/ladies-waistcoats-c47,United Kingdom,1547,1459,1229,0.627666451195863,59.18939883645766,5,556
/mens-c4/man-bags-briefcases-c12/mens-leather-vintage-wash-bag-rust-7998-p680/s4147,United Kingdom,1534,1377,1210,0.6173402868318123,53.2522816166884,56,1956.17
/ladies-c3/leather-biker-jacket-tan-lola-p5469,United Kingdom,1519,1321,1134,0.641211323238973,56.98222514812377,9,898.91
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-tan-alaska-p883/s5017,United Kingdom,1515,1405,1263,0.634983498349835,46.56237623762376,1,895
/ladies-c3/leather-biker-jacket-navy-lola-p5468/s17048,United Kingdom,1508,1444,1286,0.656498673740053,55.495358090185675,13,1159.392256
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234,United Kingdom,1499,1223,762,0.4989993328885924,75.82054703135424,29,3210.573655
/handbags-c6/shoulder-bag-c86,United Kingdom,1476,1341,1063,0.6429539295392954,62.27168021680217,14,1075.600024
/mens-c4/man-bags-briefcases-c12/mens-3-pocket-luxury-small-leather-flight-bag-tan-jack-p660/s4127,United Kingdom,1449,1215,961,0.4941338854382333,39.531400966183575,9,518.058179
/mens-c4/mens-jackets-coats-c182,United Kingdom,1448,1282,994,0.6850828729281768,91.46754143646409,11,1968
/ladies-c3/sheepskin-jackets-c11/hooded-toscana-coat-brown-lyonesse-p879/s4980,United Kingdom,1425,1321,1207,0.4189473684210526,17.14666666666667,0,0
/ladies-c3/leather-biker-jacket-timber-britney-p5621/s17375,United Kingdom,1410,1347,1175,0.7212765957446808,64.9063829787234,8,784.912632
/luggage-c7/holdall-c15/large-vintage-leather-travel-holdall-tan-jayden-p4213/s14921,United Kingdom,1362,1215,1005,0.6674008810572687,56.124082232011745,16,1943.99
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1259,United Kingdom,1362,1220,1020,0.6497797356828194,58.16079295154185,13,1460.18
/sheepskin-fur-c5/ashwood-single-australian-sheepskin-rug-rosa-p4386/s15191,United Kingdom,1361,1242,1097,0.6722997795738428,44.208670095518,29,1417.88
/mens-c4/man-bags-briefcases-c12/ashwood-mens-leather-washbag-chestnut-vt-2012-p590/s4057,United Kingdom,1353,1224,1031,0.6895787139689579,63.62823355506282,39,1714.49
/ladies-c3/leather-jackets-c9,Ireland,1320,1183,949,0.668939393939394,103.92424242424242,4,763.33
/register,United Kingdom,1318,976,501,0.4400606980273141,86.16009104704096,60,6522.792397
/mens-c4/leather-jackets-c25/leather-jacket-timber-edinburgh-p235/s1272,United Kingdom,1312,1161,1004,0.6486280487804879,48.80411585365854,6,876.6
/sheepskin-fur-c5/sheepskin-footwear-c46/dinosos-classic-9-vintage-sheepskin-biker-boots-brown-p4229/s14942,United Kingdom,1305,1142,1048,0.6781609195402298,34.04291187739464,2,134.98
/ladies-c3/ashwood-three-pocket-leather-sling-bag-chestnut-tan-t-75-p6756/s20086,United Kingdom,1298,1168,1014,0.7419106317411402,52.39291217257319,10,575.2
/ladies-c3/womens-luxury-shearling-jacket-black-cream-alayna-p5873/s18228,United Kingdom,1290,1164,990,0.7186046511627907,67.52945736434108,11,3626.49
/gift-accessories-c8/wallets-c16/ashwood-m1,United Kingdom,1283,1130,1031,0.6726422447388932,69.12314886983633,26,605.89
,United States,1276,1191,1140,0.22648902821316613,17.724137931034484,5,725.989735
