Target page,Incoming links,Linking sites,Type
mens-c4/leather-jackets-c25/biker-styles-c97/vintage-leather-biker-jacket-blue-black-jaxon-p3014,226,144,Product
mens-c4/man-bags-briefcases-c12/mens-vintage-leather-messenger-bag-rust-7996-p678,125,75,Product
mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234,101,66,Product
mens-c4/leather-jackets-c25/blouson-casual-styles-c123/leather-jacket-with-detachable-collar-black-sandor-2-p3110,84,46,Product
ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-classic-leather-biker-jacket-red-roisin-p3703,75,59,Product
ladies-c3/leather-jackets-c9/ladies-leather-biker-jacket-beige-g-celia22-p7531,74,37,Product
ladies-c3/leather-jackets-c9/leather-biker-jacket-black-app-britney-p279,67,50,Product
gift-accessories-c8/purses-c36/small-purses-c94/vintage-woven-leather-zip-around-small-6-card-coin-purse-navy-d-80-p4279,66,45,Product
handbags-c6/ashwood-leather-crocodile-print-two-section-with-mid-purse-bag-bordeaux-c-54-p5424,64,41,Product
mens-c4/sheepskin-flying-jacket-antique-luan-p3681,60,31,Product
ladies-c3/leather-jackets-c9/biker-styles-c78/leather-biker-jacket-black-scarlett-p2483,60,44,Product
mens-c4/leather-jackets-c25/leather-coat-with-detachable-collar-black-carl-p1500,56,28,Product
ladies-c3/leather-jackets-c9/leather-jacket-black-ruby-p485,44,34,Product
ladies-c3/ladies-leather-jacket-ivory-serefina-p6001,43,27,Product
ladies-c3/ashwood-womens-zip-and-stitcch-detail-leather-gloves-red-896-p5887,42,28,Product
gift-accessories-c8/mens-gloves-c37/mens-leather-gloves-tan-black-gb-535-p7286,39,25,Product
ladies-c3/vintage-leather-cross-body-shoulder-bag-honey-g22-p3614,36,31,Product
sheepskin-fur-c5/sheepskin-hats-c56/trapper-hat-with-sheepskin-fur-olive-aspen-p3187,33,25,Product
mens-c4/leather-jackets-c25/biker-styles-c97/leather-vintage-biker-jacket-racing-green-stedman-p3701,31,23,Product
handbags-c6/ashwood-leather-crocodile-print-two-section-with-mid-purse-bag-teal-c-54-p5427,31,22,Product
mens-c4/monomoi-mens-leather-biker-jacket-black-m-rider-p6116,30,22,Product
mens-c4/leather-jackets-c25/leather-coat-nevada-timber-brontes-p252,28,20,Product
luggage-c7/backpacks-rucksacks-c52/unisex-leather-vintage-backpack-brandy-f-86-p2399,27,18,Product
mens-c4/fur-parkas-c73/hooded-racoon-tipped-fur-parka-with-removable-fur-trim-lining-cronos-p1442,27,24,Product
sheepskin-fur-c5/ladies-sheepskin-jackets-c13/womens-oversized-sheepskin-flying-jacket-black-khloe-p2998,26,17,Product
mens-c4/leather-jackets-c25/leather-biker-jacket-timber-soltau-p236,25,15,Product
ladies-c3/ashwood-two-section-croc-print-leather-handbag-cognac-l-76-p6072,25,20,Product
mens-c4/mens-nappa-leather-detachable-double-collar-jacket-black-trap-ryan-p5800,25,19,Product
luggage-c7/holdall-c15/mens-large-leather-weekend-holdall-chestnut-vt-charles-p918,24,19,Product
mens-c4/sheepskin-jackets-c26/sheepskin-duffle-black-magnus-p1009,23,13,Product
ladies-c3/vintage-mini-leather-cross-body-shoulder-bag-with-chain-strap-grey-g27-p5325,23,17,Product
