NumberType: GTIN-13,,,,,,,,,
Prefix: 506047452,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
5060474522045,Active,F-81 | BRANDY | Size:ONE SIZE,F-81 | BRANDY | Size:ONE SIZE | Leather Vintage Small Flight Shoulder Bag Brandy : F-81,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/manbags-briefcases-c64/leather-vintage-small-flight-shoulder-bag-brandy-f-81-p2415,N/A,0003177400,25/06/2018 10:42:41
5060474522069,Active,F-82 | BLACK/MUD | Size:ONE SIZE,F-82 | BLACK/MUD | Size:ONE SIZE | Leather Vintage Medium Flight Shoulder Bag Black/mud : F-82,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/ashwood-f-range-travel-luggage-c154/leather-vintage-medium-flight-shoulder-bag-black-mud-f-82-p2389,N/A,0003177500,25/06/2018 10:43:50
5060474522083,Active,F-82 | TAN | Size:ONE SIZE,F-82 | TAN | Size:ONE SIZE | Leather Vintage Medium Flight Shoulder Bag Tan : F-82,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/manbags-briefcases-c64/leather-vintage-medium-flight-shoulder-bag-tan-f-82-p2391,N/A,0003177600,20/06/2020 11:19:03
5060474528818,Active,F-82 | BRANDY | Size:ONE SIZE,F-82 | BRANDY | Size:ONE SIZE | Leather Vintage Medium Flight Shoulder Bag Brandy : F-82,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/manbags-briefcases-c64/leather-vintage-medium-flight-shoulder-bag-brandy-f-82-p2390,N/A,0003177700,20/06/2020 11:04:14
5060474522113,Active,F-84 | BLACK/MUD | Size:ONE SIZE,F-84 | BLACK/MUD | Size:ONE SIZE | Leather Vintage Flight Shoulder Bag Black/mud : F-84,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/flight-bags-c118/leather-vintage-flight-shoulder-bag-black-mud-f-84-p2392,N/A,0003177800,25/06/2018 12:24:56
5060474522137,Active,F-84 | TAN | Size:ONE SIZE,F-84 | TAN | Size:ONE SIZE | Leather Vintage Flight Shoulder Bag Tan : F-84,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/flight-bags-c118/leather-vintage-flight-shoulder-bag-tan-f-84-p2394,N/A,0003177900,20/06/2020 11:09:41
5060474522120,Active,F-84 | BRANDY | Size:ONE SIZE,F-84 | BRANDY | Size:ONE SIZE | Leather Vintage Flight Shoulder Bag Brandy : F-84,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/flight-bags-c118/leather-vintage-flight-shoulder-bag-brandy-f-84-p2393,N/A,0003178000,20/06/2020 11:09:22
5060474522144,Active,F-85 | BLACK/MUD | Size:ONE SIZE,F-85 | BLACK/MUD | Size:ONE SIZE | Leather Vintage Messenger Bag Black/mud : F-85,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/leather-vintage-messenger-bag-black-mud-f-85-p2395,N/A,0003178100,25/06/2018 14:35:23
5060474522168,Active,F-85 | TAN | Size:ONE SIZE,F-85 | TAN | Size:ONE SIZE | Leather Vintage Messenger Bag Tan : F-85,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/manbags-briefcases-c64/leather-vintage-messenger-bag-tan-f-85-p2397,N/A,0003178200,20/06/2020 11:10:46
5060474522151,Active,F-85 | BRANDY | Size:ONE SIZE,F-85 | BRANDY | Size:ONE SIZE | Leather Vintage Messenger Bag Brandy : F-85,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/manbags-briefcases-c64/leather-vintage-messenger-bag-brandy-f-85-p2396,N/A,0003178300,20/06/2020 11:10:28
5060474522175,Active,F-86 | BLACK/MUD | Size:ONE SIZE,F-86 | BLACK/MUD | Size:ONE SIZE | Unisex Leather Vintage Backpack Black/mud: F-86,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/backpacks-rucksacks-c52/unisex-leather-vintage-backpack-black-mud-f-86-p2398,N/A,0003178400,25/06/2018 14:52:56
