NumberType: GTIN-13,,,,,,,,,
Prefix: 506104960,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
"=""5061049600366""",Active,TW-30-04-TW / TAN-WATCH,TW-30-04-TW / TAN-WATCH,Ashwood,,,,,"=""23/02/2024 11:43:40"""
"=""5061049600373""",Active,TW-30-05-TB / TAN-LT.BLUE,TW-30-05-TB / TAN-LT.BLUE,Ashwood,,,,,"=""23/02/2024 11:44:11"""
"=""5061049600380""",Active,TW-30-06-NP / NAVY-PINK,TW-30-06-NP / NAVY-PINK,Ashwood,,,,,"=""23/02/2024 11:44:48"""
"=""5061049600397""",Active,TW-30-07-BR / BLACK-BLK/RED/GREEN,TW-30-07-BR / BLACK-BLK/RED/GREEN,Ashwood,,,,,"=""23/02/2024 11:46:13"""
"=""5061049600403""",Active,TW-30-08-TR / TAN-BLK/RED/GREEN,TW-30-08-TR / TAN-BLK/RED/GREEN,Ashwood,,,,,"=""23/02/2024 11:46:54"""
"=""5061049600410""",Active,TW-30-09-BG / BROWN-GREEN,TW-30-09-BG / BROWN-GREEN,Ashwood,,,,,"=""23/02/2024 11:47:32"""
"=""5061049600427""",Active,ASHWOOD INTCHGB SOFT SHDR BAG-BLACK,LEATHER INTCHGB SOFT SHDR BAG,ASHWOOD,REINDEER,,,405805 BK 00,"=""23/02/2024 11:55:33"""
"=""5061049600434""",Active,TW-30-011-TN / TAN-NAVY,TW-30-011-TN / TAN-NAVY,Ashwood,,,,,"=""23/02/2024 11:48:45"""
"=""5061049600441""",Active,TW-30-012-BW / BLACK-BLK/WHITE,TW-30-012-BW / BLACK-BLK/WHITE,Ashwood,,,,,"=""23/02/2024 11:49:20"""
"=""5061049600458""",Active,TW-30-01-BM / BROWN-MACLEOD,TW-30-01-BM / BROWN-MACLEOD,Ashwood,,,,,"=""23/02/2024 11:52:06"""
"=""5061049600465""",Active,TW-31-01-BM / BROWN-MACLEOD,TW-31-01-BM / BROWN-MACLEOD,Ashwood,,,,,"=""23/02/2024 11:53:01"""
"=""5061049600472""",Active,TW-31-02-TM / TAN-MACLEOD,TW-31-02-TM / TAN-MACLEOD,Ashwood,,,,,"=""23/02/2024 11:53:42"""
"=""5061049600489""",Active,TW-31-03-BW / BLACK-WATCH,TW-31-03-BW / BLACK-WATCH,Ashwood,,,,,"=""23/02/2024 11:54:20"""
"=""5061049600496""",Active,TW-31-04-TW / TAN-WATCH,TW-31-04-TW / TAN-WATCH,Ashwood,,,,,"=""23/02/2024 11:54:48"""
"=""5061049600502""",Active,TW-31-05-TB / TAN-LT.BLUE,TW-31-05-TB / TAN-LT.BLUE,Ashwood,,,,,"=""23/02/2024 11:55:17"""
"=""5061049600519""",Active,TW-30-010-TGNH / TAN-GREEN,TW-30-010-TGNH / TAN-GREEN,Ashwood,,,,,"=""23/02/2024 12:42:39"""
"=""5061049600526""",Active,TW-31-07-BR / BLACK-BLK/RED/GREEN,TW-31-07-BR / BLACK-BLK/RED/GREEN,Ashwood,,,,,"=""23/02/2024 11:56:57"""
"=""5061049600533""",Active,B,B,B,,,,,"=""23/02/2024 12:49:12"""
"=""5061049600540""",Active,TW-31-08-TR / TAN-BLK/RED/GREEN,TW-31-08-TR / TAN-BLK/RED/GREEN,Ashwood,,,,,"=""23/02/2024 11:58:52"""
"=""5061049600557""",Active,TW-31-09-BG / BROWN-GREEN,TW-31-09-BG / BROWN-GREEN,Ashwood,,,,,"=""23/02/2024 11:59:29"""
"=""5061049600564""",Active,TW-31-010-TGNH / TAN-GREEN,TW-31-010-TGNH / TAN-GREEN,Ashwood,,,,,"=""23/02/2024 12:00:20"""
"=""5061049600571""",Active,TW-31-011-TN / TAN-NAVY,TW-31-011-TN / TAN-NAVY,Ashwood,,,,,"=""23/02/2024 12:01:02"""
"=""5061049600588""",Active,TW-31-012-BW / BLACK-BLK/WHITE,TW-31-012-BW / BLACK-BLK/WHITE,Ashwood,,,,,"=""23/02/2024 12:01:54"""
"=""5061049600595""",Active,TW-31-06-NP / NAVY-PINK,TW-31-06-NP / NAVY-PINK,Ashwood,,,,,"=""23/02/2024 12:04:07"""
"=""5061049600601""",Active,AWL-80 Size 8 Ladies Veg Tanned Leather Biker Jacket Black,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 8,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-black-awl-80-p8068,,,"=""29/02/2024 15:19:07"""
"=""5061049600618""",Active,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 10,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 10,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-black-awl-80-p8068,,,"=""29/02/2024 13:48:32"""
"=""5061049600625""",Active,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 12,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 12,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-black-awl-80-p8068,,,"=""29/02/2024 13:49:26"""
"=""5061049600632""",Active,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 14,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 14,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-black-awl-80-p8068,,,"=""29/02/2024 13:50:37"""
"=""5061049600649""",Active,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 16,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 16,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-black-awl-80-p8068,,,"=""29/02/2024 13:51:18"""
"=""5061049600656""",Active,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 18,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 18,Ashwood leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-black-awl-80-p8068,,,"=""29/02/2024 13:52:16"""
"=""5061049600663""",Active,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 20,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 20,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-black-awl-80-p8068,,,"=""29/02/2024 13:52:57"""
"=""5061049600670""",Active,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 22,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 22,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-black-awl-80-p8068,,,"=""29/02/2024 13:53:28"""
"=""5061049600687""",Active,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 24,Ladies Veg Tanned Leather Biker Jacket Black: AWL-80 Size 24,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-black-awl-80-p8068,,,"=""29/02/2024 13:54:07"""
"=""5061049600694""",Active,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 8,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 8,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-tan-awl-80-p8069,,,"=""29/02/2024 14:21:15"""
"=""5061049600700""",Active,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 10,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80 Size 10,Ashwood Leather,,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-veg-tanned-leather-biker-jacket-tan-awl-80-p8069,,,"=""29/02/2024 14:21:46"""
