Negative keyword,Keyword or list,Campaign,Ad group,Level,Match type
[MEN LEATHER JACKETS],Keyword,UK | Leather > General,Leather Jackets (Mens) [BM],Ad group,Exact match
[mens lesther jacket],Keyword,UK | Leather > General,Leather Jackets (Mens) [BM],Ad group,Exact match
[LEATHER JACKETS MEN],Keyword,UK | Leather > General,Leather Jackets (Mens) [BM],Ad group,Exact match
[mens learher jacket],Keyword,UK | Leather > General,Leather Jackets (Mens) [BM],Ad group,Exact match
[ladies leather jackets],Keyword,UK | Leather > General,Leather Coats (Ladies) [BM],Ad group,Exact match
[leather jacket women],Keyword,UK | Leather > General,Leather Coats (Ladies) [BM],Ad group,Exact match
[LADIES LEATHER COATS],Keyword,UK | Leather > General,Leather Coats (Ladies) [BM],Ad group,Exact match
[LEATHER COATS LADY],Keyword,UK | Leather > General,Leather Coats (Ladies) [BM],Ad group,Exact match
[MENS LEATHER JACKETS],Keyword,UK | Leather > General,Leather Jackets (Mens) [BM],Ad group,Exact match
[ladies leather jacket],Keyword,UK | Leather > General,Leather Coats (Ladies) [BM],Ad group,Exact match
[mens leather coats],Keyword,UK | Leather > General,Leather Jackets (Mens) [BM],Ad group,Exact match
[mens real leather jacket],Keyword,UK | Leather > General,Leather Jackets (Mens) [BM],Ad group,Exact match
[LEATHER JACKET MENS],Keyword,UK | Leather > General,Leather Jackets (Mens) [BM],Ad group,Exact match
[LEATHER COAT LADY],Keyword,UK | Leather > General,Leather Coats (Ladies) [BM],Ad group,Exact match
[womens leather jackets],Keyword,UK | Leather > General,Leather Coats (Ladies) [BM],Ad group,Exact match
[LADY LEATHER COATS],Keyword,UK | Leather > General,Leather Coats (Ladies) [BM],Ad group,Exact match
[LEATHER COAT LADIES],Keyword,UK | Leather > General,Leather Coats (Ladies) [BM],Ad group,Exact match
[leather jackets for men],Keyword,UK | Leather > General,Leather Jackets (Mens) [BM],Ad group,Exact match
[mens real leather jackets],Keyword,UK | Leather > General,Leather Jackets (Mens) [BM],Ad group,Exact match
[LEATHER COATS LADIES],Keyword,UK | Leather > General,Leather Coats (Ladies) [BM],Ad group,Exact match
"""WOMENS""",Keyword,UK | Leather > General,Leather Jackets (Mens) [BM],Ad group,Phrase match
[mens lesther jackets],Keyword,UK | Leather > General,Leather Jackets (Mens) [BM],Ad group,Exact match
[LADIES LEATHER COAT],Keyword,UK | Leather > General,Leather Coats (Ladies) [BM],Ad group,Exact match
"""WOMENS""",Keyword,UK | Leather > General,Leather Coats [BM],Ad group,Phrase match
[LEATHER COATS],Keyword,UK | Leather > General,Leather Coats [BM],Ad group,Exact match
[leather handbags],Keyword,UK | Leather > General,Leather Handbags [BM],Ad group,Exact match
[mens leather jackets],Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Exact match
[leather mens coat],Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Exact match
[LEATHER COAT MENS],Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Exact match
"""MENS""",Keyword,UK | Leather > General,Leather Coats [BM],Ad group,Phrase match
[coats leather],Keyword,UK | Leather > General,Leather Coats [BM],Ad group,Exact match
[leather jacket mens],Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Exact match
[leather jackets mens],Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Exact match
[LEATHER COAT MEN],Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Exact match
[MEN LEATHER COAT],Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Exact match
[leather hand bags],Keyword,UK | Leather > General,Leather Handbags [BM],Ad group,Exact match
[LEATHER BAGS],Keyword,UK | Leather > General,Leather Handbags [BM],Ad group,Exact match
[LEATHER BAG],Keyword,UK | Leather > General,Leather Handbags [BM],Ad group,Exact match
[MEN LEATHER COATS],Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Exact match
[men leather jacket],Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Exact match
[MENS LEATHER COAT],Keyword,UK | Leather > General,Leather Coats (Mens) [BM],Ad group,Exact match
