Landing page report
"March 1, 2024 - April 22, 2024"
Landing page,Mobile speed score,Mobile-friendly click rate,Valid AMP click rate,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. value,Conv. value / cost
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/leather-biker-jacket-cognac-essen-p2348/s9540?utm_source=google&utm_medium=cpc&utm_term=brampton-leather-biker-jacket-cognac-essen-size-18-size-18-0003061206&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,22,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/casual-styles-c124/womens-collarless-leather-fashion-jacket-tan-awl-284-p7635/s22466?utm_source=google&utm_medium=cpc&utm_term=Ashwood-women-apos-s-collarless-leather-fashion-jacket-tan-awl-284-s-size-10-0004864902&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,1,27,3.70%,GBP,1.05,1.05,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/gabicci-m55/size-s-t16, --, --, --,0,4,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/mens-waistcoats-c58/leather-waistcoat-black-tudor-p1003, --, --, --,0,4,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/mens-waistcoats-c58/mens-leather-laced-waistcoat-black-biker-waistcoat-p3321/s12273?utm_source=google&utm_medium=cpc&utm_term=Ashwood-men-apos-s-leather-laced-waistcoat-black-biker-waistcoat-s-size-s-0003624003&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,42,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/medium-tote-three-section-leather-shoulder-bag-white-snake-62688-p3569/s13000?utm_source=google&utm_medium=cpc&utm_term=ashwood-medium-tote-three-section-leather-shoulder-bag-white-snake-6-size-one-size-0003752300&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,2,146,1.37%,GBP,0.14,0.27,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/accessories-c24/gloves-c102/black-t1, --, --, --,0,19,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/leather-jacket-cognac-nap-marabelle-p1002, --, --, --,0,1,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/biker-styles-c97/trapper-m33, --, --, --,0,1,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/biker-styles-c97/Ashwood-mens-leather-biker-jacket-cognac-amj-8-p7797/s22923?utm_source=google&utm_medium=cpc&utm_term=Ashwood-mens-leather-biker-jacket-cognac-amj-8-size-l-size-l-0004915205&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,2,209,0.96%,GBP,0.20,0.39,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/mens-leather-hooded-bomber-jacket-tan-addison-p5462/s17014?utm_source=google&utm_medium=cpc&utm_term=Ashwood-men-apos-s-leather-hooded-bomber-jacket-tan-addison-size-5xl-size-5xl-0004153110&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,1,14,7.14%,GBP,0.22,0.22,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/Ashwood-4-card-zip-around-suede-and-leather-purse-tan-s-20-p6261/s19066?utm_source=google&utm_medium=cpc&utm_term=Ashwood-4-card-zip-around-suede-and-leather-purse-tan-s-20-size-one-size-one-size-0004379000&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,10,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/handbags-c6/medium-dipped-leather-saddle-bag-black-r-13-p5450/s16987?utm_source=google&utm_medium=cpc&utm_term=Ashwood-medium-dipped-leather-saddle-bag-black-r-13-size-one-size-size-one-size-0004152200&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,66,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/sheepskin-jackets-c11/shearling-style-c111/3-4-length-toscana-suede-leather-coat-brown-lysa-p3723/s13437?utm_source=google&utm_medium=cpc&utm_term=Ashwood-3-4-length-toscana-suede-leather-coat-brown-lysa-size-12-size-12-0000758103&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,14,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-biker-jacket-green-lola-p5467/s17043?utm_source=google&utm_medium=cpc&utm_term=ashwood-leather-biker-jacket-green-lola-size-22-size-22-0003887208&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,61,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/biker-styles-c97/mens-leather-biker-jacket-orange-m2-edward-p7096/s21009?utm_source=google&utm_medium=cpc&utm_term=Monomoi-mens-leather-biker-jacket-orange-m2-edward-size-xl-size-xl-0004659806&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,21,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/womens-luxury-shearling-aviator-jacket-black-brissa-alessa-p4391/s15198?utm_source=google&utm_medium=cpc&utm_term=estimo-womens-luxury-shearling-aviator-jacket-black-brissa-alessa-siz-size-12-0004062303&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,69,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/handbags-c6/ashwood-two-section-leather-tote-bag-tan-c-52-p5416/s16931?utm_source=google&utm_medium=cpc&utm_term=ashwood-two-section-leather-tote-bag-tan-c-52-size-one-size-size-one-size-0004149100&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,84,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/short-leather-biker-jacket-raspberry-brooklyn-p3409/s12668?utm_source=google&utm_medium=cpc&utm_term=brampton-womens-leather-short-biker-jacket-raspberry-brooklyn-size-size-16-0003708205&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,46,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/womens-leather-biker-jacket-red-i-446-p7167/s21415?utm_source=google&utm_medium=cpc&utm_term=Monomoi-women-apos-s-leather-biker-jacket-red-i-446-size-24-size-24-0004751009&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,15,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/large-leather-shopper-bag-blush-62102-p2505/s9832?utm_source=google&utm_medium=cpc&utm_term=ashwood-large-leather-shopper-bag-blush-62102-size-one-size-size-one-size-0003215100&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,6,468,1.28%,GBP,0.13,0.76,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/pilot-style-c120/luxury-shearling-pilot-jacket-black-bautista-p3770/s14458?utm_source=google&utm_medium=cpc&utm_term=Ashwood-luxury-shearling-pilot-jacket-black-bautista-size-s-size-s-0003825203&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,81,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/mens-waistcoats-c58/all-leather-waistcoat-black-g-w-c-201-p4156/s14726?utm_source=google&utm_medium=cpc&utm_term=Ashwood-all-leather-waistcoat-black-g-w-c-201-size-4xl-size-4xl-0003993009&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,11,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/handbags-c6/Ashwood-c30/vegetable-tanned-leather-two-section-with-mid-purse-bag-chestnut-v-26-p3843/s13924?utm_source=google&utm_medium=cpc&utm_term=Ashwood-vegetable-tanned-leather-two-section-with-mid-purse-bag-chestn-size-one-size-0003857400&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,1,204,0.49%,GBP,0.54,0.54,0.00,0.00
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-footwear-c46/womens-classic-suede-sheepskin-moccasin-slippers-black-white-ladies-moccasins-p4050/s14845?utm_source=google&utm_medium=cpc&utm_term=fenland-women-apos-s-classic-suede-sheepskin-moccasin-slippers-black-size-3-4-0003929000&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,3,501,0.60%,GBP,0.18,0.54,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/leather-biker-jacket-burgundy-essen-p2347/s9535?utm_source=google&utm_medium=cpc&utm_term=brampton-leather-biker-jacket-burgundy-essen-size-18-size-18-0003063606&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,28,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/mens-leather-g-1-flight-bomber-jacket-cream-coffee-maverick-p6783, --, --, --,1,52,1.92%,GBP,0.51,0.51,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/fenland-sheepskin-flying-jacket-brown-cream-fen-b3-p8549/s24516?utm_source=google&utm_medium=cpc&utm_term=fenland-sheepskin-flying-jacket-brown-cream-fen-b3-size-2xl-size-2xl-0000901007&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,12,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/gift-accessories-c8/wallets-c16/waxy-milled-flip-side-6-card-id-coins-dual-billfold-tab-leather-wallet-black-waxy-1246-d-p2717/s10148?utm_source=google&utm_medium=cpc&utm_term=ashwood-waxy-milled-flip-side-6-card-id-amp-coins-dual-billfold-tab-size-one-size-0000085900&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,3,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/handbags-c6/ashwood-zip-top-leather-cross-body-bag-bordeaux-sb-buckle-p6781/s20115?utm_source=google&utm_medium=cpc&utm_term=ashwood-zip-top-leather-cross-body-bag-borduex-sb-buckle-size-one-si-size-one-size-0004532600&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,8,647,1.24%,GBP,0.51,4.11,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/Monomoi-ladies-hooded-leather-jacket-black-happy-p6168/s18950?utm_source=google&utm_medium=cpc&utm_term=Monomoi-ladies-hooded-leather-jacket-black-happy-size-18-size-18-0004363706&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,1,100,1.00%,GBP,1.32,1.32,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/flight-bags-c118/leather-vintage-flight-shoulder-bag-black-mud-f-84-p2392/s9635?utm_source=google&utm_medium=cpc&utm_term=Ashwood-leather-vintage-flight-shoulder-bag-black-mud-f-84-size-one-size-one-size-0003177800&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,50,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/casual-styles-c124/womens-collarless-leather-fashion-jacket-navy-awl-284-p7633/s22454?utm_source=google&utm_medium=cpc&utm_term=Ashwood-women-apos-s-collarless-leather-fashion-jacket-navy-awl-284-size-22-0004862508&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,18,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/ladies-classic-leather-biker-jacket-black-roisin-p4331/s15070?utm_source=google&utm_medium=cpc&utm_term=Ashwood-ladies-classic-leather-biker-jacket-black-roisin-size-8-size-8-0004047001&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,8,564,1.42%,GBP,0.56,4.49,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-biker-jacket-tan-lola-p5469/s17058?utm_source=google&utm_medium=cpc&utm_term=Ashwood-leather-biker-jacket-tan-lola-size-20-size-20-0003888407&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,3,255,1.18%,GBP,0.47,1.41,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/bugatti-m51, --, --, --,3,98,3.06%,GBP,0.84,2.52,0.00,0.00
https://www.leathercompany.co.uk/handbags-c6/pocket-crossbody-bags-c176/real-leather-crossbody-smartphone-bag-tan-st-2231-p8607/s24591?utm_source=google&utm_medium=cpc&utm_term=ashwood-real-leather-crossbody-smartphone-bag-tan-st-2231-size-one-s-size-one-size-0005045300&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,4,394,1.02%,GBP,0.19,0.75,79.98,106.64
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/bomber-styles-c99/mens-leather-bomber-jacket-black-oscar-bomber-p7965/s23136?utm_source=google&utm_medium=cpc&utm_term=ashwood-mens-leather-bomber-jacket-black-oscar-bomber-size-5xl-size-5xl-0004942010&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,2,163,1.23%,GBP,0.12,0.23,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78?page=3, --, --, --,0,3,0.00%,GBP,0,0.00,0.00,0.00
