,Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Users,Engaged sessions,Engagement rate,Average engagement time,Event count,Conversions,Ad revenue,Date
37,/sheepskin-fur-c5/ladies-sheepskin-jackets-c13,72,4459,0.0161471181879345,14.038349405696344,51,35,0.6363636363636364,63.84313725490196,372,0,0,01-2023
38,/ashwood-m1,58,5097,0.0113792426917794,7.35883853247008,44,34,0.7083333333333334,87.38636363636364,458,4,0,01-2023
39,/map/leather-company-solihull,47,1154,0.0407279029462738,29.542461005199307,37,34,0.85,159.3783783783784,507,0,0,01-2023
40,/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113,50,18480,0.0027056277056277,27.82169913419913,42,34,0.7391304347826086,85.19047619047619,339,0,0,01-2023
41,/sheepskin-fur-c5/sheepskin-footwear-c46/fenland-m10,55,4282,0.012844465203176,21.092246613731906,39,29,0.7435897435897436,104.17948717948718,451,2,0,01-2023
42,/mens-c4/leather-jackets-c25/blue-t2,68,5863,0.0115981579396213,11.08511001193928,42,28,0.5957446808510638,43.833333333333336,296,0,0,01-2023
43,/gift-accessories-c8/wallets-c16/ashwood-m1,58,8516,0.0068107092531705,43.18776420854861,43,27,0.627906976744186,147.09302325581396,596,4,0,01-2023
44,/ladies-c3/leather-jackets-c9/red-t11,52,13768,0.0037768739105171,12.583527019174898,37,21,0.5675675675675675,32.32432432432432,221,2,0,01-2023
45,/register,0,0,0.0,0.0,38,10,0.2325581395348837,114.60526315789474,586,0,0,01-2023
0,/mens-c4/leather-jackets-c25,1521,129028,0.0117881390085872,17.57830083392752,1145,898,0.7172523961661342,91.78253275109172,10414,2,0,02-2023
1,/ladies-c3/leather-jackets-c9,746,132938,0.0056116385081767,23.04194436504235,545,429,0.7283531409168081,96.78899082568807,5085,6,0,02-2023
2,/,795,18122,0.0438693300960158,16.0462973181768,330,300,0.5535055350553506,164.86969696969695,6043,15,0,02-2023
3,/mens-c4/sheepskin-jackets-c26,500,27260,0.0183418928833455,12.86430667644901,308,242,0.7014492753623188,79.26623376623377,2438,0,0,02-2023
4,/mens-c4/leather-jackets-c25/trapper-m33,291,14227,0.0204540662121318,6.915653335207704,207,157,0.6855895196506551,46.82608695652174,1378,0,0,02-2023
5,/ladies-c3/sheepskin-jackets-c11,414,36567,0.0113216834851095,13.588836929471928,182,155,0.7380952380952381,135.51098901098902,2039,2,0,02-2023
6,/handbags-c6,388,47983,0.0080861971948398,24.29541712689911,206,151,0.695852534562212,81.19417475728156,1583,0,0,02-2023
7,/mens-c4/man-bags-briefcases-c12,215,42760,0.0050280636108512,33.36672123479888,140,98,0.6666666666666666,67.62857142857143,1045,0,0,02-2023
8,/mens-c4/mens-waistcoats-c58,245,15281,0.016032982134677,20.314181009096263,120,91,0.6946564885496184,69.56666666666666,955,0,0,02-2023
9,/handbags-c6/marta-ponti-m38,237,9140,0.0259299781181619,11.67297592997812,154,88,0.5398773006134969,49.76623376623377,1217,0,0,02-2023
10,/mens-c4/leather-jackets-c25/brown-t3,153,42688,0.0035841454272863,15.081451461769117,105,86,0.7543859649122807,43.61904761904762,780,0,0,02-2023
11,/handbags-c6/backpacks-c89,159,30129,0.0052773075774171,29.28965448571144,110,79,0.6752136752136753,55.40909090909091,709,0,0,02-2023
12,/handbags-c6/ashwood-c30,170,17498,0.0097153960452623,15.477654589095897,100,78,0.7289719626168224,89.28,772,0,0,02-2023
13,/luggage-c7/wash-toiletry-bags-c55,133,17148,0.0077560065313739,27.98005598320504,85,67,0.7528089887640449,65.6470588235294,838,6,0,02-2023
14,/luggage-c7,173,19672,0.0087942252948353,32.205317202114685,86,60,0.6818181818181818,68.61627906976744,604,0,0,02-2023
