Landing page,Sessions,Views,Users,New users,Engagement rate,Average engagement time per session,Conversions,Total revenue,Views / Sessions
/ladies-c3/leather-jackets-c9/ladies-waterfall-front-leather-jacket-black-diva-p7747/s22740,64,97,52.0,41.0,53.13%,18s,0.0,£0.00,1.515625
/ladies-c3/sheepskin-jackets-c11/sheepskin-duffle-coat-tobacco-lynette-p880/s4988,64,128,56.0,43.0,54.69%,17s,0.0,£0.00,2.0
/gift-accessories-c8/purses-c36/medium-purses-c95/vintage-woven-leather-medium-18-card-purse-red-d-83-p4299/s15020,63,144,43.0,30.0,49.21%,20s,1.0,£34.98,2.2857142857142856
/ladies-c3/purses-c22/14-card-rfid-protected-xl-leather-purse-two-tone-tan-s2-p6714/s20044,63,97,50.0,40.0,57.14%,15s,0.0,£0.00,1.5396825396825398
/handbags-c6/cross-body-bag-c87/navy-t49,62,145,60.0,56.0,67.74%,35s,1.0,£34.98,2.338709677419355
/ladies-c3/sheepskin-jackets-c11/toscana-longhaired-shearling-jacket-with-large-hood-brown-muna-p853,62,70,62.0,59.0,6.45%,2s,0.0,£0.00,1.1290322580645162
/mens-c4/leather-jackets-c25/leather-coat-black-brontes-p251/s13871,62,135,52.0,36.0,56.45%,39s,0.0,£0.00,2.1774193548387095
/ladies-c3/leather-jackets-c9/blazer-styles-c79/womens-short-leather-blazer-jacket-black-ballina-p3272,61,101,18.0,9.0,34.43%,26s,1.0,£89.00,1.6557377049180328
/mens-c4/leather-jackets-c25/biker-styles-c97/leather-biker-jacket-bordeaux-viking-p3117/s11203,61,149,42.0,35.0,62.30%,33s,0.0,£0.00,2.442622950819672
/mens-c4/leather-jackets-c25/leather-bomber-jacket-black-danny-p948/s5239,61,135,41.0,28.0,55.74%,30s,0.0,£0.00,2.2131147540983607
/handbags-c6/ashwood-m1/green-t6,60,188,58.0,46.0,78.33%,1m 21s,0.0,£0.00,3.1333333333333333
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-brn-cream-ivan-p1252/s6522,60,111,34.0,18.0,60%,29s,0.0,£0.00,1.85
/luggage-c7/backpacks-rucksacks-c52/tan-t25,59,103,57.0,56.0,42.37%,26s,0.0,£0.00,1.7457627118644068
/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/ashwood-m1,59,212,50.0,41.0,50.85%,54s,1.0,£94.05,3.593220338983051
/sheepskin-fur-c5/ladies-fur-coats-c76/cropped-3-4-sleeve-mink-coat-brown-tiffany-p1397/s7010,59,98,42.0,37.0,28.81%,7s,0.0,£0.00,1.6610169491525424
/handbags-c6/ashwood-c30/small-vintage-leather-backpack-honey-g25-p3621/s13052,58,119,54.0,50.0,41.38%,40s,0.0,£0.00,2.0517241379310347
/handbags-c6/cross-body-bag-c87/ashwood-leather-crossbody-bag-orange-cb-3-63014-p7228/s21580,58,148,55.0,52.0,62.07%,44s,0.0,£0.00,2.5517241379310347
/ladies-c3/leather-biker-jacket-navy-lola-p5468/s17048,58,183,55.0,48.0,67.24%,53s,0.0,£0.00,3.1551724137931036
/ladies-c3/leather-jackets-c9/blazer-styles-c79/womens-short-leather-blazer-jacket-black-ballina-p3272/s11852,58,123,51.0,44.0,70.69%,43s,0.0,£0.00,2.1206896551724137
/ladies-c3/leather-jackets-c9/burgundy-t59,58,208,56.0,52.0,65.52%,43s,0.0,£0.00,3.586206896551724
/ladies-c3/sheepskin-jackets-c11/reversible-toscana-suede-leather-gilet-black-kashmina-p3075/s10949,58,61,58.0,58.0,3.45%,1s,0.0,£0.00,1.0517241379310345
/ladies-c3/toscana-double-collar-suede-leather-gilet-taupe-pegasus-p5693/s17608,58,128,50.0,38.0,50%,31s,1.0,£53.99,2.206896551724138
/mens-c4/leather-jackets-c25/leather-jacket-nevada-timber-edinburgh-p235/s1274,58,233,51.0,38.0,63.79%,2m 17s,0.0,£0.00,4.017241379310345
/mens-c4/man-bags-briefcases-c12/ashwood-m1,58,380,53.0,42.0,86.21%,3m 08s,1.0,£94.05,6.551724137931035
/ladies-c3/fenland-womens-nubuck-leather-hooded-coat-brown-maisie-p5773,57,63,57.0,55.0,0%,1s,0.0,£0.00,1.105263157894737
/ladies-c3/leather-jackets-c9/biker-styles-c78/leather-biker-jacket-purple-casey-p7532/s22068,57,62,56.0,52.0,22.81%,9s,0.0,£0.00,1.087719298245614
/ladies-c3/leather-jackets-c9/green-t6,57,101,53.0,51.0,64.91%,23s,0.0,£0.00,1.7719298245614035
/mens-c4/leather-jackets-c25/biker-styles-c97/vintage-leather-biker-jacket-blue-black-jaxon-p3014/s10595,57,119,45.0,39.0,61.40%,23s,2.0,£348.00,2.087719298245614
/mens-c4/leather-jackets-c25/black-t1,57,107,53.0,48.0,70.18%,45s,0.0,£0.00,1.8771929824561404
/ladies-c3/ashwood-zip-top-leather-cross-body-bag-green-sb-buckle-p6041/s18600,56,69,5.0,2.0,85.71%,1s,0.0,£0.00,1.2321428571428572
/ladies-c3/ladies-classic-leather-biker-jacket-black-roisin-p4331/s15073,56,56,56.0,56.0,0%,0s,0.0,£0.00,1.0
/ladies-c3/leather-handbags-c10/real-leather-tote-bag-2-tone-tan-63754-p7883/s23017,56,260,47.0,37.0,80.36%,1m 13s,1.0,£59.99,4.642857142857143
/ladies-c3/leather-jackets-c9/ladies-waterfall-front-leather-jacket-black-diva-p7747/s22738,56,104,49.0,40.0,55.36%,14s,0.0,£0.00,1.8571428571428572
/ladies-c3/leather-jackets-c9/leather-jacket-black-ani-juliet-p74,56,56,56.0,56.0,8.93%,5s,0.0,£0.00,1.0
/ladies-c3/womens-leather-biker-jacket-coffee-2810-p6175/s18976,56,203,47.0,35.0,67.86%,1m 00s,1.0,£53.99,3.625
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s2675,56,136,48.0,33.0,57.14%,44s,0.0,£0.00,2.4285714285714284
/mens-c4/leather-jackets-c25/white-t13,56,114,55.0,52.0,71.43%,41s,0.0,£0.00,2.0357142857142856
/ladies-c3/skirts-jeans-c74/skirts-dresses-c127/womens-long-31-inch-leather-skirt-with-open-front-slit-brown-sandra-skirt-p3336/s12349,55,85,39.0,29.0,47.27%,13s,0.0,£0.00,1.5454545454545454
/luggage-c7/mens-leather-suit-carrier-chestnut-harper-p595/s4062,55,113,47.0,36.0,49.09%,17s,0.0,£0.00,2.0545454545454547
/mens-c4/mens-waistcoats-c58/mens-diamond-quilted-leather-gilet-black-m-15-vest-p6872/s20387,55,141,28.0,21.0,49.09%,1m 09s,0.0,£0.00,2.5636363636363635
/ladies-c3/tab-small-zip-top-leather-cross-body-bag-tan-p4342/s15098,54,181,43.0,32.0,40.74%,58s,0.0,£0.00,3.3518518518518516
/sheepskin-fur-c5/sheepskin-footwear-c46/dinosos-classic-9-vintage-sheepskin-biker-boots-brown-p4229/s14942,54,90,42.0,28.0,50%,14s,0.0,£0.00,1.6666666666666667
/checkout/success,52,116,29.0,0.0,40.38%,1m 12s,2.0,£278.00,2.230769230769231
/home-living-c65,52,146,43.0,27.0,73.08%,52s,1.0,£69.99,2.8076923076923075
/ladies-c3/leather-handbags-c10/real-leather-tote-bag-ochre-yellow-63754-p7887/s23021,52,283,50.0,47.0,63.46%,2m 03s,0.0,£0.00,5.4423076923076925
/ladies-c3/purses-c22/8-card-zip-around-rfid-protected-large-leather-purse-tan-z-70-p6993/s20742,52,121,51.0,43.0,78.85%,38s,0.0,£0.00,2.326923076923077
/map/leather-company-solihull,52,236,48.0,36.0,80.77%,1m 38s,0.0,£0.00,4.538461538461538
/mens-c4/leather-jackets-c25/biker-styles-c97/mens-safari-style-leather-jacket-black-amj-5-p7792/s22889,52,119,41.0,21.0,65.38%,42s,1.0,£249.00,2.2884615384615383
/mens-c4/leather-jackets-c25/leather-jacket-nevada-timber-edinburgh-p235,52,212,42.0,18.0,59.62%,1m 18s,0.0,£0.00,4.076923076923077
/new-products,52,171,49.0,27.0,59.62%,50s,0.0,£0.00,3.2884615384615383
/ladies-c3/ashwood-leather-waist-bag-honey-t-74-p6790/s20142,51,183,47.0,43.0,78.43%,1m 16s,0.0,£0.00,3.588235294117647
/ladies-c3/purses-c22,51,130,51.0,45.0,74.51%,56s,0.0,£0.00,2.549019607843137
/ladies-c3/womens-leather-biker-jacket-black-yellow-2810-p6174,51,251,46.0,12.0,37.25%,1m 09s,2.0,£117.99,4.921568627450981
/mens-c4/leather-jackets-c25/leather-coat-tan-brontes-p1043/s5766,51,131,44.0,27.0,56.86%,33s,0.0,£0.00,2.5686274509803924
/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233/s1242,51,126,42.0,30.0,60.78%,41s,1.0,£149.00,2.4705882352941178
/mens-c4/leather-jackets-c25/mens-nappa-leather-detachable-double-collar-jacket-red-brn-trap-ryan-p6809/s20223,51,120,22.0,12.0,56.86%,41s,1.0,£199.50,2.3529411764705883
/sheepskin-fur-c5/sheepskin-rugs-c57/ashwood-m1,51,104,51.0,49.0,47.06%,28s,0.0,£0.00,2.0392156862745097
/gift-accessories-c8,50,108,38.0,23.0,48%,38s,0.0,£0.00,2.16
0,0,0,0.0,0.0,0,0,0.0,0,
0,0,0,0.0,0.0,0,0,0.0,0,
0,0,0,0.0,0.0,0,0,0.0,0,
0,0,0,0.0,0.0,0,0,0.0,0,
0,0,0,0.0,0.0,0,0,0.0,0,
0,0,0,0.0,0.0,0,0,0.0,0,
