Landing page,Sessions,Views,Users,New users,Engagement rate,Average engagement time per session,Conversions,Total revenue,Views / Sessions
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1260,196,639,142.0,108.0,52.55%,58s,1.0,£654.98,3.260204081632653
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-ginger-leo-p101/s764,194,407,141.0,105.0,47.94%,25s,1.0,£649.00,2.097938144329897
/map/leather-company-london,184,894,170.0,135.0,78.80%,1m 35s,3.0,£249.96,4.858695652173913
/mens-c4/man-bags-briefcases-c12/ashwood-mens-three-pocket-luxury-small-leather-flight-bag-tan-4551-p653/s4120,180,543,162.0,136.0,62.22%,58s,5.0,£372.00,3.0166666666666666
/mens-c4/mens-waistcoats-c58,177,494,164.0,138.0,71.19%,1m 14s,0.0,£0.00,2.790960451977401
/ladies-c3/leather-jackets-c9/ashwood-m1,176,557,149.0,123.0,63.64%,1m 20s,2.0,£263.99,3.164772727272727
/sale/handbags-c6/ashwood-m1,172,667,161.0,141.0,83.72%,1m 49s,0.0,£0.00,3.877906976744186
/handbags-c6/shoulder-bag-c86,168,324,159.0,133.0,57.74%,49s,0.0,£0.00,1.9285714285714286
/sheepskin-fur-c5/ashwood-sheepskin-seat-pad-mink-p4382/s15187,164,376,150.0,136.0,44.51%,25s,0.0,£0.00,2.292682926829268
/luggage-c7/holdall-c15/large-vintage-leather-travel-holdall-tan-jayden-p4213/s14921,163,393,138.0,107.0,63.19%,32s,0.0,£0.00,2.411042944785276
/mens-c4/leather-jackets-c25/bomber-styles-c99,157,448,141.0,119.0,75.80%,54s,0.0,£0.00,2.8535031847133756
/ladies-c3/ladies-waistcoats-c47,155,410,149.0,130.0,56.13%,51s,0.0,£0.00,2.6451612903225805
/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113,155,380,139.0,118.0,71.61%,1m 01s,0.0,£0.00,2.4516129032258065
/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233/s1241,153,451,141.0,88.0,72.55%,1m 15s,1.0,£159.00,2.947712418300654
/handbags-c6/cross-body-bag-c87/ashwood-leather-crossbody-bag-navy-cb-3-63014-p7227/s21579,151,328,123.0,108.0,62.91%,29s,0.0,£0.00,2.172185430463576
/handbags-c6/navy-t49,151,434,145.0,132.0,61.59%,1m 26s,1.0,£59.99,2.8741721854304636
/mens-c4/man-bags-briefcases-c12/mens-3-pocket-luxury-small-leather-flight-bag-tan-jack-p660/s4127,149,316,116.0,84.0,49.66%,28s,0.0,£0.00,2.120805369127517
/mens-c4/leather-jackets-c25/leather-biker-jacket-white-berlin-p874/s4927,148,243,77.0,64.0,45.27%,11s,0.0,£0.00,1.6418918918918919
/ladies-c3/leather-jackets-c9/biker-styles-c78/leather-biker-jacket-mid-brown-nap-britney-p3010/s10569,146,283,138.0,129.0,41.10%,16s,0.0,£0.00,1.9383561643835616
/mens-c4/mens-shearling-sheepskin-coat-honey-tan-del-boy-p6074/s18647,146,224,118.0,96.0,47.95%,16s,0.0,£0.00,1.5342465753424657
/gift-accessories-c8/purses-c36/ashwood-m1,145,463,132.0,116.0,62.76%,1m 13s,1.0,£49.99,3.193103448275862
/contact-us-i3,144,275,101.0,46.0,38.19%,42s,0.0,£0.00,1.9097222222222223
/ladies-c3/14-card-rfid-protected-large-leather-purse-two-tone-tan-s1-p6708/s20038,144,340,131.0,113.0,59.72%,37s,4.0,£159.92,2.361111111111111
/mens-c4/man-bags-briefcases-c12/mens-small-vintage-leather-travel-bag-rust-7993-p675/s4142,144,277,126.0,95.0,62.50%,38s,0.0,£0.00,1.9236111111111112
/luggage-c7/manbags-briefcases-c64,143,496,134.0,121.0,67.13%,1m 26s,1.0,£89.99,3.4685314685314683
/mens-c4/leather-jackets-c25/brown-t3,141,338,130.0,118.0,73.05%,49s,0.0,£0.00,2.397163120567376
/luggage-c7/leather-tablet-a4-sleeves-c151,139,291,139.0,136.0,66.91%,35s,1.0,£70.00,2.093525179856115
/luggage-c7/mens-weekend-leather-travel-holdall-chestnut-vt-albert-p628/s4095,136,251,103.0,79.0,46.32%,31s,0.0,£0.00,1.8455882352941178
/ladies-c3/ladies-waistcoats-c47/fitted-leather-gilet-with-faux-fur-collar-brown-snu-cumbria-p1627/s7746,135,219,107.0,95.0,45.93%,14s,0.0,£0.00,1.6222222222222222
/ladies-c3/leather-handbags-c10/ashwood-leather-womens-tote-crossbody-bag-cotwold-navy-64064-p7914/s23048,135,388,107.0,78.0,77.04%,52s,1.0,£59.99,2.8740740740740742
/ladies-c3/womens-leather-biker-jacket-coffee-2810-p6175/s18980,134,455,130.0,115.0,70.90%,1m 10s,2.0,£107.98,3.3955223880597014
/size-guide-i9,134,202,126.0,114.0,62.69%,37s,0.0,£0.00,1.507462686567164
/sheepskin-fur-c5/mens-sheepskin-jackets-c35,133,331,117.0,94.0,68.42%,1m 05s,0.0,£0.00,2.488721804511278
/ladies-c3/14-card-rfid-protected-xl-leather-purse-poppy-red-s2-p6713/s20043,130,320,110.0,89.0,66.92%,39s,1.0,£54.98,2.4615384615384617
/ladies-c3/leather-jackets-c9/3-4-styles-c91,130,344,121.0,97.0,77.69%,31s,0.0,£0.00,2.646153846153846
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-tan-alaska-p883/s5020,130,322,110.0,95.0,40%,20s,0.0,£0.00,2.476923076923077
/mens-c4/fenland-mens-nubuck-leather-jacket-brown-carter-p5769/s17772,130,351,112.0,82.0,61.54%,49s,0.0,£0.00,2.7
/search/leather-jackets,130,442,126.0,115.0,74.62%,1m 15s,1.0,£53.99,3.4
/mens-c4/leather-jackets-c25/leather-jacket-nevada-timber-edinburgh-p235/s1269,126,268,92.0,45.0,63.49%,39s,1.0,£141.55,2.126984126984127
/gift-accessories-c8/wallets-c16/ashwood-m1,123,409,117.0,113.0,69.11%,1m 08s,0.0,£0.00,3.3252032520325203
/handbags-c6/the-bridge-m7,123,272,112.0,97.0,67.48%,36s,0.0,£0.00,2.2113821138211383
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1261,122,363,101.0,67.0,62.30%,56s,1.0,£210.00,2.9754098360655736
/gift-accessories-c8/mens-gloves-c37,120,251,116.0,103.0,76.67%,59s,0.0,£0.00,2.091666666666667
/ladies-c3/leather-jackets-c9/casual-styles-c124/womens-collarless-leather-jacket-black-app-chambery-p3283/s11956,117,281,100.0,82.0,60.68%,46s,3.0,£397.00,2.4017094017094016
/luggage-c7/holdall-c15/mens-large-leather-weekend-holdall-chestnut-vt-charles-p918/s5121,115,286,90.0,66.0,53.04%,41s,2.0,£346.50,2.4869565217391303
/mens-c4/man-bags-briefcases-c12/briefcases-c112,115,255,108.0,94.0,74.78%,50s,0.0,£0.00,2.217391304347826
/mens-c4/sheepskin-jackets-c26/sheepskin-coat-tan-hektor-p807/s4338,113,201,104.0,80.0,53.10%,15s,0.0,£0.00,1.7787610619469028
/ladies-c3/skirts-jeans-c74/jeans-trousers-c128,112,226,110.0,104.0,75.89%,40s,0.0,£0.00,2.017857142857143
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1257,112,294,98.0,73.0,70.54%,52s,0.0,£0.00,2.625
/luggage-c7/trolleys-c33,111,180,44.0,37.0,37.84%,15s,0.0,£0.00,1.6216216216216217
/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233,110,416,82.0,37.0,48.18%,1m 25s,3.0,£556.37,3.7818181818181817
