Date,Total,Revenue - Total,Mens > Leather Jackets,Revenue - Mens > Leather Jackets,Ladies > Leather Jackets,Revenue - Ladies > Leather Jackets,Gift & Accessories > Purses,Revenue - Gift & Accessories > Purses,Luggage > Holdall,Revenue - Luggage > Holdall,Handbags > Ashwood,Revenue - Handbags > Ashwood,Ladies > Ladies Jackets & Coats,Revenue - Ladies > Ladies Jackets & Coats,Mens > Man Bags & Briefcases,Revenue - Mens > Man Bags & Briefcases,Mens > Accessories,Revenue - Mens > Accessories,Ladies > Handbags,Revenue - Ladies > Handbags,Ladies > Purses,Revenue - Ladies > Purses,Ladies > Accessories,Revenue - Ladies > Accessories
2024-11-19,89,8311,5,1005,1,184,4,121,4,729,1,45,6,1183,7,445,10,344,8,440,3,83,3,107
2024-11-20,91,9586,7,1366,1,205,3,118,5,860,1,19,5,991,7,560,9,326,8,506,2,83,3,114
2024-11-21,98,10199,7,1361,1,205,3,118,4,594,1,19,6,1473,7,506,8,321,8,461,3,106,3,108
2024-11-22,98,10199,7,1361,2,258,3,118,4,594,2,49,6,1473,7,506,8,321,8,461,3,106,3,108
2024-11-23,117,12093,10,1951,2,291,6,215,7,1083,2,84,7,1802,13,1085,11,429,9,631,3,85,3,108
2024-11-24,129,12870,8,1792,2,323,6,215,4,558,2,46,10,2122,12,838,13,511,10,660,3,132,2,83
2024-11-25,138,13597,9,1782,2,444,10,381,8,1326,2,94,10,2380,12,852,11,421,11,653,5,160,4,120
2024-11-26,138,13597,9,1782,3,477,3,114,8,1326,2,108,10,2380,12,852,11,421,11,653,5,160,4,120
2024-11-27,121,11588,6,1187,3,477,3,114,9,1390,0,1,8,2163,9,512,15,513,9,494,4,120,5,148
2024-11-28,142,13304,8,1580,3,525,11,380,4,754,3,60,10,2590,13,726,13,458,11,668,5,147,7,192
2024-11-29,142,13304,8,1580,2,428,6,211,4,754,3,60,10,2590,13,726,13,458,11,668,5,147,7,192
2024-11-30,118,11891,6,1169,1,194,6,211,4,646,0,18,8,1781,15,791,13,556,9,498,2,54,5,164
2024-12-01,141,12573,8,1493,1,333,8,285,5,859,2,27,9,2355,13,736,13,504,11,600,9,297,6,232
2024-12-02,141,12573,8,1493,1,224,8,301,5,859,3,63,9,2355,13,736,13,504,11,600,9,297,6,232
2024-12-03,151,12970,11,2253,3,428,8,299,4,613,3,92,8,2331,15,748,14,547,11,576,9,278,6,199
2024-12-04,160,14302,8,1549,3,428,8,299,5,741,1,11,10,2249,23,1291,16,620,14,761,5,153,8,317
2024-12-05,178,15520,8,1476,1,235,9,320,6,1064,3,72,10,2945,18,1061,20,776,17,1073,9,272,8,271
2024-12-06,178,15520,8,1476,3,473,11,399,6,1064,3,72,10,2945,18,1061,20,776,17,1073,9,272,8,271
2024-12-07,169,14840,10,2348,2,314,11,399,9,1519,2,27,8,1202,20,924,14,554,17,1070,10,315,5,150
2024-12-08,190,14636,9,1709,2,278,8,274,8,1067,2,40,8,1674,20,1139,15,622,18,1025,10,294,10,364
2024-12-09,190,14636,9,1709,2,351,8,280,8,1067,4,118,8,1674,20,1139,15,622,18,1025,10,294,10,364
2024-12-10,196,16991,8,1446,2,351,8,280,7,1113,4,91,10,2775,20,1091,19,914,15,870,9,282,10,361
2024-12-11,193,16331,6,1168,3,566,12,430,7,1156,3,62,9,2351,21,1158,15,627,16,979,10,319,12,390
2024-12-12,215,17311,8,1515,1,313,12,408,10,1515,3,124,9,1921,19,1039,22,872,17,1065,11,360,11,403
2024-12-13,215,17311,8,1515,0,118,13,454,10,1515,4,87,9,1921,19,1039,22,872,17,1065,11,360,11,403
2024-12-14,209,15884,10,1972,2,266,13,454,7,1155,4,87,6,1355,14,1154,25,941,18,1198,12,406,12,432
2024-12-15,198,15194,8,1473,2,432,3,103,7,1102,2,71,9,1921,18,1364,22,912,15,871,9,295,11,336
2024-12-16,198,15194,8,1473,2,339,12,462,7,1102,2,75,9,1921,18,1364,22,912,15,871,9,295,11,336
2024-12-17,194,15156,9,1779,2,339,12,462,8,1216,2,74,8,1715,14,929,21,809,13,832,9,311,9,336
2024-12-18,149,12966,8,1551,2,369,7,285,7,1088,3,30,7,2154,13,928,15,669,9,622,5,174,7,219
2024-12-19,149,12966,8,1551,1,170,2,106,7,1088,3,122,7,2154,13,928,15,669,9,622,5,174,7,219
2024-12-20,95,7822,6,1174,1,226,2,106,3,500,2,69,3,641,8,624,10,388,7,410,4,166,4,161
2024-12-21,65,6455,4,788,0,177,2,105,2,416,1,17,2,431,3,323,7,421,5,269,2,78,2,72
2024-12-22,31,3731,2,419,0,22,1,65,1,174,1,17,3,827,1,99,2,97,2,193,0,17,1,41
2024-12-23,31,3731,2,419,0,22,1,34,1,174,1,42,3,827,1,99,2,97,2,193,0,17,1,41
2024-12-24,30,2970,3,597,1,238,1,34,0,87,0,10,3,426,2,202,3,136,2,127,1,31,1,26
2024-12-25,74,8296,7,1477,1,337,2,99,2,325,0,10,5,1458,5,428,6,237,7,484,2,97,3,98
2024-12-26,74,8296,7,1477,2,444,1,35,2,325,2,58,5,1458,5,428,6,237,7,484,2,97,3,98
2024-12-27,76,7566,5,969,0,55,0,21,3,548,2,65,5,826,4,439,5,179,8,458,4,141,3,104
2024-12-28,59,6419,5,869,1,212,1,48,2,375,1,28,3,1203,3,318,5,199,8,462,2,87,0,26
2024-12-29,59,6419,5,869,1,212,0,15,2,375,1,28,3,1203,3,318,5,199,8,462,2,87,0,26
2024-12-30,59,6419,5,869,1,212,0,2,2,375,1,28,3,1203,3,318,5,199,8,462,2,87,0,26
2024-12-31,59,6419,5,869,1,212,0,2,2,375,1,28,3,1203,3,318,5,199,8,462,2,87,0,26
