Product Stock Listing,,,,,,,,,,,,,,,,,,
Branches,"Ashwood Handbags,",,"Fenland,",,"leather company,",,"Solihull LC,",,"Wholesale Customers,",,,,,,,,,
AL FRANCO,,,,,,,,,,,,,,,,,,
NO SEASON,,,,,,,,,,,,,,,,,,
Style,,Colour,,,,Size,,Description,,,Category,,PLU,Unit Cost,Unit Retail,Units,Total Cost,Total Retail
LP 27,,BLACK,,,,12,,ladies s/skin,,,LADIES S/SKIN,,0003829403,0.00,569.00,0,0.00,0.00
LP 27,,BLACK,,,,14,,ladies s/skin,,,LADIES S/SKIN,,0003829404,0.00,569.00,0,0.00,0.00
LP 27,,BLACK,,,,16,,ladies s/skin,,,LADIES S/SKIN,,0003829405,0.00,569.00,0,0.00,0.00
LP 27,,BLACK,,,,18,,ladies s/skin,,,LADIES S/SKIN,,0003829406,0.00,569.00,0,0.00,0.00
LP 27,,BLACK/PAT,,,,10,,ladies s/skin,,,LADIES S/SKIN,,0004259102,0.00,569.00,0,0.00,0.00
LP 27,,BLACK/PAT,,,,12,,ladies s/skin,,,LADIES S/SKIN,,0004259103,0.00,569.00,0,0.00,0.00
LP 27,,BLACK/PAT,,,,16,,ladies s/skin,,,LADIES S/SKIN,,0004259105,0.00,569.00,0,0.00,0.00
LP 27,,BLACK/PAT,,,,18,,ladies s/skin,,,LADIES S/SKIN,,0004259106,0.00,569.00,0,0.00,0.00
LP 27,,GLAZE BLUE,,,,12,,ladies s/skin,,,LADIES S/SKIN,,0004257903,0.00,569.00,1,0.00,569.00
LP 27,,GLAZE BLUE,,,,14,,ladies s/skin,,,LADIES S/SKIN,,0004257904,0.00,569.00,0,0.00,0.00
LP 27,,GLAZE BLUE,,,,16,,ladies s/skin,,,LADIES S/SKIN,,0004257905,0.00,569.00,1,0.00,569.00
LP 27,,GLAZE BLUE,,,,18,,ladies s/skin,,,LADIES S/SKIN,,0004257906,0.00,569.00,0,0.00,0.00
LP 27,,INK BLUE,,,,12,,ladies s/skin,,,LADIES S/SKIN,,0003834203,0.00,569.00,0,0.00,0.00
LP 27,,KHAKI,,,,12,,ladies s/skin,,,LADIES S/SKIN,,0003830603,0.00,569.00,0,0.00,0.00
LP 27,,ROYAL BLUE,,,,12,,ladies s/skin,,,LADIES S/SKIN,,0003831803,0.00,569.00,0,0.00,0.00
LP 27,,TABAK,,,,12,,ladies s/skin,,,LADIES S/SKIN,,0003833003,0.00,569.00,0,0.00,0.00
LP 27,,TABAK,,,,20,,ladies s/skin,,,LADIES S/SKIN,,0003833007,0.00,589.00,0,0.00,0.00
M-58,,BLACK,,,,ONE SIZE,,holdall,,,LUGGAGE,,0003909800,0.00,150.00,1,0.00,150.00
M-58,,COGNAC,,,,ONE SIZE,,holdall,,,LUGGAGE,,0003909900,0.00,150.00,0,0.00,0.00
MS BIKER 2,,BLACK,,,,S,,GOAT NAPPA BIKER,,,MENS JACKETS,,0001717303,70.00,169.00,1,70.00,169.00
MS BIKER 2,,BLACK,,,,M,,GOAT NAPPA BIKER,,,MENS JACKETS,,0001717304,70.00,169.00,0,0.00,0.00
MS BIKER 2,,BLACK,,,,L,,GOAT NAPPA BIKER,,,MENS JACKETS,,0001717305,70.00,169.00,0,0.00,0.00
MS BIKER 2,,BLACK,,,,XL,,GOAT NAPPA BIKER,,,MENS JACKETS,,0001717306,70.00,169.00,0,0.00,0.00
MS BIKER 2,,BLACK,,,,2XL,,GOAT NAPPA BIKER,,,MENS JACKETS,,0001717307,70.00,169.00,0,0.00,0.00
MS BIKER 2,,BLACK,,,,3XL,,GOAT NAPPA BIKER,,,MENS JACKETS,,0001717308,70.00,189.00,0,0.00,0.00
MS BIKER 2,,BLACK,,,,4XL,,GOAT NAPPA BIKER,,,MENS JACKETS,,0001717309,70.00,209.00,0,0.00,0.00
NINNA-2013,,BLACK/DDY,,,,10,,BIKER STICH PATTERN SHEEP,,,LADIES JACKETS,,0001036502,67.00,169.00,0,0.00,0.00
NINNA-2013,,BLACK/DDY,,,,16,,BIKER STICH PATTERN SHEEP,,,LADIES JACKETS,,0001036505,67.00,169.00,0,0.00,0.00
NINNA-2013,,BLACK/DDY,,,,20,,BIKER STICH PATTERN SHEEP,,,LADIES JACKETS,,0001036507,67.00,189.00,0,0.00,0.00
NINNA-2013,,GRAY,,,,10,,BIKER STICH PATTERN SHEEP,,,LADIES JACKETS,,0001037702,67.00,169.00,0,0.00,0.00
NINNA-2013,,GRAY,,,,14,,BIKER STICH PATTERN SHEEP,,,LADIES JACKETS,,0001037704,67.00,169.00,0,0.00,0.00
NINNA-2013,,GRAY,,,,18,,BIKER STICH PATTERN SHEEP,,,LADIES JACKETS,,0001037706,67.00,169.00,0,0.00,0.00
NINNA-2013,,GRAY,,,,20,,BIKER STICH PATTERN SHEEP,,,LADIES JACKETS,,0001037707,67.00,189.00,0,0.00,0.00
POH-1005,,CHESTNUT,,,,NA,,long ladies purse,,,PURSE,,0002851300,0.00,35.00,1,0.00,35.00
13SS,,,,,,,,,,,,,,,,25,132.00,"4,859.00"
14SS,,,,,,,,,,,,,,,,,,
Style,,Colour,,,,Size,,Description,,,Category,,PLU,Unit Cost,Unit Retail,Units,Total Cost,Total Retail
FO-BU-5032,,BLACK/ANI,,,,L,,BOX JACKET LAMB,,,MENS JACKETS,,0000567805,99.00,249.00,1,99.00,249.00
FO-BU-5032,,BLACK/ANI,,,,2XL,,BOX JACKET LAMB,,,MENS JACKETS,,0000567807,99.00,249.00,0,0.00,0.00
FO-BU-5032,,BLACK/NAPP,,,,S,,BOX JACKET LAMB,,,MENS JACKETS,,0001761703,99.00,249.00,0,0.00,0.00
FO-BU-5032,,BLACK/NAPP,,,,M,,BOX JACKET LAMB,,,MENS JACKETS,,0001761704,99.00,249.00,0,0.00,0.00
FO-BU-5032,,BLACK/NAPP,,,,L,,BOX JACKET LAMB,,,MENS JACKETS,,0001761705,99.00,249.00,0,0.00,0.00
FO-BU-5032,,BLACK/NAPP,,,,XL,,BOX JACKET LAMB,,,MENS JACKETS,,0001761706,99.00,249.00,0,0.00,0.00
FO-BU-5032,,BLACK/NAPP,,,,2XL,,BOX JACKET LAMB,,,MENS JACKETS,,0001761707,99.00,249.00,0,0.00,0.00
FO-BU-5032,,BLACK/NAPP,,,,3XL,,BOX JACKET LAMB,,,MENS JACKETS,,0001761708,99.00,269.00,0,0.00,0.00
FO-BU-5032,,BROWN/ANI,,,,S,,BOX JACKET LAMB,,,MENS JACKETS,,0000569203,99.00,249.00,0,0.00,0.00
FO-BU-5032,,BROWN/ANI,,,,M,,BOX JACKET LAMB,,,MENS JACKETS,,0000569204,99.00,249.00,0,0.00,0.00
FO-BU-5032,,BROWN/ANI,,,,L,,BOX JACKET LAMB,,,MENS JACKETS,,0000569205,99.00,249.00,0,0.00,0.00
FO-BU-5032,,BROWN/ANI,,,,XL,,BOX JACKET LAMB,,,MENS JACKETS,,0000569206,99.00,249.00,0,0.00,0.00
FO-BU-5032,,BROWN/ANI,,,,3XL,,BOX JACKET LAMB,,,MENS JACKETS,,0000569208,99.00,269.00,0,0.00,0.00
hampsted tag 3,,BLACK,,,,ONE SIZE,,luggage tag,,,ACCESSORIES,,0004811700,0.00,9.99,30,0.00,299.70
t-72,,BLACK,,,,ONE SIZE,,body bag,,,MAN BAG,,0004526300,26.00,65.00,5,130.00,325.00
t-72,,chestnut tan,,,,ONE SIZE,,body bag,,,MAN BAG,,0004526400,26.00,65.00,9,234.00,585.00
t-72,,HONEY,,,,ONE SIZE,,body bag,,,MAN BAG,,0004526500,26.00,65.00,3,78.00,195.00
14SS,,,,,,,,,,,,,,,,48,541.00,"1,653.70"
NO SEASON,,,,,,,,,,,,,,,,,,
Style,,Colour,,,,Size,,Description,,,Category,,PLU,Unit Cost,Unit Retail,Units,Total Cost,Total Retail
007,,BLK/BLUE,,,,S,,ladies gloves,,,GLOVES,,0002875800,0.00,29.99,2,0.00,59.98
007,,BLK/BLUE,,,,M,,ladies gloves,,,GLOVES,,0002875801,0.00,29.99,0,0.00,0.00
007,,BLK/BLUE,,,,L,,ladies gloves,,,GLOVES,,0002875802,0.00,29.99,0,0.00,0.00
007,,BLK/PURPLE,,,,S,,ladies gloves,,,GLOVES,,0002876200,0.00,29.99,2,0.00,59.98
007,,BLK/PURPLE,,,,M,,ladies gloves,,,GLOVES,,0002876201,0.00,29.99,2,0.00,59.98
007,,BLK/PURPLE,,,,L,,ladies gloves,,,GLOVES,,0002876202,0.00,29.99,0,0.00,0.00
007,,BLK/SHIRAZ,,,,S,,ladies gloves,,,GLOVES,,0002874600,0.00,29.99,0,0.00,0.00
007,,BLK/TAN,,,,S,,ladies gloves,,,GLOVES,,0002875000,0.00,29.99,0,0.00,0.00
007,,BLK/TAUPE,,,,S,,ladies gloves,,,GLOVES,,0002875400,0.00,29.99,2,0.00,59.98
007,,BLK/TAUPE,,,,M,,ladies gloves,,,GLOVES,,0002875401,0.00,29.99,0,0.00,0.00
007,,BLK/TAUPE,,,,L,,ladies gloves,,,GLOVES,,0002875402,0.00,29.99,1,0.00,29.99
010B,,BLACK,,,,M,,baseball cap fleece,,,HATS,,0003567004,0.00,89.99,2,0.00,179.98
010B,,BLACK,,,,L,,baseball cap fleece,,,HATS,,0003567005,0.00,89.99,2,0.00,179.98
010B,,BLACK,,,,XL,,baseball cap fleece,,,HATS,,0003567006,0.00,89.99,3,0.00,269.97
010B,,BLACK,,,,2XL,,baseball cap fleece,,,HATS,,0003567007,0.00,89.99,1,0.00,89.99
010B,,BROWN,,,,M,,baseball cap fleece,,,HATS,,0003568504,0.00,89.99,1,0.00,89.99
010B,,BROWN,,,,L,,baseball cap fleece,,,HATS,,0003568505,0.00,89.99,1,0.00,89.99
010B,,BROWN,,,,XL,,baseball cap fleece,,,HATS,,0003568506,0.00,89.99,0,0.00,0.00
010B,,BROWN,,,,2XL,,baseball cap fleece,,,HATS,,0003568507,0.00,89.99,0,0.00,0.00
010B-S,,BLACK,,,,M,,baseball s/skin cap,,,HATS,,0003573004,0.00,99.99,1,0.00,99.99
010B-S,,BLACK,,,,L,,baseball s/skin cap,,,HATS,,0003573005,0.00,99.99,3,0.00,299.97
010B-S,,BLACK,,,,XL,,baseball s/skin cap,,,HATS,,0003573006,0.00,99.99,3,0.00,299.97
010B-S,,BLACK,,,,2XL,,baseball s/skin cap,,,HATS,,0003573007,0.00,99.99,0,0.00,0.00
010B-S,,BROWN,,,,L,,baseball s/skin cap,,,HATS,,0003574505,0.00,99.99,1,0.00,99.99
010B-S,,BROWN,,,,XL,,baseball s/skin cap,,,HATS,,0003574506,0.00,99.99,1,0.00,99.99
010B-S,,BROWN,,,,2XL,,baseball s/skin cap,,,HATS,,0003574507,0.00,99.99,0,0.00,0.00
018S,,BLACK/BRISSA,,,,M,,s/skin hat,,,HATS,,0004077304,0.00,94.99,2,0.00,189.98
018S,,BLACK/BRISSA,,,,L,,s/skin hat,,,HATS,,0004077305,0.00,94.99,2,0.00,189.98
018S,,BLACK/BRISSA,,,,XL,,s/skin hat,,,HATS,,0004077306,0.00,94.99,3,0.00,284.97
018S,,BROWN/BRISSA,,,,M,,s/skin hat,,,HATS,,0003565504,0.00,94.99,5,0.00,474.95
