Landing page,Sessions,Sessions/KeyEvents All,Sessions/KeyEvents Organic,Engagement rate all,Engagement rate organic,Average engagement time per session
/mens-c4/man-bags-briefcases-c12/ashwood-mens-three-pocket-luxury-small-leather-flight-bag-tan-4551-p653,351.0,16.71,13.6,0.56,0.67,80.45
/handbags-c6/sienna-de-luca-m56,346.0,346.0,164.0,0.57,0.59,34.82
/luggage-c7/suit-carriers-c51/ashwood-m1,331.0,82.75,63.0,0.73,0.76,37.26
/ladies-c3/footwear-c21,319.0,79.75,32.0,0.69,0.7,76.6
/ladies-c3/sheepskin-jackets-c11/long-length-sheepskin-coat-black-sophia-p98,314.0,104.67,12.5,0.28,0.81,40.13
/handbags-c6/yellow-t14,304.0,101.33,51.5,0.37,0.77,46.83
/luggage-c7/wash-toiletry-bags-c55/ashwood-m1,296.0,49.33,175.0,0.8,0.85,74.43
/mens-c4/mens-triple-gusset-heavy-duty-leather-briefcase-chestnut-gareth-p4231,291.0,22.38,3.67,0.41,0.92,62.37
/gift-accessories-c8/ladies-gloves-c38/red-t11,287.0,71.75,63.33,0.73,0.76,43.1
/sheepskin-fur-c5/sheepskin-rugs-c57/ashwood-m1,286.0,95.33,33.0,0.41,0.79,42.4
/handbags-c6/ashwood-m1/green-t6,283.0,94.33,63.67,0.77,0.8,69.72
/gift-accessories-c8/mens-leather-belts-c50,275.0,137.5,14.5,0.63,0.66,49.7
/ladies-c3/sheepskin-jackets-c11/long-length-sheepskin-coat-tan-sophia-p104,274.0,274.0,57.0,0.46,0.58,64.94
/mens-c4/leather-jackets-c25/leather-biker-jacket-timber-soltau-p236,273.0,24.82,7.71,0.48,0.66,67.15
/sheepskin-fur-c5/sheepskin-gloves-c28/ashwood-m1,272.0,38.86,70.0,0.78,0.91,81.19
/ladies-c3/handbags-c10/tab-small-zip-top-leather-cross-body-bag-black-p189,269.0,24.45,20.0,0.58,0.69,95.14
/luggage-c7/holdall-c15/large-vintage-leather-travel-holdall-tan-jayden-p4213,269.0,20.69,11.0,0.36,0.5,96.55
/mens-c4/accessories-c27,267.0,133.5,146.0,0.75,0.77,80.23
/luggage-c7/holdall-c15/mens-large-leather-weekend-holdall-brown-tum-charles-p917,265.0,44.17,55.0,0.47,0.64,61.73
/mens-c4/mens-leather-g-1-flight-bomber-jacket-coffee-maverick-p6335,253.0,63.25,37.0,0.49,0.7,77.86
/gift-accessories-c8/ladies-gloves-c38/brown-t3,249.0,62.25,55.0,0.71,0.71,53.34
/mens-c4/man-bags-briefcases-c12/ashwood-mens-small-vintage-leather-travel-bag-rust-7993-p675,244.0,17.43,13.5,0.54,0.73,108.69
/handbags-c6/orange-t8,239.0,239.0,163.0,0.75,0.77,49.38
/handbags-c6/ashwood-m1/grey-t7,231.0,231.0,139.0,0.7,0.72,52.32
/mens-c4/footwear-c153/fenland-classic-mens-suede-sheepskin-slippers-grey-p3136,223.0,24.78,11.0,0.43,0.65,40.3
/home-living-c65/sheepskin-hot-water-bottle-cover-c168,222.0,31.71,25.5,0.69,0.68,48.33
/ladies-c3/womens-medium-leather-wallet-purse-poppy-red-s3-p6719,217.0,21.7,12.0,0.54,0.75,67.17
/gift-accessories-c8/ladies-gloves-c38/navy-t49,214.0,53.5,43.33,0.65,0.67,29.49
/mens-c4/man-bags-briefcases-c12/mens-leather-canvas-hanging-toiletry-bag-mud-mud-7010-p591,207.0,10.89,14.0,0.47,0.58,90.61
/mens-c4/man-bags-briefcases-c12/toiletry-bags-c117,199.0,22.11,35.0,0.71,0.8,105.76
/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/ashwood-m1,191.0,63.67,41.5,0.76,0.78,96.78
/mens-c4/footwear-c153/fenland-classic-mens-suede-sheepskin-slippers-brown-p3134,188.0,13.43,34.0,0.41,0.69,67.92
/mens-c4/leather-jackets-c25/size-xs-t15,183.0,91.5,55.5,0.77,0.77,59.18
/sheepskin-fur-c5/sheepskin-footwear-c46/womens-classic-suede-sheepskin-slippers-pink-fen-ladies-p4040,183.0,30.5,15.6,0.55,0.6,41.21
/handbags-c6/cross-body-bag-c87/navy-t49,179.0,89.5,122.0,0.76,0.78,69.79
/gift-accessories-c8/ladies-gloves-c38/ashwood-m1/tan-t25,163.0,81.5,49.5,0.66,0.69,52.76
/mens-c4/fenland-classic-mens-suede-sheepskin-moccasin-slippers-grey-p4088,141.0,47.0,45.0,0.53,0.68,41.53
/gift-accessories-c8/mens-gloves-c37/ashwood-m1,140.0,46.67,23.33,0.66,0.69,58.34
/handbags-c6/chestnut-t26,137.0,137.0,88.0,0.79,0.78,88.58
/luggage-c7/extra-large-leather-travel-holdall-chestnut-vt-2081-p4362,134.0,16.75,12.5,0.54,0.86,80.19
/sheepskin-fur-c5/sheepskin-earmuffs-c186/fenland-m10,134.0,67.0,29.0,0.66,0.67,30.36
/handbags-c6/ashwood-m1/tan-t25,131.0,65.5,48.5,0.86,0.87,89.82
/sheepskin-fur-c5/sheepskin-footwear-c46/classic-ladies-suede-sheepskin-slippers-chestnut-p3128,130.0,14.44,22.5,0.57,0.68,59.17
/handbags-c6/camel-t50,126.0,63.0,33.5,0.56,0.57,46.28
/ladies-c3/leather-jackets-c9/oxblood-t78,122.0,122.0,60.0,0.63,0.63,38.26
/gift-accessories-c8/mens-gloves-c37/mens-leather-gloves-black-714-p179,122.0,61.0,33.0,0.38,0.49,30.52
/home-living-c65/rugs-c68,121.0,40.33,12.0,0.55,0.8,58.93
/mens-c4/luxury-leather-belt-and-wallet-gift-set-tan-gs-1250-p6127,121.0,40.33,29.0,0.6,0.6,63.26
/mens-c4/man-bags-briefcases-c12/mens-leather-ipad-messenger-bag-black-crum-8342-p314,121.0,24.2,25.0,0.59,0.6,99.16
/sheepskin-fur-c5/sheepskin-footwear-c46/sheepskin-slippers-black-silver-ladies-booties-p4045,113.0,37.67,42.0,0.64,0.71,50.75
/gift-accessories-c8/key-rings-c63,109.0,15.57,7.0,0.61,0.88,68.6
/ladies-c3/size-20-t36,109.0,109.0,64.0,0.7,0.67,78.82
/mens-c4/man-bags-briefcases-c12/leather-document-holder-brown-a4-sleeve-p927,108.0,54.0,35.0,0.63,0.69,64.82
/mens-c4/mens-touch-screen-friendly-leather-gloves-black-775-p4436,108.0,21.6,22.0,0.57,0.6,44.64
/mens-c4/man-bags-briefcases-c12/ashwood-mens-single-gusset-heavy-duty-laptop-briefcase-mud-mud-henry-p635,105.0,17.5,40.0,0.54,0.69,70.06
/sheepskin-fur-c5/sheepskin-footwear-c46/womens-luxury-sheepskin-flip-flops-grey-fen-sff-p4181,104.0,52.0,31.0,0.52,0.89,42.09
/gift-accessories-c8/mens-gloves-c37/mens-leather-gloves-black-711-c-p3923,95.0,31.67,20.0,0.56,0.65,67.84
/mens-c4/man-bags-briefcases-c12/mens-3-pocket-luxury-small-leather-flight-bag-tan-jack-p660,89.0,44.5,33.0,0.66,0.87,95.13
/sheepskin-fur-c5/fenland-m10,89.0,44.5,3.0,0.82,1.0,70.65
/luggage-c7/holdall-c15/extra-large-vegetable-tanned-leather-travel-holdall-chestnut-lewis-p1630,86.0,43.0,7.0,0.44,0.64,100.48
/gift-accessories-c8/cleaning-products-c40/collonil-waterstop-waterproofing-spray-p231,85.0,17.0,8.8,0.69,0.79,40.41
/gift-accessories-c8/wallets-c16/tan-t25,80.0,80.0,60.0,0.8,0.82,60.05
/handbags-c6/green-t6,78.0,78.0,26.0,0.65,0.6,85.56
/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/tan-t25,77.0,77.0,48.0,0.69,0.7,48.14
/mens-c4/leather-tweed-gun-slip-savoy-p6155,77.0,77.0,34.0,0.61,0.63,51.83
/mens-c4/man-bags-briefcases-c12/ashwood-soft-leather-handcrafted-briefcase-black-elliot-p633,73.0,12.17,25.0,0.68,0.78,105.16
/mens-c4/mens-leather-belts-c49/ashwood-mens-leather-belt-navy-ab-02-p3125,73.0,73.0,31.0,0.66,0.67,25.18
/ladies-c3/large-quilted-leather-zip-around-note-and-coin-purse-green-qlp-p5338,70.0,70.0,30.0,0.54,0.6,23.03
/mens-c4/mens-leather-sheepskin-gloves-nap-brown-db-705-p6548,69.0,6.9,4.0,0.48,0.89,50.42
/mens-c4/man-bags-briefcases-c12/briefcases-c112/brown-t3,68.0,68.0,45.0,0.71,0.71,49.28
/gift-accessories-c8/cleaning-products-c40/collonil-leather-dye-cream-red-shoe-cream-p2644,64.0,16.0,7.5,0.58,0.6,35.72
/ladies-c3/handbags-c10/tab-small-zip-top-leather-cross-body-bag-navy-p193,64.0,64.0,17.0,0.52,0.55,73.28
