NumberType: GTIN-13,,,,,,,,,
Prefix: 506082128,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
5060821281571,Active,V-26 | BLACK | Size:ONE SIZE,V-26 | BLACK | Size:ONE SIZE | Vegetable Tanned Leather Two Section With Mid Purse Bag Black : V-26,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/vegetable-tanned-leather-two-section-with-mid-purse-bag-black-v-26-p3842,N/A,0003857200,22/10/2020 15:32:26
5060821281595,Active,V-26 | NAVY | Size:ONE SIZE,V-26 | NAVY | Size:ONE SIZE | Vegetable Tanned Leather Two Section With Mid Purse Bag Navy : V-26,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/vegetable-tanned-leather-two-section-with-mid-purse-bag-navy-v-26-p3844,N/A,0003857300,22/10/2020 15:33:53
5060821281588,Active,V-26 | CHESTNUT | Size:ONE SIZE,V-26 | CHESTNUT | Size:ONE SIZE | Vegetable Tanned Leather Two Section With Mid Purse Bag Chestnut : V-26,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/vegetable-tanned-leather-two-section-with-mid-purse-bag-chestnut-v-26-p3843,N/A,0003857400,22/10/2020 15:33:06
5060821281601,Active,V-27 | BLACK | Size:ONE SIZE,V-27 | BLACK | Size:ONE SIZE | Vegetable Tanned Small Leather Shoulder Bag Black: V-27,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/vegetable-tanned-small-leather-shoulder-bag-black-v-27-p3845,N/A,0003857500,22/10/2020 15:34:41
5060821281625,Active,V-27 | NAVY | Size:ONE SIZE,V-27 | NAVY | Size:ONE SIZE | Vegetable Tanned Small Leather Shoulder Bag Navy : V-27,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/vegetable-tanned-small-leather-shoulder-bag-navy-v-27-p3847,N/A,0003857600,22/10/2020 15:36:07
5060821281618,Active,V-27 | CHESTNUT | Size:ONE SIZE,V-27 | CHESTNUT | Size:ONE SIZE | Vegetable Tanned Small Leather Shoulder Bag Chestnut : V-27,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/vegetable-tanned-small-leather-shoulder-bag-chestnut-v-27-p3846,N/A,0003857700,22/10/2020 15:35:24
5060821281632,Active,V-28 | BLACK | Size:ONE SIZE,V-28 | BLACK | Size:ONE SIZE | Vegetable Tanned Medium Leather Backpack Black :  V-28,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/backpacks-c89/vegetable-tanned-medium-leather-backpack-black-v-28-p3848,N/A,0003857800,22/10/2020 15:36:53
5060821281649,Active,V-28 | CHESTNUT | Size:ONE SIZE,V-28 | CHESTNUT | Size:ONE SIZE | Vegetable Tanned Medium Leather Backpack Chestnut :  V-28,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/backpacks-c89/vegetable-tanned-medium-leather-backpack-chestnut-v-28-p3849,N/A,0003858000,22/10/2020 15:37:32
5060821281397,Active,V-20 | BLACK | Size:ONE SIZE,V-20 | BLACK | Size:ONE SIZE | Small Zip Top Vegetable Tanned Leather Cross Body Bag Black : V-20,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/small-zip-top-vegetable-tanned-leather-cross-body-bag-black-v-20-p3860,N/A,0003859000,22/10/2020 15:16:45
5060821281403,Active,V-20 | CHESTNUT | Size:ONE SIZE,V-20 | CHESTNUT | Size:ONE SIZE | Small Zip Top Vegetable Tanned Leather Cross Body Bag Chestnut : V-20,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/small-zip-top-vegetable-tanned-leather-cross-body-bag-chestnut-v-20-p3861,N/A,0003859100,22/10/2020 15:17:34
5060821281410,Active,V-20 | NAVY | Size:ONE SIZE,V-20 | NAVY | Size:ONE SIZE | Small Zip Top Vegetable Tanned Leather Cross Body Bag Navy : V-20,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/small-zip-top-vegetable-tanned-leather-cross-body-bag-navy-v-20-p3862,N/A,0003859200,22/10/2020 15:18:16
5060821283834,Active,JAYDEN | BROWN | Size:ONE SIZE,JAYDEN | BROWN | Size:ONE SIZE | Large Vintage Leather Travel Holdall Brown: Jayden,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/holdall-c15/large-vintage-leather-travel-holdall-brown-jayden-p4212,N/A,0004026700,21/09/2021 11:53:49
5060821283902,Active,JAYDEN | TAN | Size:ONE SIZE,JAYDEN | TAN | Size:ONE SIZE | Large Vintage Leather Travel Holdall Tan: Jayden,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/holdall-c15/large-vintage-leather-travel-holdall-tan-jayden-p4213,N/A,0004026800,21/09/2021 11:57:25
5060821283803,Active,MIRO | BROWN | Size:ONE SIZE,MIRO | BROWN | Size:ONE SIZE | Small Vintage Leather Messenger Bag Brown: Miro,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/flight-bags-c118/small-vintage-leather-messenger-bag-brown-miro-p4218,N/A,0004026900,21/09/2021 11:50:07
5060821283872,Active,MIRO | TAN | Size:ONE SIZE,MIRO | TAN | Size:ONE SIZE | Small Vintage Leather Messenger Bag Tan: Miro,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/flight-bags-c118/small-vintage-leather-messenger-bag-tan-miro-p4219,N/A,0004027000,21/09/2021 11:56:28
5060821283810,Active,MONTI | BROWN | Size:ONE SIZE,MONTI | BROWN | Size:ONE SIZE | Tablet Friendly Medium Vintage Leather Messenger Bag Brown: Monti,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/flight-bags-c118/tablet-friendly-medium-vintage-leather-messenger-bag-brown-monti-p4220,N/A,0004027100,21/09/2021 11:51:27
5060821283889,Active,MONTI | TAN | Size:ONE SIZE,MONTI | TAN | Size:ONE SIZE | Tablet Friendly Medium Vintage Leather Messenger Bag Tan: Monti,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/flight-bags-c118/tablet-friendly-medium-vintage-leather-messenger-bag-tan-monti-p4221,N/A,0004027200,21/09/2021 11:56:48
5060821283827,Active,MEMPHIS BAG | BROWN | Size:ONE SIZE,MEMPHIS BAG | BROWN | Size:ONE SIZE | Large Vintage Leather Messenger Bag Brown: Memphis,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/large-vintage-leather-messenger-bag-brown-memphis-p4216,N/A,0004028800,21/09/2021 11:53:22
5060821283896,Active,MEMPHIS BAG | TAN | Size:ONE SIZE,MEMPHIS BAG | TAN | Size:ONE SIZE | Large Vintage Leather Messenger Bag Tan: Memphis,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/large-vintage-leather-messenger-bag-tan-memphis-p4217,N/A,0004028900,21/09/2021 11:57:07
5060821283865,Active,PATTY | BROWN | Size:ONE SIZE,PATTY | BROWN | Size:ONE SIZE | Tablet Friendly Small Vintage Leather Body Bag Brown: Patty,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/flight-bags-c118/tablet-friendly-small-vintage-leather-body-bag-brown-patty-p4224,N/A,0004029000,21/09/2021 11:54:52
5060821283933,Active,PATTY | TAN | Size:ONE SIZE,PATTY | TAN | Size:ONE SIZE | Tablet Friendly Small Vintage Leather Body Bag Tan: Patty,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/flight-bags-c118/tablet-friendly-small-vintage-leather-body-bag-tan-patty-p4225,N/A,0004029100,21/09/2021 11:58:18
5060821283858,Active,PADDY | BROWN | Size:ONE SIZE,PADDY | BROWN | Size:ONE SIZE | Tablet Friendly Medium Vintage Leather Body Bag Brown: Paddy,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/flight-bags-c118/tablet-friendly-medium-vintage-leather-body-bag-brown-paddy-p4222,N/A,0004029200,21/09/2021 11:54:33
5060821283926,Active,PADDY | TAN | Size:ONE SIZE,PADDY | TAN | Size:ONE SIZE | Tablet Friendly Medium Vintage Leather Body Bag Tan: Paddy,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/flight-bags-c118/tablet-friendly-medium-vintage-leather-body-bag-tan-paddy-p4223,N/A,0004029300,21/09/2021 11:58:01
5060821283841,Active,RYAN | BROWN | Size:ONE SIZE,RYAN | BROWN | Size:ONE SIZE | Vintage Leather Backpack Brown: Ryan,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/backpacks-c116/vintage-leather-backpack-brown-ryan-p4226,N/A,0004029400,21/09/2021 11:54:10
5060821283919,Active,RYAN | TAN 2 | Size:ONE SIZE,RYAN | TAN 2 | Size:ONE SIZE | Vintage Leather Backpack Tan 2: Ryan,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/backpacks-c116/vintage-leather-backpack-tan-2-ryan-p4227,N/A,0004029500,21/09/2021 11:57:41
5060821282226,Active,V-29 | BLACK | Size:ONE SIZE,V-29 | BLACK | Size:ONE SIZE | Ashwood Vegetable Tanned Large Leather Bag Black: V-29,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-vegetable-tanned-large-leather-bag-black-v-29-p5288,N/A,0004129300,28/01/2021 11:01:04
5060821282240,Active,V-29 | NAVY | Size:ONE SIZE,V-29 | NAVY | Size:ONE SIZE | Ashwood Vegetable Tanned Large Leather Bag  Navy: V-29,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-vegetable-tanned-large-leather-bag-navy-v-29-p5290,N/A,0004129400,28/01/2021 11:02:00
5060821282233,Active,V-29 | CHESTNUT | Size:ONE SIZE,V-29 | CHESTNUT | Size:ONE SIZE | Ashwood Vegetable Tanned Large Leather Bag  Chestnut: V-29,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-vegetable-tanned-large-leather-bag-chestnut-v-29-p5289,N/A,0004129500,28/01/2021 11:01:35
5060821282257,Active,V-30 | BLACK | Size:ONE SIZE,V-30 | BLACK | Size:ONE SIZE | Ashwood Womens Leather Tote Bag Black: V-30,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-womens-leather-tote-bag-black-v-30-p5291,N/A,0004129600,28/01/2021 11:02:30
5060821282271,Active,V-30 | NAVY | Size:ONE SIZE,V-30 | NAVY | Size:ONE SIZE | Ashwood Womens Leather Tote Bag Navy: V-30,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-womens-leather-tote-bag-navy-v-30-p5293,N/A,0004129700,28/01/2021 11:03:08
5060821282264,Active,V-30 | CHESTNUT | Size:ONE SIZE,V-30 | CHESTNUT | Size:ONE SIZE | Ashwood Womens Leather Tote Bag Chestnut: V-30,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-womens-leather-tote-bag-chestnut-v-30-p5292,N/A,0004129800,28/01/2021 11:02:52
5060821282288,Active,V-31 | BLACK | Size:ONE SIZE,V-31 | BLACK | Size:ONE SIZE | Ashwood Womens Three Section Leather Shoulder Bag Black: V-31,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/ashwood-womens-three-section-leather-shoulder-bag-black-v-31-p5294,N/A,0004129900,28/01/2021 11:03:35
5060821282301,Active,V-31 | NAVY | Size:ONE SIZE,V-31 | NAVY | Size:ONE SIZE | Ashwood Womens Three Section Leather Shoulder Bag Navy: V-31,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-womens-three-section-leather-shoulder-bag-navy-v-31-p5296,N/A,0004130000,28/01/2021 11:04:34
5060821282295,Active,V-31 | CHESTNUT | Size:ONE SIZE,V-31 | CHESTNUT | Size:ONE SIZE | Ashwood Womens Three Section Leather Shoulder Bag Chestnut: V-31,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-womens-three-section-leather-shoulder-bag-chestnut-v-31-p5295,N/A,0004130100,28/01/2021 11:04:03
5060821282318,Active,V-32 | BLACK | Size:ONE SIZE,V-32 | BLACK | Size:ONE SIZE | 00041302,Ashwood,N/A,https://www.leathercompany.co.uk/ashwood-00041302-black-p9250,N/A,0004130200,28/01/2021 11:06:44
5060821282332,Active,V-32 | NAVY | Size:ONE SIZE,V-32 | NAVY | Size:ONE SIZE | Vegetable Tanned Leather Luxury Travel Bum Bag Navy: V-32,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/vegetable-tanned-leather-luxury-travel-bum-bag-navy-v-32-p5299,N/A,0004130300,28/01/2021 11:07:29
5060821282325,Active,V-32 | CHESTNUT | Size:ONE SIZE,V-32 | CHESTNUT | Size:ONE SIZE | 00041304,Ashwood,N/A,https://www.leathercompany.co.uk/ashwood-00041304-chestnut-p9251,N/A,0004130400,28/01/2021 11:07:09
5060821288563,Active,C-50 | TAN | Size:ONE SIZE,C-50 | TAN | Size:ONE SIZE | Ashwood Leather Cross Body Bag Tan: C-50,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-leather-cross-body-bag-tan-c-50-p5406,N/A,0004148300,08/08/2022 11:58:39
5060821288501,Active,C-50 | BLACK | Size:ONE SIZE,C-50 | BLACK | Size:ONE SIZE | Ashwood Leather Cross Body Bag Black: C-50,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-leather-cross-body-bag-black-c-50-p5403,N/A,0004148500,03/08/2022 10:05:53
5060821287269,Active,C-50 | BLK/CROC | Size:ONE SIZE,C-50 | BLK/CROC | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0004473200,12/05/2022 11:21:46
5060821288488,Active,C-50 | TAN/CROC | Size:ONE SIZE,C-50 | TAN/CROC | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0004473300,03/08/2022 10:01:53
5060821287276,Active,C-50 | GREEN/CROC | Size:ONE SIZE,C-50 | GREEN/CROC | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0004473400,12/05/2022 11:23:30
5060821288259,Active,63786 | BLACK | Size:ONE SIZE,63786 | BLACK | Size:ONE SIZE | Women's Leather Shoulder Handbag Black: 63786,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-black-63786-p6489,N/A,0004473500,03/08/2022 08:13:37
5060821288266,Active,63786 | TAN | Size:ONE SIZE,63786 | TAN | Size:ONE SIZE | Women's Leather Shoulder Handbag Tan: 63786,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-tan-63786-p6492,N/A,0004473600,03/08/2022 08:17:16
5060821288303,Active,63787 | BLACK | Size:ONE SIZE,63787 | BLACK | Size:ONE SIZE | Women's Leather Shoulder Handbag Black: 63787,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-black-63787-p6494,N/A,0004474000,03/08/2022 08:26:53
5060821288310,Active,63787 | TAN | Size:ONE SIZE,63787 | TAN | Size:ONE SIZE | Women's Leather Shoulder Handbag Tan: 63787,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-tan-63787-p6497,N/A,0004474300,03/08/2022 08:38:30
5060821288358,Active,63788 | BLACK | Size:ONE SIZE,63788 | BLACK | Size:ONE SIZE | Women's Leather Shoulder Handbag Black: 63788,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-black-63788-p6499,N/A,0004474500,03/08/2022 08:48:17
5060821288365,Active,63788 | TAN | Size:ONE SIZE,63788 | TAN | Size:ONE SIZE | Women's Leather Shoulder Handbag Tan: 63788,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-leather-shoulder-handbag-tan-63788-p6502,N/A,0004474800,03/08/2022 08:49:34
5060821288402,Active,63789 | BLACK | Size:ONE SIZE,63789 | BLACK | Size:ONE SIZE | Leather Three Section Cross Body Bag Black: 63789,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-three-section-cross-body-bag-black-63789-p6504,N/A,0004475000,03/08/2022 09:23:47
5060821288419,Active,63789 | TAN | Size:ONE SIZE,63789 | TAN | Size:ONE SIZE | Leather Three Section Cross Body Bag Tan: 63789,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-three-section-cross-body-bag-tan-63789-p6507,N/A,0004475300,03/08/2022 09:29:29
