Landing page,Sessions,Users,New users,Engagement rate,Average engagement time per session,Conversions,Total revenue
/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233/s1241,153,141,88,0.7254901960784313,75.23529411764706,1,159
/handbags-c6/cross-body-bag-c87/ashwood-leather-crossbody-bag-navy-cb-3-63014-p7227/s21579,151,123,108,0.6291390728476821,29.344370860927153,0,0
/handbags-c6/navy-t49,151,145,132,0.6158940397350994,86.32450331125828,1,59.99
/mens-c4/man-bags-briefcases-c12/mens-3-pocket-luxury-small-leather-flight-bag-tan-jack-p660/s4127,149,116,84,0.4966442953020134,28.953020134228186,0,0
/mens-c4/leather-jackets-c25/leather-biker-jacket-white-berlin-p874/s4927,148,77,64,0.4527027027027027,11.95945945945946,0,0
/ladies-c3/leather-jackets-c9/biker-styles-c78/leather-biker-jacket-mid-brown-nap-britney-p3010/s10569,146,138,129,0.410958904109589,16.684931506849313,0,0
/mens-c4/mens-shearling-sheepskin-coat-honey-tan-del-boy-p6074/s18647,146,118,96,0.4794520547945205,16.595890410958905,0,0
/gift-accessories-c8/purses-c36/ashwood-m1,145,132,116,0.6275862068965518,73.0551724137931,1,49.99
/contact-us-i3,144,101,46,0.3819444444444444,42.020833333333336,0,0
/ladies-c3/14-card-rfid-protected-large-leather-purse-two-tone-tan-s1-p6708/s20038,144,131,113,0.5972222222222222,37.47222222222222,4,159.92
/mens-c4/man-bags-briefcases-c12/mens-small-vintage-leather-travel-bag-rust-7993-p675/s4142,144,126,95,0.625,38.354166666666664,0,0
/luggage-c7/manbags-briefcases-c64,143,134,121,0.6713286713286714,86.32167832167832,1,89.99
/mens-c4/leather-jackets-c25/brown-t3,141,130,118,0.7304964539007093,49.829787234042556,0,0
/luggage-c7/leather-tablet-a4-sleeves-c151,139,139,136,0.6690647482014388,35,1,70
/luggage-c7/mens-weekend-leather-travel-holdall-chestnut-vt-albert-p628/s4095,136,103,79,0.4632352941176471,31.610294117647058,0,0
/ladies-c3/ladies-waistcoats-c47/fitted-leather-gilet-with-faux-fur-collar-brown-snu-cumbria-p1627/s7746,135,107,95,0.45925925925925926,14.074074074074074,0,0
/ladies-c3/leather-handbags-c10/ashwood-leather-womens-tote-crossbody-bag-cotwold-navy-64064-p7914/s23048,135,107,78,0.7703703703703704,52.08148148148148,1,59.99
/ladies-c3/womens-leather-biker-jacket-coffee-2810-p6175/s18980,134,130,115,0.7089552238805971,70.52985074626865,2,107.98
/size-guide-i9,134,126,114,0.6268656716417911,37.78358208955224,0,0
/sheepskin-fur-c5/mens-sheepskin-jackets-c35,133,117,94,0.6842105263157895,65.21804511278195,0,0
/ladies-c3/14-card-rfid-protected-xl-leather-purse-poppy-red-s2-p6713/s20043,130,110,89,0.6692307692307692,39.87692307692308,1,54.98
