"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Parent Product Title","Child Product Title",
79,2584,,"00014589","0001458900",,"Leather Jacket Cognac/ddy : Molly  ","Leather Jacket Cognac/ddy : Molly",
79,513,,"00014589","0001458901",,"Leather Jacket Cognac/ddy : Molly  ","Leather Jacket Cognac/ddy : Molly",
79,514,,"00014589","0001458902",,"Leather Jacket Cognac/ddy : Molly  ","Leather Jacket Cognac/ddy : Molly",
79,515,,"00014589","0001458903",,"Leather Jacket Cognac/ddy : Molly  ","Leather Jacket Cognac/ddy : Molly",
79,516,,"00014589","0001458904",,"Leather Jacket Cognac/ddy : Molly  ","Leather Jacket Cognac/ddy : Molly",
79,517,,"00014589","0001458905",,"Leather Jacket Cognac/ddy : Molly  ","Leather Jacket Cognac/ddy : Molly",
79,518,,"00014589","0001458906",,"Leather Jacket Cognac/ddy : Molly  ","Leather Jacket Cognac/ddy : Molly",
79,519,,"00014589","0001458907",,"Leather Jacket Cognac/ddy : Molly  ","Leather Jacket Cognac/ddy : Molly",
79,520,,"00014589","0001458908",,"Leather Jacket Cognac/ddy : Molly  ","Leather Jacket Cognac/ddy : Molly",
79,521,,"00014589","0001458909",,"Leather Jacket Cognac/ddy : Molly  ","Leather Jacket Cognac/ddy : Molly",
79,2585,,"00014589","0001458910",,"Leather Jacket Cognac/ddy : Molly  ","Leather Jacket Cognac/ddy : Molly",
79,2586,,"00014589","0001458911",,"Leather Jacket Cognac/ddy : Molly  ","Leather Jacket Cognac/ddy : Molly",
80,2587,,"00014601","0001460100",,"Leather Jacket Mid Brown : Molly  ","Leather Jacket Mid Brown : Molly",
80,525,,"00014601","0001460101",,"Leather Jacket Mid Brown : Molly  ","Leather Jacket Mid Brown : Molly",
80,526,,"00014601","0001460102",,"Leather Jacket Mid Brown : Molly  ","Leather Jacket Mid Brown : Molly",
80,527,,"00014601","0001460103",,"Leather Jacket Mid Brown : Molly  ","Leather Jacket Mid Brown : Molly",
80,528,,"00014601","0001460104",,"Leather Jacket Mid Brown : Molly  ","Leather Jacket Mid Brown : Molly",
80,529,,"00014601","0001460105",,"Leather Jacket Mid Brown : Molly  ","Leather Jacket Mid Brown : Molly",
80,530,,"00014601","0001460106",,"Leather Jacket Mid Brown : Molly  ","Leather Jacket Mid Brown : Molly",
80,531,,"00014601","0001460107",,"Leather Jacket Mid Brown : Molly  ","Leather Jacket Mid Brown : Molly",
80,532,,"00014601","0001460108",,"Leather Jacket Mid Brown : Molly  ","Leather Jacket Mid Brown : Molly",
80,533,,"00014601","0001460109",,"Leather Jacket Mid Brown : Molly  ","Leather Jacket Mid Brown : Molly",
80,2588,,"00014601","0001460110",,"Leather Jacket Mid Brown : Molly  ","Leather Jacket Mid Brown : Molly",
80,2589,,"00014601","0001460111",,"Leather Jacket Mid Brown : Molly  ","Leather Jacket Mid Brown : Molly",
