Top pages,Clicks,Impressions,CTR,Position
https://www.leathercompany.co.uk/gift-accessories-c8/purses-c36/ashwood-m1,413,40388,1.02%,32.41
https://www.leathercompany.co.uk/luggage-c7/backpacks-rucksacks-c52/ashwood-m1,404,50641,0.8%,15.89
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/burgundy-t59,398,60221,0.66%,10.59
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/green-t6,392,51089,0.77%,21.27
https://www.leathercompany.co.uk/sheepskin-fur-c5/ladies-sheepskin-jackets-c13,391,31808,1.23%,16.75
https://www.leathercompany.co.uk/handbags-c6/brampton-m25,370,65156,0.57%,5.32
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/size-3xl-t27,364,31122,1.17%,19.96
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/size-22-t37,358,310996,0.12%,6.86
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/green-t6,357,80777,0.44%,12.58
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/ashwood-m1,351,96306,0.36%,19.18
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/red-t11,351,30155,1.16%,15.5
https://www.leathercompany.co.uk/luggage-c7/suit-carriers-c51/ashwood-m1,346,23764,1.46%,26.69
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/size-4xl-t28,344,22781,1.51%,20.65
https://www.leathercompany.co.uk/ladies-c3/skirts-jeans-c74/skirts-dresses-c127,334,43846,0.76%,27.69
https://www.leathercompany.co.uk/luggage-c7/wash-toiletry-bags-c55/ashwood-m1,329,55085,0.6%,26.72
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/bugatti-m51,328,8799,3.73%,14.42
https://www.leathercompany.co.uk/ladies-c3/sienna-de-luca-m56,324,4930,6.57%,6
https://www.leathercompany.co.uk/ladies-c3/skirts-jeans-c74/jeans-trousers-c128,319,42723,0.75%,27.21
https://www.leathercompany.co.uk/luggage-c7/backpacks-rucksacks-c52/tan-t25,318,48486,0.66%,8.43
https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/ashwood-m1,313,45552,0.69%,28.89
https://www.leathercompany.co.uk/handbags-c6/teal-t74,306,35267,0.87%,10.71
https://www.leathercompany.co.uk/mens-c4/mens-waistcoats-c58/sheepskin-gilet-tobacco-norden-p814,296,23553,1.26%,11.87
https://www.leathercompany.co.uk/gift-accessories-c8/wallets-c16/marta-ponti-m38,295,6798,4.34%,7.48
https://www.leathercompany.co.uk/handbags-c6/orange-t8,292,69860,0.42%,19.78
https://www.leathercompany.co.uk/contact-us-i3,289,48377,0.6%,11.32
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/brown-t3,285,36054,0.79%,18.51
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/size-xs-t15,284,46572,0.61%,18.15
https://www.leathercompany.co.uk/luggage-c7/manbags-briefcases-c64,282,42882,0.66%,23.47
https://www.leathercompany.co.uk/mens-c4/mens-shearling-sheepskin-coat-honey-tan-del-boy-p6074,280,32309,0.87%,3.93
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/grey-t7,276,47340,0.58%,10.18
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/burgundy-t59,271,25234,1.07%,15.03
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/xl-t19,270,9127,2.96%,27.26
https://www.leathercompany.co.uk/luggage-c7/leather-tablet-a4-sleeves-c151,259,16540,1.57%,23.74
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/grey-t7,258,62198,0.41%,25.95
https://www.leathercompany.co.uk/handbags-c6/chestnut-t26,252,92581,0.27%,6.6
https://www.leathercompany.co.uk/map/leather-company-birmingham-hq,251,10248,2.45%,9.89
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/flight-bags-c118,245,73718,0.33%,11.84
https://www.leathercompany.co.uk/map,245,22290,1.1%,10
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/navy-t49,239,19926,1.2%,10
https://www.leathercompany.co.uk/about-us-i1,215,6750,3.19%,9.86
https://www.leathercompany.co.uk/mens-c4/leather-gun-slip-brandy-savoy-p2421,211,6771,3.12%,18.67
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/ashwood-m1,209,44243,0.47%,34.37
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/casual-styles-c124,208,71863,0.29%,12.06
https://www.leathercompany.co.uk/handbags-c6/cognac-t46,204,87008,0.23%,7.79
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/red-t11,203,31178,0.65%,19.03
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/black-t1,200,153099,0.13%,6.67
https://www.leathercompany.co.uk/gift-accessories-c8/mens-gloves-c37/ashwood-m1,194,42218,0.46%,26.83
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/brampton-m25,191,312993,0.06%,5.34
https://www.leathercompany.co.uk/ladies-c3/handbags-c10/large-leather-handbag-bridge-vt-gina-p1050,191,70272,0.27%,16.79
https://www.leathercompany.co.uk/handbags-c6/yellow-t14,191,55481,0.34%,24.13
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/cream-t4,190,16089,1.18%,17.45
