# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20231231
Landing page + query string,Country,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Users,Engaged sessions,Engagement rate,Average engagement time,Event count,Key events,Ad revenue
/mens-c4/leather-jackets-c25,United Kingdom,9044,566913,0.015953065108755663,8.163561251902848,8363,6850,0.7463499673131401,87.59428434772211,86712,50,0
/ladies-c3/leather-jackets-c9,United Kingdom,8673,711168,0.012195430615550756,8.946937994960404,8797,7115,0.7587714620880879,99.90928725701944,108726,57,0
/handbags-c6,United Kingdom,4879,247803,0.019689027170776786,10.907313470781226,4588,3850,0.7628294036061026,97.5734524847428,51117,31,0
/,United Kingdom,4341,84757,0.05121700862465637,9.0267352549052,5598,5100,0.5220595762104616,143.105930689532,110098,113,0
/ladies-c3/sheepskin-jackets-c11,United Kingdom,3152,166527,0.018927861547977206,7.7835726338671805,3324,2733,0.7709449929478138,88.85018050541517,37406,9,0
/mens-c4/sheepskin-jackets-c26,United Kingdom,2711,128427,0.021109268300279538,7.5955912697485735,2829,2326,0.7370088719898605,79.48144220572641,29009,0,0
/handbags-c6/backpacks-c89,United Kingdom,2696,164772,0.016362003252979877,13.18555943971063,3437,2733,0.7390481341265549,66.92929880709922,32140,11,0
/luggage-c7/backpacks-rucksacks-c52,United Kingdom,2506,127380,0.019673418119013974,7.5715418433035016,2607,2104,0.7565623876303488,64.06367472190257,25700,18,0
/gift-accessories-c8/mens-gloves-c37,United Kingdom,2050,100083,0.020482999110738087,8.589510706113925,2142,1792,0.7842450765864333,66.19281045751634,21014,38,0
/mens-c4/man-bags-briefcases-c12,United Kingdom,2018,179097,0.011267637090515197,15.913862320418545,2398,1952,0.7682014954742228,85.6117597998332,24870,13,0
/luggage-c7/holdall-c15,United Kingdom,1608,110435,0.01456060125865894,10.549771358717798,1790,1485,0.7670454545454546,94.59385474860335,23233,20,0
/handbags-c6/marta-ponti-m38,United States,1588,13455,0.1180230397621702,6.105834262356002,2039,1424,0.6574330563250231,33.78273663560569,14211,0,0
