NumberType: GTIN-13,,,,,,,,,
Prefix: 506104960,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
5061049606436,Active,10157 | BLACK | Size:14,10157 | BLACK | Size:14 | Ashwood Leather Women's Two Button Black Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-black-blazer-10157-p9126,N/A,0002080404,18/04/2024 11:16:46
5061049606443,Active,10157 | BLACK | Size:16,10157 | BLACK | Size:16 | Ashwood Leather Women's Two Button Black Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-black-blazer-10157-p9126,N/A,0002080405,18/04/2024 11:17:36
5061049606450,Active,10157 | BLACK | Size:18,10157 | BLACK | Size:18 | Ashwood Leather Women's Two Button Black Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-black-blazer-10157-p9126,N/A,0002080406,18/04/2024 11:18:33
5061049606467,Active,10157 | BLACK | Size:20,10157 | BLACK | Size:20 | Ashwood Leather Women's Two Button Black Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-black-blazer-10157-p9126,N/A,0002080407,18/04/2024 11:19:09
5061049606474,Active,10157 | BLACK | Size:22,10157 | BLACK | Size:22 | Ashwood Leather Women's Two Button Black Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-black-blazer-10157-p9126,N/A,0002080408,18/04/2024 11:20:32
5061049606481,Active,10157 | BLACK | Size:24,10157 | BLACK | Size:24 | Ashwood Leather Women's Two Button Black Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-black-blazer-10157-p9126,N/A,0002080409,18/04/2024 11:21:01
5061049606498,Active,10157 | BLACK | Size:26,10157 | BLACK | Size:26 | ,Ashwood,N/A,N/A,N/A,0002080410,18/04/2024 11:21:36
5061049606504,Active,10157 | BLACK | Size:28,10157 | BLACK | Size:28 | ,Ashwood,N/A,N/A,N/A,0002080411,18/04/2024 11:23:16
5061049604821,Active,A4 WORKBAG | BLACK | Size:ONE SIZE,A4 WORKBAG | BLACK | Size:ONE SIZE | Three Section A4 Croc Patent Leather Work Bag Black: A4 Work Bag,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/three-section-a4-croc-patent-leather-work-bag-black-a4-work-bag-p8803,N/A,0002304300,20/03/2024 10:01:17
5061049604869,Active,62237 | BLACK | Size:ONE SIZE,62237 | BLACK | Size:ONE SIZE | 2 in 1 Leather Backpack Handbag Black: 62237,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-handbags-c10/2-in-1-leather-backpack-handbag-black-62237-p8823,N/A,0003215400,20/03/2024 15:50:54
5061049605040,Active,62237 | PANNA COTTA | Size:ONE SIZE,62237 | PANNA COTTA | Size:ONE SIZE | 2 in 1 Leather Backpack Handbag Panna Cotta Cream : 62237,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/backpacks-c89/2-in-1-leather-backpack-handbag-panna-cotta-cream-62237-p2511,N/A,0003215500,26/03/2024 10:33:11
5061049605033,Active,62237 | BLUSH | Size:ONE SIZE,62237 | BLUSH | Size:ONE SIZE | 2 in 1 Leather Backpack Handbag Blush : 62237,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/backpacks-c89/2-in-1-leather-backpack-handbag-blush-62237-p2510,N/A,0003215600,26/03/2024 10:32:21
5061049609284,Active,ELA 1495 | BLACK | Size:ONE SIZE,ELA 1495 | BLACK | Size:ONE SIZE | Womens  Flap Over Leather Cross Body Bag Black: Ela 1495,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-flap-over-leather-cross-body-bag-black-ela-1495-p5530,N/A,0003379200,29/04/2024 10:24:54
5061049609277,Active,ELA 1495 | NAVY | Size:ONE SIZE,ELA 1495 | NAVY | Size:ONE SIZE | Womens  Flap Over Leather Cross Body Bag Navy: Ela 1495,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/womens-flap-over-leather-cross-body-bag-navy-ela-1495-p5531,N/A,0003379400,29/04/2024 10:24:25
5061049604913,Active,62663 | MUSTARD | Size:ONE SIZE,62663 | MUSTARD | Size:ONE SIZE | Croc-Embossed Leather Crossbody Bag Mustard: 62663,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-handbags-c10/croc-embossed-leather-crossbody-bag-mustard-62663-p8820,N/A,0003749700,20/03/2024 15:49:12
5061049604845,Active,ELA 1879 | TAN MULTI | Size:ONE SIZE,ELA 1879 | TAN MULTI | Size:ONE SIZE | Multicoloured Zip Top Cross Body Bag Tan Multi – Ela 1879,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/multicoloured-zip-top-cross-body-bag-tan-multi-ela-1879-p3601,N/A,0003754000,20/03/2024 10:38:44
5061049604852,Active,ELA 1879 | FUSHCIA MULTI | Size:ONE SIZE,ELA 1879 | FUSHCIA MULTI | Size:ONE SIZE | Multicoloured Zip Top Cross Body Bag Fuchsia Multi – Ela 1879,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/multicoloured-zip-top-cross-body-bag-fuchsia-multi-ela-1879-p3600,N/A,0003754200,20/03/2024 10:41:07
5061049605057,Active,D-82 | GREEN | Size:ONE SIZE,D-82 | GREEN | Size:ONE SIZE | Vintage Woven Leather 7 Card Purse Green:  D-82,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/vintage-woven-leather-7-card-purse-green-d-82-p6158,N/A,0004036900,27/03/2024 12:32:17
5061049609345,Active,JACKEY | BLACK | Size:ONE SIZE,JACKEY | BLACK | Size:ONE SIZE | Medium Zip Top Leather Cross Body Bag Black: JACKEY,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/medium-zip-top-leather-cross-body-bag-black-jackey-p5213,N/A,0004112900,29/04/2024 14:39:27
5061049604838,Active,A4 WORKBAG | GREEN | Size:ONE SIZE,A4 WORKBAG | GREEN | Size:ONE SIZE | Three Section A4 Croc Patent Leather Work Bag Green: A4 Work Bag,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/three-section-a4-croc-patent-leather-work-bag-green-a4-work-bag-p5240,N/A,0004114000,20/03/2024 10:03:26
5061049604746,Active,A4 BUCKLE BAG | BLACK | Size:ONE SIZE,A4 BUCKLE BAG | BLACK | Size:ONE SIZE | Ashwood Zip Top Patent Leather Handbag Black: A4 Buckle,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-handbags-c10/ashwood-zip-top-patent-leather-handbag-black-a4-buckle-p5305,N/A,0004130800,18/03/2024 12:59:14
5061049604753,Active,A4 BUCKLE BAG | SALMON | Size:ONE SIZE,A4 BUCKLE BAG | SALMON | Size:ONE SIZE | Ashwood Zip Top Leather Handbag Salmon: A4 Buckle,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-zip-top-leather-handbag-salmon-a4-buckle-p5306,N/A,0004130900,18/03/2024 13:00:27
5061049604722,Active,AW0020 | BLACK | Size:ONE SIZE,AW0020 | BLACK | Size:ONE SIZE | Patent Leather Small Cross Body Bag Black: AW0020,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/patent-leather-small-cross-body-bag-black-aw0020-p5307,N/A,0004131300,18/03/2024 12:17:37
5061049604739,Active,AW0020 | NUDE+S BROWN | Size:ONE SIZE,AW0020 | NUDE+S BROWN | Size:ONE SIZE | Patent Leather Snake Small Cross Body Bag Nude S Brown: AW0020,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/patent-leather-snake-small-cross-body-bag-nude-s-brown-aw0020-p5308,N/A,0004131400,18/03/2024 12:19:23
5061049602148,Active,BR ROCK 2 | BLACK | Size:XS,BR ROCK 2 | BLACK | Size:XS | Leather Biker Jacket Black: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-black-hard-knott-p5376,N/A,0004142302,04/03/2024 14:17:11
5061049602155,Active,BR ROCK 2 | BLACK | Size:S,BR ROCK 2 | BLACK | Size:S | Leather Biker Jacket Black: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-black-hard-knott-p5376,N/A,0004142303,04/03/2024 14:17:11
5061049602162,Active,BR ROCK 2 | BLACK | Size:M,BR ROCK 2 | BLACK | Size:M | Leather Biker Jacket Black: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-black-hard-knott-p5376,N/A,0004142304,04/03/2024 14:17:11
5061049602179,Active,BR ROCK 2 | BLACK | Size:L,BR ROCK 2 | BLACK | Size:L | Leather Biker Jacket Black: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-black-hard-knott-p5376,N/A,0004142305,04/03/2024 14:17:11
5061049602186,Active,BR ROCK 2 | BLACK | Size:XL,BR ROCK 2 | BLACK | Size:XL | Leather Biker Jacket Black: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-black-hard-knott-p5376,N/A,0004142306,04/03/2024 14:17:11
5061049602193,Active,BR ROCK 2 | BLACK | Size:2XL,BR ROCK 2 | BLACK | Size:2XL | Leather Biker Jacket Black: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-black-hard-knott-p5376,N/A,0004142307,04/03/2024 14:17:11
5061049602209,Active,BR ROCK 2 | BLACK | Size:3XL,BR ROCK 2 | BLACK | Size:3XL | Leather Biker Jacket Black: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-black-hard-knott-p5376,N/A,0004142308,04/03/2024 14:17:11
5061049602216,Active,BR ROCK 2 | BLACK | Size:4XL,BR ROCK 2 | BLACK | Size:4XL | Leather Biker Jacket Black: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-black-hard-knott-p5376,N/A,0004142309,04/03/2024 14:17:11
5061049602223,Active,BR ROCK 2 | BLACK | Size:5XL,BR ROCK 2 | BLACK | Size:5XL | Leather Biker Jacket Black: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-black-hard-knott-p5376,N/A,0004142310,04/03/2024 14:17:11
5061049602230,Active,BR ROCK 2 | BLACK | Size:6XL,BR ROCK 2 | BLACK | Size:6XL | Leather Biker Jacket Black: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-black-hard-knott-p5376,N/A,0004142311,04/03/2024 14:17:11
5061049602247,Active,BR ROCK 2 | TAN | Size:XS,BR ROCK 2 | TAN | Size:XS | Leather Biker Jacket Tan: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-tan-hard-knott-p5377,N/A,0004143802,04/03/2024 14:17:11
5061049602254,Active,BR ROCK 2 | TAN | Size:S,BR ROCK 2 | TAN | Size:S | Leather Biker Jacket Tan: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-tan-hard-knott-p5377,N/A,0004143803,04/03/2024 14:17:11
5061049602261,Active,BR ROCK 2 | TAN | Size:M,BR ROCK 2 | TAN | Size:M | Leather Biker Jacket Tan: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-tan-hard-knott-p5377,N/A,0004143804,04/03/2024 14:17:11
5061049602278,Active,BR ROCK 2 | TAN | Size:L,BR ROCK 2 | TAN | Size:L | Leather Biker Jacket Tan: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-tan-hard-knott-p5377,N/A,0004143805,04/03/2024 14:17:11
5061049602285,Active,BR ROCK 2 | TAN | Size:XL,BR ROCK 2 | TAN | Size:XL | Leather Biker Jacket Tan: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-tan-hard-knott-p5377,N/A,0004143806,04/03/2024 14:17:12
5061049602292,Active,BR ROCK 2 | TAN | Size:2XL,BR ROCK 2 | TAN | Size:2XL | Leather Biker Jacket Tan: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-tan-hard-knott-p5377,N/A,0004143807,04/03/2024 14:17:12
5061049602308,Active,BR ROCK 2 | TAN | Size:3XL,BR ROCK 2 | TAN | Size:3XL | Leather Biker Jacket Tan: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-tan-hard-knott-p5377,N/A,0004143808,04/03/2024 14:17:12
5061049602315,Active,BR ROCK 2 | TAN | Size:4XL,BR ROCK 2 | TAN | Size:4XL | Leather Biker Jacket Tan: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-tan-hard-knott-p5377,N/A,0004143809,04/03/2024 14:17:12
5061049602322,Active,BR ROCK 2 | TAN | Size:5XL,BR ROCK 2 | TAN | Size:5XL | Leather Biker Jacket Tan: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-tan-hard-knott-p5377,N/A,0004143810,04/03/2024 14:17:12
5061049602339,Active,BR ROCK 2 | TAN | Size:6XL,BR ROCK 2 | TAN | Size:6XL | Leather Biker Jacket Tan: Hard Knott,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/leather-biker-jacket-tan-hard-knott-p5377,N/A,0004143811,04/03/2024 14:17:12
5061049604418,Active,62262 | BLACK | Size:ONE SIZE,62262 | BLACK | Size:ONE SIZE | Ashwood Chain Strap Small Cross Body Bag Black: 62262,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-chain-strap-small-cross-body-bag-black-62262-p5859,N/A,0004271600,05/03/2024 17:01:34
5061049601905,Active,G-6400 | BLACK | Size:S,G-6400 | BLACK | Size:S | Mens  Leather Biker Jacket Black: Axel,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/mens-leather-biker-jacket-black-axel-p6149,N/A,0004348403,04/03/2024 12:46:55
5061049601912,Active,G-6400 | BLACK | Size:M,G-6400 | BLACK | Size:M | Mens  Leather Biker Jacket Black: Axel,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/mens-leather-biker-jacket-black-axel-p6149,N/A,0004348404,04/03/2024 12:46:55
5061049601929,Active,G-6400 | BLACK | Size:L,G-6400 | BLACK | Size:L | Mens  Leather Biker Jacket Black: Axel,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/mens-leather-biker-jacket-black-axel-p6149,N/A,0004348405,04/03/2024 12:46:55
