# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240301
# End date: 20240331
Landing page,Sessions,Users,New users,Engagement rate,Average engagement time per session,Key events,Total revenue
/ladies-c3/ladies-waistcoats-c47,167,161,142,0.5568862275449101,50.26946107784431,0,0
/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113,166,153,129,0.7108433734939759,55.993975903614455,0,0
/mens-c4/man-bags-briefcases-c12/mens-3-pocket-luxury-small-leather-flight-bag-tan-jack-p660/s4127,166,130,95,0.5120481927710844,34.48795180722892,0,0
/handbags-c6/navy-t49,165,159,145,0.6060606060606061,82.60606060606061,1,59.99
/sheepskin-fur-c5/ashwood-sheepskin-seat-pad-mink-p4382/s15187,162,146,132,0.4691358024691358,27.950617283950617,0,0
/gift-accessories-c8/purses-c36/ashwood-m1,160,148,131,0.625,70.775,1,49.99
/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233/s1241,159,146,90,0.710691823899371,72.47169811320755,1,159
/ladies-c3/14-card-rfid-protected-xl-leather-purse-poppy-red-s2-p6713/s20043,157,135,111,0.6751592356687898,41.961783439490446,1,54.98
/mens-c4/leather-jackets-c25/brown-t3,157,144,131,0.7388535031847133,51.452229299363054,0,0
/mens-c4/mens-shearling-sheepskin-coat-honey-tan-del-boy-p6074/s18647,157,127,103,0.4968152866242038,17.94904458598726,0,0
/contact-us-i3,151,107,48,0.3708609271523179,40.556291390728475,0,0
/size-guide-i9,149,141,128,0.6510067114093959,42.61744966442953,0,0
/ladies-c3/leather-jackets-c9/biker-styles-c78/leather-biker-jacket-mid-brown-nap-britney-p3010/s10569,147,139,130,0.3877551020408163,15.850340136054422,0,0
/luggage-c7/manbags-briefcases-c64,146,136,122,0.6712328767123288,89.35616438356165,1,89.99
/mens-c4/man-bags-briefcases-c12/briefcases-c112,146,138,123,0.636986301369863,43.678082191780824,0,0
/ladies-c3/leather-handbags-c10/ashwood-leather-womens-tote-crossbody-bag-cotwold-navy-64064-p7914/s23048,145,117,88,0.7931034482758621,54.97241379310345,1,59.99
/luggage-c7/leather-tablet-a4-sleeves-c151,144,143,140,0.6805555555555556,35.979166666666664,1,70
/mens-c4/leather-jackets-c25/leather-biker-jacket-white-berlin-p874/s4927,142,78,66,0.45774647887323944,13.309859154929578,0,0
/mens-c4/man-bags-briefcases-c12/mens-small-vintage-leather-travel-bag-rust-7993-p675/s4142,142,124,95,0.6338028169014085,42.7112676056338,0,0
/gift-accessories-c8/mens-gloves-c37,137,133,119,0.7591240875912408,56.25547445255474,0,0
/ladies-c3/leather-jackets-c9/3-4-styles-c91,136,127,103,0.7647058823529411,37.845588235294116,0,0
/luggage-c7/holdall-c15/large-vintage-leather-travel-holdall-tan-jayden-p4213/s14921,136,116,87,0.625,31.014705882352942,0,0
/luggage-c7/mens-weekend-leather-travel-holdall-chestnut-vt-albert-p628/s4095,136,104,80,0.4632352941176471,31.691176470588236,0,0
/mens-c4/fenland-mens-nubuck-leather-jacket-brown-carter-p5769/s17772,136,119,86,0.625,58.11029411764706,0,0
/sheepskin-fur-c5/mens-sheepskin-jackets-c35,136,121,95,0.6764705882352942,68.83088235294117,0,0
/gift-accessories-c8/wallets-c16/ashwood-m1,135,125,121,0.6814814814814815,67.6962962962963,0,0
/ladies-c3/womens-leather-biker-jacket-coffee-2810-p6175/s18979,133,131,117,0.6691729323308271,30.902255639097746,1,53.99
/handbags-c6/the-bridge-m7,130,118,103,0.6692307692307692,36.176923076923075,0,0
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-tan-alaska-p883/s5020,130,111,96,0.4230769230769231,22.853846153846153,0,0
/mens-c4/man-bags-briefcases-c12/backpacks-c116,130,119,95,0.6615384615384615,44.315384615384616,1,79.99
/search/leather-jackets,130,126,115,0.7461538461538462,75.56153846153846,1,53.99
/luggage-c7/suit-carriers-c51/ashwood-leather-wheeled-suit-carrier-chestnut-89149-p6736/s20066,128,109,94,0.6796875,40.109375,1,439
